"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"1","00715L","期街口布蘭特正2","57.1","+2","+3.63","26W21","05/22","4.12","-159","-0.38","3.85","-1,424","-3.57","3.67","-1,600","-4.18"
"2","8093","保銳","18.25","0","0","26W21","05/22","1.72","0","0","1.72","0","0","1.62","0","0"
"3","00916","國泰全球品牌50","30","0","0","26W21","05/22","1.14","+963","+9.27","1.14","+963","+9.27","0.87","+963","+12.5"
"4","00962","台新AI優息動能","14.68","-0.89","-5.72","26W21","05/22","1.24","+800","+6.91","1.17","+140","+1.21","0.97","+140","+1.46"
"5","00988A","主動統一全球創新","20.25","-1.21","-5.64","26W21","05/22","50","+128,157","+34.4","46.7","+131,689","+39.3","44.7","+131,269","+41.6"
"6","4967","十銓","277.5","-1.5","-0.54","26W21","05/22","1.66","-2,530","-13.2","1.58","-1,984","-11.1","1.5","-1,072","-6.69"
"7","00907","永豐優息存股","15.73","-0.57","-3.5","26W21","05/22","1.75","-839","-4.59","1.75","-839","-4.59","1.56","-835","-5.09"
"8","00991A","主動復華未來50","18.69","-0.53","-2.76","26W21","05/22","48.8","+63,646","+15","45.9","+63,321","+16","42.1","+68,111","+19.3"
"9","4513","福裕","15.45","+0.2","+1.31","26W21","05/22","4.83","+13","+0.03","4.83","+13","+0.03","4.74","+14","+0.03"
"10","4939","亞電","65.6","+5.9","+9.88","26W21","05/22","1.91","-1,249","-6.14","1.77","+107","+0.61","1.51","0","0"
"11","3234","光環","124","-1","-0.8","26W21","05/22","2.82","-55","-0.19","2.28","-34","-0.15","2.19","-34","-0.16"
"12","00685L","群益臺灣加權正2","266.85","-24.7","-8.47","26W21","05/22","0.5","+112","+2.31","0.5","+112","+2.31","0.5","+112","+2.31"
"13","00960","野村全球航運龍頭","17.55","-0.01","-0.06","26W21","05/22","0.69","+1,033","+17.6","0.69","+1,033","+17.6","0.61","+192","+3.27"
"14","3118","進階","33.65","-0.45","-1.32","26W21","05/22","0.95","0","0","0.58","0","0","0.39","0","0"
"15","009810","玉山全球藍籌100","20.43","-0.33","-1.59","26W21","05/22","0.41","+556","+15.8","0.27","-222","-7.62","0.27","-222","-7.62"
"16","3043","科風","23.85","+1.5","+6.71","26W21","05/22","0.54","+24","+0.45","0.54","+24","+0.45","0.44","0","0"
"17","00930","永豐ESG低碳高息","23.65","-1.36","-5.44","26W21","05/22","1.23","-10,665","-46.4","1.02","-11,402","-52.8","0.84","-11,470","-57.7"
