" "," ","#","股票代號/名稱","類別","20260327","0402","0410","0417","0424","0430"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","2464盟立","其他電子","-0.17","-1.76","-0.69","0.92","8.53","4.92"," ","30","11.75"," ","48.17","113.50","-1.00"," "
" "," ","2","3026禾伸堂","電子零組件","1.79","2.15","5.41","3.45","-0.24","-1.45"," ","10","11.11"," ","52.78","212.50","-23.50"," "
" "," ","3","6205詮欣","電子零組件","0.72","-0.48","0.38","1.48","2.03","6.90"," ","50","11.03"," ","55.11","86.50","-5.20"," "
" "," ","4","4989榮科","電子零組件","-3.97","-0.64","9.73","10.23","-1.64","-3.12"," ","10","10.59"," ","44.31","113.00","6.50"," "
" "," ","5","1597直得","電機","1.61","-0.36","1.94","5.58","-1.75","2.91"," ","31","9.93"," ","58.12","143.50","13.00"," "
" "," ","6","6706惠特","光電","8.29","-6.17","3.85","4.12","-5.58","5.27"," ","31","9.78"," ","34.70","151.50","4.50"," "
" "," ","7","2484希華","電子零組件","-0.70","0.90","0.83","11.08","-3.14","-0.18"," ","31","8.79"," ","29.94","39.55","-0.65"," "
" "," ","8","6278台表科","光電","0.19","0.11","-0.42","6.27","1.72","0.82"," ","10","8.69"," ","74.30","168.00","6.50"," "
" "," ","9","3057喬鼎","電腦週邊","0.00","0.00","0.00","8.63","0.00","0.00"," ","21","8.63"," ","30.91","20.15","-0.55"," "
" "," ","10","3042晶技","電子零組件","0.05","0.38","1.35","5.93","0.73","-0.06"," ","10","8.38"," ","67.67","153.00","-4.50"," "
" "," ","11","8438昶昕","綠能","1.03","0.90","2.97","0.86","1.86","0.41"," ","30","8.03"," ","81.21","88.30","-0.60"," "
" "," ","12","1727中華化","化學","0.25","-0.17","0.62","2.73","0.73","3.68"," ","31","7.84"," ","63.66","81.50","-1.70"," "
" "," ","13","2476鉅祥","電子零組件","0.26","0.41","2.65","1.11","2.72","0.15"," ","30","7.30"," ","60.61","117.00","3.00"," "
" "," ","14","4540全球傳動","電機","0.17","0.17","-0.37","3.83","3.81","-0.34"," ","10","7.27"," ","45.59","68.50","5.00"," "
" "," ","15","1721三晃","化學","0.64","0.19","-0.54","0.77","8.16","-2.01"," ","30","7.21"," ","44.34","24.20","-0.90"," "
