" "," ","#","股票代號/名稱","類別","20260306","0313","0320","0327","0402","0410"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","8028昇陽半導體","半導體","3.14","-0.62","8.08","1.89","-5.05","7.55"," ","31","14.99"," ","49.19","199.00","-6.50"," "
" "," ","2","3026禾伸堂","電子零組件","0.21","-0.39","0.63","1.79","2.15","5.41"," ","50","9.80"," ","51.02","194.00","10.50"," "
" "," ","3","6451訊芯-KY","半導體","-1.17","0.46","6.06","2.62","0.34","1.33"," ","31","9.64"," ","79.39","432.00","39.00"," "
" "," ","4","3583辛耘","半導體","0.59","0.61","2.54","3.08","-0.51","3.19"," ","31","9.50"," ","60.68","673.00","61.00"," "
" "," ","5","8112至上","電子通路","-0.08","10.24","1.40","-2.15","-0.83","-0.01"," ","50","8.57"," ","50.37","81.60","-1.00"," "
" "," ","6","8271宇瞻","半導體","0.27","13.56","-0.62","-0.27","-1.07","-3.32"," ","10","8.55"," ","52.02","164.50","10.00"," "
" "," ","7","2355敬鵬","電子零組件","1.09","1.59","1.45","3.95","-2.18","1.06"," ","31","6.96"," ","45.51","53.90","1.00"," "
" "," ","8","2426鼎元","光電","-0.16","4.30","0.25","0.39","-0.37","2.04"," ","31","6.45"," ","49.46","47.30","4.30"," "
" "," ","9","2461光群雷","其他電子","-0.14","2.24","1.26","2.65","0.65","-0.45"," ","10","6.21"," ","46.12","17.70","0.20"," "
" "," ","10","2409友達","光電","0.40","2.83","-1.65","-0.79","0.25","4.97"," ","50","6.01"," ","54.11","18.15","-0.60"," "
" "," ","11","3645達邁","電子零組件","-2.26","10.70","-1.55","0.17","-0.41","-0.71"," ","10","5.94"," ","47.64","82.20","7.40"," "
" "," ","12","2497怡利電","汽車","0.72","-0.30","4.47","-0.14","0.33","0.71"," ","50","5.79"," ","66.02","50.50","-0.20"," "
" "," ","13","8039台虹","電子零組件","2.27","3.47","-3.37","-1.04","0.01","4.39"," ","50","5.73"," ","63.28","137.00","1.00"," "
" "," ","14","2351順德","半導體","-0.78","1.34","2.65","0.69","1.06","0.77"," ","30","5.73"," ","69.49","123.00","6.00"," "
" "," ","15","5243乙盛-KY","光電","-1.18","-0.20","-0.95","-0.21","4.02","3.94"," ","30","5.42"," ","69.88","119.00","5.50"," "
" "," ","16","2243宏旭-KY","汽車","0.87","1.43","1.09","1.03","0.02","0.95"," ","31","5.39"," ","51.37","22.45","-0.20"," "
" "," ","17","3209全科","電子通路","0.04","0.69","3.18","0.44","0.58","0.38"," ","30","5.31"," ","44.45","43.70","-0.25"," "
" "," ","18","4576大銀微系統","電機","-0.41","1.18","-0.45","1.88","-0.01","2.99"," ","31","5.18"," ","69.19","165.00","1.50"," "
" "," ","19","2486一詮","光電","-0.25","0.22","3.33","-0.99","-0.48","3.12"," ","50","4.95"," ","51.73","185.50","11.50"," "
" "," ","20","1582信錦","電子零組件","1.30","3.11","-2.35","3.39","2.22","-2.96"," ","10","4.71"," ","35.93","97.20","-2.70"," "
" "," ","21","6531愛普*","半導體","0.70","1.85","3.23","-0.08","-0.58","-0.46"," ","31","4.66"," ","64.80","516.00","35.50"," "
" "," ","22","4949有成精密","光電","-0.44","2.93","1.54","-0.73","-0.05","1.13"," ","50","4.38"," ","60.55","84.70","7.70"," "
" "," ","23","1711永光","化學","1.25","1.55","3.84","-1.04","-0.11","-1.14"," ","30","4.35"," ","50.97","38.70","2.05"," "
" "," ","24","3060銘異","電腦週邊","1.98","-0.76","0.14","3.12","0.23","-0.37"," ","10","4.34"," ","18.74","29.50","0.05"," "
" "," ","25","1717長興","化學","0.24","-0.03","-0.34","0.27","-0.12","4.27"," ","31","4.29"," ","71.03","80.00","6.20"," "
