排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (萬張),超過 600張 增減 (張),超過 600張 增減 (%),持股 超過 800張 (萬張),超過 800張 增減 (張),超過 800張 增減 (%),持股 超過 1千張 (萬張),超過 1千張 增減 (張),超過 1千張 增減 (%)
601,4155,訊映,15.0,-0.45,-2.91,26W23,06/05,5.6,919.0,1.67,5.04,122.0,0.24,4.76,1877.0,4.1
602,3045,台灣大,115.0,-1.0,-0.86,26W23,06/05,339.0,10000.0,0.3,336.0,8144.0,0.24,334.0,7251.0,0.22
603,2059,川湖,6180.0,560.0,9.96,26W23,06/05,6.04,775.0,1.3,5.7,138.0,0.24,5.51,157.0,0.29
604,4747,強生,54.7,-1.0,-1.8,26W23,06/05,2.63,48.0,0.18,2.28,53.0,0.23,2.28,53.0,0.23
605,4743,合一,49.65,-0.75,-1.49,26W23,06/05,20.7,1127.0,0.55,20.0,459.0,0.23,19.8,1344.0,0.68
606,8908,欣雄,41.25,-1.2,-2.83,26W23,06/05,27.5,619.0,0.23,27.5,619.0,0.23,27.2,634.0,0.23
607,00986B,FT金融債10+,9.85,-0.04,-0.4,26W23,06/05,1.93,41.8,0.22,1.86,41.8,0.23,1.86,41.8,0.23
608,1909,榮成,9.56,-0.18,-1.85,26W23,06/05,85.1,444.0,0.05,83.6,1869.0,0.22,81.9,225.0,0.03
609,3653,健策,3820.0,200.0,5.52,26W23,06/05,9.29,-1256.0,-1.33,9.07,200.0,0.22,8.7,2202.0,2.6
610,2718,全心投控,47.3,-0.1,-0.21,26W23,06/05,7.64,168.0,0.22,7.64,168.0,0.22,7.64,168.0,0.22
611,2511,太子,7.93,-0.1,-1.25,26W23,06/05,126.0,464.0,0.04,123.0,2689.0,0.22,120.0,3541.0,0.29
612,7711,永擎,371.0,-22.0,-5.6,26W23,06/05,4.39,90.0,0.21,4.1,90.0,0.22,3.92,0.0,0.0
613,3232,昱捷,23.75,0.15,0.64,26W23,06/05,2.32,106.0,0.46,2.11,46.0,0.22,1.93,-3.0,-0.02
614,00734B,台新JPM新興債,15.74,-0.03,-0.19,26W23,06/05,2.26,52.0,0.23,2.19,47.0,0.22,2.19,47.0,0.22
615,2812,台中銀,19.05,-0.25,-1.3,26W23,06/05,337.0,-434.0,-0.01,329.0,7028.0,0.21,323.0,2616.0,0.08
616,2235,謚源,30.1,-0.35,-1.15,26W23,06/05,2.9,62.0,0.21,2.9,62.0,0.21,2.73,0.0,0.0
617,3034,聯詠,473.0,-19.0,-3.86,26W23,06/05,40.3,-3297.0,-0.81,37.9,808.0,0.21,35.6,-909.0,-0.26
618,4119,旭富,41.1,-0.2,-0.48,26W23,06/05,5.32,109.0,0.21,5.12,109.0,0.21,5.12,109.0,0.21
619,5222,全訊,116.0,-5.5,-4.53,26W23,06/05,2.52,52.3,0.21,2.46,52.3,0.21,2.09,52.3,0.25
620,2007,燁興,7.42,-0.33,-4.26,26W23,06/05,40.5,1578.0,0.39,40.3,854.0,0.21,40.2,0.0,0.0
621,2010,春源,23.7,-0.55,-2.27,26W23,06/05,44.3,1368.0,0.31,43.0,906.0,0.21,42.6,1903.0,0.45
622,3026,禾伸堂,601.0,-25.0,-3.99,26W23,06/05,8.25,-1052.0,-1.26,7.42,154.0,0.21,6.71,279.0,0.42
623,2230,泰茂,26.9,-1.35,-4.78,26W23,06/05,2.85,51.6,0.18,2.51,51.6,0.21,1.96,51.6,0.26
624,2201,裕隆,27.4,-1.3,-4.53,26W23,06/05,66.2,-1263.0,-0.19,65.0,1335.0,0.21,63.6,1077.0,0.17
625,3265,台星科,172.0,-8.0,-4.44,26W23,06/05,8.5,-508.0,-0.59,8.24,168.0,0.2,7.98,146.0,0.18
626,2891,中信金,65.4,-1.2,-1.8,26W23,06/05,1594.0,31007.0,0.19,1577.0,32064.0,0.2,1563.0,32348.0,0.21
627,3094,聯傑,29.55,-2.3,-7.22,26W23,06/05,1.1,-722.0,-6.14,1.04,21.0,0.2,0.95,21.0,0.22
628,8926,台汽電,66.9,-2.7,-3.88,26W23,06/05,48.7,846.0,0.17,47.5,958.0,0.2,46.2,2828.0,0.62
629,3059,華晶科,46.05,-2.85,-5.83,26W23,06/05,7.37,4331.0,6.24,6.67,133.0,0.2,6.49,-50.4,-0.08
630,6023,元大期,98.3,-1.4,-1.4,26W23,06/05,27.5,-197.0,-0.07,27.3,545.0,0.2,27.2,-274.0,-0.1
631,2882,國泰金,95.0,-5.0,-5.0,26W23,06/05,1241.0,25068.0,0.2,1230.0,24483.0,0.2,1221.0,26108.0,0.21
632,6901,鑽石投資,15.7,1.4,9.79,26W23,06/05,71.9,1362.0,0.19,71.7,1426.0,0.2,71.3,614.0,0.09
