"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"3230","錦明","30.25","-1","-3.2","05/15","+2","+203","15.2","0.24","0","0","0","0","-2","-1","-0.05","0","+2","+202","15.1","0.24"
"3294","英濟","36.5","+3.3","+9.94","05/15","+2","+417","8.82","0.32","0","0","0","0","-1","-1","-0.03","0","+2","+420","8.88","0.32"
"3323","加百裕","34.7","-0.75","-2.12","05/15","+2","+141","4.3","0.14","0","0","0","0","-3","-15","-0.28","-0.02","+2","+134","4.08","0.13"
"3437","榮創","23.85","-0.5","-2.05","05/15","+2","+682","17.6","0.47","0","0","0","0","-2","-6","-0.15","0","+2","+676","17.5","0.47"
"3467","台灣精材","65.2","-0.9","-1.36","05/15","+2","+30","6","0.1","0","0","0","0","0","0","0","0","+2","+30","6","0.1"
"3483","力致","87.7","+0.7","+0.8","05/15","+2","+153","6.21","0.15","0","0","0","0","+1","+8","0.68","0.01","+2","+149","6.06","0.15"
"3485","敘豐","275","-12.5","-4.35","05/15","+2","+90","11.5","0.23","0","0","0","0","-1","-1","-0.25","0","+2","+104","13.3","0.27"
"3499","環天科","14.5","-0.1","-0.68","05/15","+2","+39","18.1","0.07","0","0","0","0","0","0","0","0","+2","+39","18","0.07"
"3501","維熹","39.95","+1.15","+2.96","05/15","+2","+190","5.01","0.16","0","0","0","0","-2","-4","-0.1","0","+2","+186","4.91","0.16"
"3508","位速","19.55","-0.25","-1.26","05/15","+2","+145","14.8","0.14","0","0","0","0","+1","0","0.11","0","+2","+145","14.8","0.14"
"3518","柏騰","33","-3.3","-9.09","05/15","+2","+552","12.5","0.54","0","0","0","0","+1","+4","0.14","0","+2","+555","12.6","0.54"
"3530","晶相光","66.6","-1.6","-2.35","05/15","+2","+313","29","0.4","0","0","0","0","-1","0","-0.06","0","+2","+313","29","0.4"
"3541","西柏","22.8","-0.2","-0.87","05/15","+2","+10","6.64","0.02","0","0","0","0","0","0","0","0","+2","+10","6.64","0.02"
"3548","兆利","93","-1.1","-1.17","05/15","+2","+234","13","0.35","0","0","0","0","-8","-116","-1.81","-0.17","+2","+225","12.5","0.33"
"3645","達邁","106","-6","-5.36","05/15","+2","+3,116","5.6","2.28","0","0","0","0","-1","-123","-0.53","-0.09","+2","+2,996","5.38","2.19"
"3661","世芯-KY","4605","-225","-4.66","05/15","+2","+576","9.73","0.71","-1","-81","-2.97","-0.1","-1","-70","-2.57","-0.09","+2","+506","8.56","0.62"
"3664","安瑞-KY","9.23","-1.02","-9.95","05/15","+2","+10","1.75","0.01","0","0","0","0","0","0","0","0","+2","+10","1.75","0.01"
"3665","貿聯-KY","2095","-155","-6.89","05/15","+2","+3,374","21.6","1.73","-2","-4,479","-28.6","-2.3","+2","+171","1.09","0.09","-3","-957","-5.72","-0.49"
"3684","榮昌","59.3","+1","+1.72","05/15","+2","+19","6","0.06","0","0","0","0","+1","0","0.03","0","+2","+19","5.97","0.06"
"3694","海華","59","+0.9","+1.55","05/15","+2","+158","3.5","0.1","0","0","0","0","+3","+88","1.64","0.06","+2","+225","4.99","0.15"
"3704","合勤控","38.2","+1.5","+4.09","05/15","+2","+4,446","33.4","1.07","0","0","0","0","-2","-10","-0.08","0","+2","+4,436","33.3","1.07"
"3712","永崴投控","16.2","-1.75","-9.75","05/15","+2","+42","6.44","0.02","0","0","0","0","-1","-15","-3.74","-0.01","+2","+27","4.14","0.01"
"4114","健喬","30.65","-0.1","-0.33","05/15","+2","+136","6.42","0.03","0","0","0","0","-4","-3","-0.07","0","+2","+135","6.37","0.03"
"4305","世坤","44","-0.3","-0.68","05/15","+2","+2","9.09","0","0","0","0","0","0","0","0","0","+2","+2","9.09","0"
"4419","皇家美食","46.3","-0.2","-0.43","05/15","+2","+2","9.38","0","0","0","0","0","+1","0","0.3","0","+2","+2","9.61","0"
"4526","東台","37.05","+1.5","+4.22","05/15","+2","+2,987","17.2","1.17","0","0","0","0","+1","+27","0.21","0.01","+2","+2,990","17.2","1.17"
"4536","拓凱","154.5","+3","+1.98","05/15","+2","+111","12","0.12","0","0","0","0","-1","-1","-0.12","0","+2","+99","10.7","0.11"
"4540","全球傳動","70.9","+6.4","+9.92","05/15","+2","+4,632","20.3","4.13","0","0","0","0","+1","+41","0.22","0.04","+2","+4,672","20.5","4.17"
"4558","寶緯","20.1","0","0","05/15","+2","+15","5","0.03","0","0","0","0","-2","-2","-0.67","0","+2","+13","4.33","0.03"
"4562","穎漢","39.05","+3.55","+10","05/15","+2","+381","9.52","0.44","0","0","0","0","+1","+2","0.06","0","+1","+382","10.6","0.44"
"4563","百德","47.3","+0.7","+1.5","05/15","+2","+18","2.05","0.03","0","0","0","0","-2","-1","-0.07","0","+2","+17","1.97","0.03"
"4577","達航科技","129","-3.5","-2.64","05/15","+2","+387","12.9","0.79","0","0","0","0","+9","+8","0.07","0.02","+2","+387","12.9","0.79"
"4721","美琪瑪","89.8","-2.3","-2.5","05/15","+2","+606","13.5","0.81","0","0","0","0","-1","-31","-1.88","-0.04","+2","+636","14.2","0.85"
"4722","國精化","264.5","+6.5","+2.52","05/15","+2","+884","8.17","0.86","0","0","0","0","-1","-37","-0.59","-0.04","+2","+871","8.05","0.85"
"4729","熒茂","20.75","+0.3","+1.47","05/15","+2","+58","10.1","0.07","0","0","0","0","0","0","0","0","+2","+58","10.1","0.07"
"4741","泓瀚","58.2","-6.2","-9.63","05/15","+2","+50","1.56","0.14","0","0","0","0","0","0","0","0","+2","+50","1.56","0.14"
"4807","日成-KY","24.1","-1.1","-4.37","05/15","+2","+22","1.9","0.04","0","0","0","0","+3","+8","0.62","0.02","+2","+26","2.28","0.05"
"4906","正文","39.15","0","0","05/15","+2","+5,728","8.43","1.34","0","0","0","0","-3","-92","-0.11","-0.02","+2","+5,711","8.4","1.34"
"4909","新復興","49.2","-2.5","-4.84","05/15","+2","+191","7.62","0.2","0","0","0","0","-4","-64","-1.47","-0.07","+2","+144","5.74","0.15"
"4916","事欣科","67.7","+0.8","+1.2","05/15","+2","+2,976","14.1","2.69","0","0","0","0","+2","+436","2.07","0.39","+2","+3,412","16.2","3.08"
"4923","力士","36.65","-1.95","-5.05","05/15","+2","+43","2.39","0.13","0","0","0","0","0","0","0","0","+2","+44","2.44","0.13"
"4951","精拓科","120.5","-8","-6.23","05/15","+2","+56","5.33","0.16","0","0","0","0","-1","-3","-0.46","-0.01","+2","+121","11.5","0.35"
"4952","凌通","50.3","-1.7","-3.27","05/15","+2","+564","15.2","0.52","0","0","0","0","+1","+1","0.09","0","+2","+560","15.1","0.51"
"4956","光鋐","42","-0.9","-2.1","05/15","+2","+1,432","21","1.43","0","0","0","0","0","0","0","0","+2","+1,432","21","1.43"
"4961","天鈺","169","-5.5","-3.15","05/15","+2","+111","3.49","0.09","0","0","0","0","-1","-24","-1.53","-0.02","+2","+96","3.01","0.08"
"4972","湯石照明","16.4","-0.05","-0.3","05/15","+2","+2","2.56","0","0","0","0","0","0","0","0","0","+2","+2","2.56","0"
"4974","亞泰","74.6","+0.5","+0.67","05/15","+2","+276","38.8","0.38","0","0","0","0","-4","-1","-0.09","0","+2","+275","38.7","0.38"
"4989","榮科","87.7","-3","-3.31","05/15","+2","+2,734","13.7","1.98","0","0","0","0","-1","-8","-0.09","-0.01","+2","+2,727","13.7","1.98"
"5243","乙盛-KY","102.5","+1.5","+1.49","05/15","+2","+319","4.3","0.19","0","0","0","0","-4","-406","-2.78","-0.24","-1","-139","-3.17","-0.08"
"5306","桂盟","85.1","+1.7","+2.04","05/15","+2","+121","17.2","0.1","0","0","0","0","-2","-10","-1.43","-0.01","+2","+111","15.8","0.09"
"5309","系統電","64.9","+0.1","+0.15","05/15","+2","+471","3.36","0.2","0","0","0","0","+2","+166","1.19","0.07","+2","+637","4.54","0.28"
"5371","中光電","68.6","0","0","05/15","+2","+600","7.57","0.15","-4","-1,089","-7.39","-0.28","+1","+17","0.4","0","+1","+495","11.8","0.13"
"5392","能率","42.7","+0.85","+2.03","05/15","+2","+1,587","7.52","0.9","0","0","0","0","-1","-20","-0.16","-0.01","+2","+1,602","7.59","0.91"
"5438","東友","18.55","-0.1","-0.54","05/15","+2","+34","16.3","0.03","0","0","0","0","0","0","0","0","+2","+34","16.3","0.03"
"5493","三聯","95.1","-0.2","-0.21","05/15","+2","+186","6.79","0.43","0","0","0","0","+4","+8","0.18","0.02","+2","+193","7.03","0.44"
"6125","廣運","58.7","+0.2","+0.34","05/15","+2","+508","14.3","0.2","0","0","0","0","-3","-34","-0.61","-0.01","+2","+496","14","0.19"
"6151","晉倫","41.45","+0.15","+0.36","05/15","+2","+252","11.5","0.46","0","0","0","0","0","0","0","0","+2","+252","11.5","0.46"
"6188","廣明","84.3","+1.2","+1.44","05/15","+2","+1,184","19.4","0.43","0","0","0","0","+1","+19","0.37","0.01","+2","+1,190","19.5","0.43"
"6189","豐藝","48.1","-0.1","-0.21","05/15","+2","+420","21.7","0.16","-8","-138","-1.82","-0.05","+1","+14","1.46","0.01","+2","+411","21.3","0.16"
"6192","巨路","126.5","-7","-5.24","05/15","+2","+176","11.2","0.18","0","0","0","0","+1","+4","0.69","0","+2","+177","11.3","0.18"
"6202","盛群","53.3","-1.9","-3.44","05/15","+2","+354","7.63","0.15","0","0","0","0","-4","-15","-0.11","-0.01","+2","+346","7.45","0.15"
"6208","日揚","99.8","-4.7","-4.5","05/15","+2","+295","1.7","0.31","0","0","0","0","-2","-158","-0.91","-0.17","+1","+211","2.86","0.22"
"6215","和椿","130.5","+11.5","+9.66","05/15","+2","+2,056","11.8","2.48","0","0","0","0","+1","+337","2.4","0.41","+2","+2,330","13.3","2.81"
"6224","聚鼎","71.7","-1.9","-2.58","05/15","+2","+649","20.3","0.76","0","0","0","0","0","0","0","0","+2","+645","20.1","0.75"
"6233","旺玖","25.3","-0.55","-2.13","05/15","+2","+141","17.1","0.17","0","0","0","0","0","0","0","0","+2","+141","17.1","0.17"
"6243","迅杰","33.6","-1.3","-3.72","05/15","+2","+130","13.9","0.29","0","0","0","0","+1","+1","0.19","0","+2","+126","13.5","0.28"
"6244","茂迪","27.55","-0.7","-2.48","05/15","+2","+1,079","9","0.28","0","0","0","0","-3","-178","-0.54","-0.05","+2","+929","7.75","0.24"
"6248","沛波","18.55","0","0","05/15","+2","+14","7.34","0.01","0","0","0","0","-1","0","-0.16","0","+2","+14","7.28","0.01"
"6292","迅德","52.6","-0.9","-1.68","05/15","+2","+65","12.7","0.14","0","0","0","0","0","0","0","0","+2","+67","13.1","0.14"
"6294","智基","27.5","-0.3","-1.08","05/15","+2","+9","4.11","0.03","0","0","0","0","+1","0","0.21","0","+2","+9","4.16","0.03"
"6411","晶焱","82.6","-2.5","-2.94","05/15","+2","+302","9.3","0.3","0","0","0","0","+3","+11","0.28","0.01","+2","+313","9.63","0.32"
"6417","韋僑","124.5","-10.5","-7.78","05/15","+2","+116","17","0.27","0","0","0","0","-1","-2","-0.48","0","+2","+118","17.3","0.28"
"6449","鈺邦","263","+23.5","+9.81","05/15","+2","+735","7.26","0.8","0","0","0","0","-1","-44","-0.76","-0.05","+4","+1,500","7.78","1.63"
"6465","威潤","45.3","-3.3","-6.79","05/15","+2","+241","13.5","0.51","0","0","0","0","-1","-4","-0.4","-0.01","+2","+241","13.4","0.51"
"6472","保瑞","353","-10","-2.75","05/15","+2","+998","15.9","0.78","0","0","0","0","-2","-166","-2.65","-0.13","+2","+832","13.3","0.65"
"6492","生華科","47.85","-0.4","-0.83","05/15","+2","+55","6.75","0.06","0","0","0","0","+1","0","0.09","0","+2","+55","6.73","0.06"
"6516","勤崴國際","56.7","+0.5","+0.89","05/15","+2","+20","6.06","0.04","0","0","0","0","0","0","0","0","+2","+20","6.06","0.04"
"6538","倉和","88.8","+4.8","+5.71","05/15","+2","+202","10.8","0.53","0","0","0","0","+14","+470","9.56","1.23","+4","+356","16.8","0.93"
"6588","東典光電","129","-3.5","-2.64","05/15","+2","+288","11.8","0.83","0","0","0","0","-1","0","-0.03","0","+2","+288","11.9","0.83"
"6589","台康生技","44.6","+4.05","+9.99","05/15","+2","+185","8.43","0.06","0","0","0","0","+1","+18","2.16","0.01","+2","+202","9.21","0.07"
"6658","聯策","194","+1","+0.52","05/15","+2","+157","8.08","0.43","0","0","0","0","+1","+5","0.72","0.01","+2","+151","7.77","0.42"
"6690","安碁資訊","167.5","+0.5","+0.3","05/15","+2","+28","30.3","0.09","0","0","0","0","0","0","0","0","+2","+28","30.3","0.09"
"6725","矽科宏晟","295.5","-12","-3.9","05/15","+2","+114","13.4","0.31","0","0","0","0","-3","-14","-1.22","-0.04","+2","+102","12","0.27"
"6728","上洋","111","-0.5","-0.45","05/15","+2","+7","10.5","0.02","0","0","0","0","0","0","0","0","+2","+7","10.5","0.02"
"6733","博晟生醫","27.3","-0.45","-1.62","05/15","+2","+117","24.4","0.09","0","0","0","0","+1","0","0.16","0","+2","+117","24.5","0.09"
"6735","美達科技","124","-13.5","-9.82","05/15","+2","+228","6.65","0.49","0","0","0","0","-3","-347","-8.82","-0.75","-3","-124","-3.16","-0.27"
"6762","達亞","184.5","+16.5","+9.82","05/15","+2","+17","37.2","0.05","0","0","0","0","0","0","0","0","+2","+17","37.2","0.05"
"6770","力積電","62.8","+0.6","+0.96","05/15","+2","+72,970","13.2","1.72","-1","-4","0","0","+2","+1,500","0.27","0.04","+2","+76,372","13.8","1.8"
"6788","華景電","408","-35.5","-8","05/15","+2","+261","7.89","0.67","0","0","0","0","-4","-144","-2.56","-0.37","+2","+131","3.95","0.34"
"6799","來頡","92.3","-2.1","-2.22","05/15","+2","+132","7.08","0.3","0","0","0","0","-1","-2","-0.12","0","+2","+131","7.02","0.3"
"6806","森崴能源","15.6","-1.7","-9.83","05/15","+2","+5,789","91.1","2.11","0","0","0","0","0","0","0","0","+2","+5,789","91.1","2.11"
"6811","宏碁資訊","205.5","-2","-0.96","05/15","+2","+61","35.8","0.15","0","0","0","0","-1","0","-0.47","0","+2","+61","35.6","0.15"
"6823","濾能","82","+1.4","+1.74","05/15","+2","+79","8.96","0.26","0","0","0","0","0","0","0","0","+2","+79","8.96","0.26"
"6829","千附精密","198","-4.5","-2.22","05/15","+2","+462","9","0.78","0","0","0","0","+1","+9","0.44","0.02","+2","+397","7.73","0.67"
"6838","台新藥","25.95","+0.1","+0.39","05/15","+2","+82","17.3","0.05","0","0","0","0","0","0","0","0","+2","+81","17","0.05"
"6840","東研信超","62","+0.7","+1.14","05/15","+2","+40","15.7","0.13","0","0","0","0","-2","0","-0.13","0","+2","+40","15.6","0.13"
