"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"5388","中磊","85.4","+0.8","+0.95","07/13","+2","+3,639","35","1.2","0","0","0","0","-1","-24","-0.59","-0.01","+2","+3,871","37.2","1.27"
"5488","松普","17.8","+1.6","+9.88","07/13","+2","+1,909","10.2","2.08","0","0","0","0","-1","-22","-0.2","-0.02","+2","+1,909","10.2","2.08"
"5490","同亨","29.85","-0.1","-0.33","07/13","+2","+185","15.6","0.19","0","0","0","0","+2","+4","0.34","0","+2","+189","16","0.2"
"5514","三豐","13.55","+0.05","+0.37","07/13","+2","+5","15.3","0","0","0","0","0","+2","0","0.21","0","+2","+5","15.5","0"
"5522","遠雄","66.1","+1.4","+2.16","07/13","+2","+473","32","0.06","+6","+421","8.77","0.05","-1","-4","-0.54","0","+2","+594","40.2","0.08"
"5529","鉅陞","21.2","-0.05","-0.24","07/13","+2","+3","4.51","0","0","0","0","0","0","0","0","0","+2","+3","4.51","0"
"5538","東明-KY","33.25","+0.3","+0.91","07/13","+2","+9","15.8","0","0","0","0","0","-2","-8","-14","0","-1","-4","-14.3","0"
"5608","四維航","14.45","-0.15","-1.03","07/13","+2","+76","5.47","0.02","0","0","0","0","+1","+2","0.29","0","+2","+75","5.39","0.02"
"5906","台南-KY","37","+0.2","+0.54","07/13","+2","+3","94.6","0.01","0","0","0","0","0","0","0","0","+2","+3","94.6","0.01"
"6101","寬魚國際","39.4","-1.6","-3.9","07/13","+2","+45","6.1","0.04","0","0","0","0","+1","0","0.05","0","+2","+45","6.06","0.04"
"6104","創惟","101.5","-0.5","-0.49","07/13","+2","+119","5.4","0.13","0","0","0","0","-4","-59","-1.21","-0.06","+2","+104","4.75","0.11"
"6136","富爾特","24.4","+0.3","+1.24","07/13","+2","+57","19.3","0.05","0","0","0","0","+1","+3","1.64","0","+2","+59","20","0.05"
"6143","振曜","101.5","-3","-2.87","07/13","+2","+137","10.3","0.16","0","0","0","0","+1","+1","0.12","0","+1","+138","19.6","0.16"
"6164","華興","14.35","-0.6","-4.01","07/13","+2","+290","6.51","0.36","0","0","0","0","+1","+8","0.38","0.01","+2","+295","6.63","0.37"
"6182","合晶","189.5","+17","+9.86","07/13","+2","+11,167","4.41","1.88","+3","+7,338","1.87","1.24","+3","+1,525","0.39","0.26","+2","+17,672","6.97","2.98"
"6192","巨路","121","+1","+0.83","07/13","+2","+138","46.9","0.14","0","0","0","0","-3","-7","-1.77","-0.01","+2","+132","44.9","0.14"
"6196","帆宣","551","+2","+0.36","07/13","+2","+1,129","30","0.51","-2","-991","-26.3","-0.45","+1","+7","0.39","0","+1","+158","8.57","0.07"
"6204","艾華","93.5","-5","-5.08","07/13","+2","+141","15.6","0.61","0","0","0","0","0","0","0","0","+2","+141","15.6","0.61"
"6208","日揚","85.7","-4.6","-5.09","07/13","+2","+39","3.97","0.04","0","0","0","0","-1","-3","-0.46","0","+2","+37","3.8","0.04"
"6277","宏正","74.8","+4.1","+5.8","07/13","+2","+36","4.82","0.03","0","0","0","0","+1","+5","0.78","0","+2","+40","5.36","0.03"
"6441","廣錠","22","-1","-4.35","07/13","+2","+23","20.9","0.04","0","0","0","0","0","0","0","0","+2","+23","20.9","0.04"
"6469","大樹","78.5","+0.5","+0.64","07/13","+2","+421","45.9","0.28","0","0","0","0","-1","0","-0.07","0","+2","+421","45.9","0.28"
"6472","保瑞","422","-4","-0.94","07/13","+2","+146","9.11","0.11","0","0","0","0","-2","-48","-3.02","-0.04","+2","+98","6.09","0.08"
"6499","益安","69.8","-1.2","-1.69","07/13","+2","+34","8.85","0.04","0","0","0","0","-3","-1","-0.1","0","+2","+34","8.84","0.03"
"6532","瑞耘","75.8","-2.2","-2.82","07/13","+2","+242","29.1","0.65","0","0","0","0","+1","+1","0.28","0","+2","+243","29.3","0.65"
"6538","倉和","149.5","+13.5","+9.93","07/13","+2","+310","11.4","0.81","0","0","0","0","-2","-39","-1.45","-0.1","+2","+271","9.99","0.71"
"6558","興能高","29.6","-0.2","-0.67","07/13","+2","+93","17.9","0.1","0","0","0","0","+1","+1","0.33","0","+2","+93","17.9","0.1"
"6582","申豐","32.6","-0.2","-0.61","07/13","+2","+9","9.38","0.01","0","0","0","0","-1","-2","-2.8","0","+2","+8","8.34","0.01"
"6605","帝寶","127.5","+1.5","+1.19","07/13","+2","+463","21.3","0.28","0","0","0","0","-3","-80","-2.69","-0.05","-1","-15","-3.76","-0.01"
"6609","瀧澤科","43.75","+3.95","+9.92","07/13","+2","+321","17.6","0.44","0","0","0","0","-3","-51","-2.56","-0.07","+2","+270","14.8","0.37"
"6625","必應","80.1","+1.2","+1.52","07/13","+2","+91","22.2","0.16","0","0","0","0","-1","-4","-1.42","-0.01","+2","+87","21.2","0.15"
"6664","群翊","387","+13.5","+3.61","07/13","+2","+211","19.1","0.34","0","0","0","0","+2","+31","2.81","0.05","+2","+241","21.9","0.39"
"6666","羅麗芬-KY","44.35","-0.1","-0.22","07/13","+2","+11","16.5","0.02","0","0","0","0","-1","-1","-5.86","0","+2","+10","15","0.02"
"6668","中揚光","37.9","0","0","07/13","+2","+14","1.2","0.01","0","0","0","0","+1","+2","0.29","0","+2","+16","1.38","0.01"
"6670","復盛應用","259.5","-2","-0.76","07/13","+2","+69","14.4","0.05","-2","-101","-20.9","-0.07","0","0","0","0","-3","-175","-21.4","-0.13"
"6730","常廣","37.1","-0.5","-1.33","07/13","+2","+4","8.97","0.01","0","0","0","0","0","0","0","0","+2","+4","8.97","0.01"
"6753","龍德造船","159.5","+11.5","+7.77","07/13","+2","+328","2.79","0.28","0","0","0","0","+1","+511","7.35","0.44","+2","+721","6.13","0.61"
"6776","展碁國際","54.7","-1","-1.8","07/13","+2","+63","19.4","0.07","0","0","0","0","0","0","0","0","+2","+61","18.8","0.07"
"6803","崑鼎","274","0","0","07/13","+2","+73","36.4","0.1","0","0","0","0","-2","-2","-1","0","+2","+71","35.4","0.1"
"6841","長佳智能","63.5","-1.2","-1.85","07/13","+2","+103","6.35","0.11","0","0","0","0","-4","-20","-0.29","-0.02","+2","+98","6.02","0.1"
"6885","全福生技","21.4","-0.45","-2.06","07/13","+2","+54","13.8","0.04","0","0","0","0","+1","+29","11.4","0.02","+2","+80","20.4","0.06"
"6903","巨漢","391","-3","-0.76","07/13","+2","+582","33.8","0.87","0","0","0","0","-1","-2","-0.3","0","+2","+624","36.2","0.94"
"6913","鴻呈","125.5","-1.5","-1.18","07/13","+2","+13","3.04","0.03","0","0","0","0","-4","-15","-1.42","-0.03","+2","+3","0.8","0.01"
"6914","阜爾運通","144","+1.5","+1.05","07/13","+2","+34","27.1","0.05","0","0","0","0","-1","-1","-1.1","0","+2","+33","26.3","0.05"
"6918","愛派司","74","-0.1","-0.13","07/13","+2","+12","27.8","0.03","0","0","0","0","-1","-3","-12.4","-0.01","+2","+9","20.8","0.03"
"6944","兆聯實業","1045","+47","+4.71","07/13","+2","+489","34.9","0.64","0","0","0","0","-1","-4","-0.51","0","+2","+530","37.8","0.69"
"6951","青新-創","72.1","+2.5","+3.59","07/13","+2","+12","7.17","0.03","0","0","0","0","+1","+1","0.91","0","+2","+8","4.92","0.02"
"6958","日盛台駿","17.1","+0.25","+1.48","07/13","+2","+9","12.2","0","0","0","0","0","-3","-13","-10.6","0","-1","-4","-6.97","0"
"6961","旅天下","53.6","+0.1","+0.19","07/13","+2","+7","16.3","0.03","0","0","0","0","0","0","0","0","+2","+7","16.3","0.03"
"7584","樂意","27","-2.7","-9.09","07/13","+2","+4","19.9","0.02","0","0","0","0","0","0","0","0","+2","+4","19.9","0.02"
"7711","永擎","317","+9.5","+3.09","07/13","+2","+14","4.46","0.02","0","0","0","0","+1","+1","0.49","0","+2","+15","4.74","0.02"
"7791","皇家可口","62.7","+0.4","+0.64","07/13","+2","+34","27.2","0.04","0","0","0","0","-2","-4","-3.2","0","+1","+30","28.9","0.04"
"8045","達運光電","59.3","+0.9","+1.54","07/13","+2","+64","26.1","0.07","0","0","0","0","-2","-2","-0.96","0","+2","+62","25.1","0.06"
"8047","星雲","42.55","-1.45","-3.3","07/13","+2","+14","12.5","0.03","0","0","0","0","+2","+3","2.68","0.01","+2","+17","15.1","0.04"
"8050","廣積","60.9","+2.7","+4.64","07/13","+2","+1,515","27.7","0.74","0","0","0","0","+6","+158","1.36","0.08","+2","+1,580","28.9","0.77"
"8085","福華","11.8","-0.25","-2.07","07/13","+2","+71","14.5","0.05","0","0","0","0","-2","0","0","0","+2","+71","14.5","0.05"
"8114","振樺電","199.5","-4.5","-2.21","07/13","+2","+157","13.8","0.21","0","0","0","0","-3","-7","-0.37","-0.01","+2","+153","13.5","0.2"
"8210","勤誠","1135","-40","-3.4","07/13","+2","+514","30","0.41","-4","-776","-16.1","-0.62","-3","-73","-2.65","-0.06","+2","+134","7.8","0.11"
"8249","菱光","47.1","+0.1","+0.21","07/13","+2","+48","9.78","0.03","0","0","0","0","+1","+10","3.96","0.01","+1","+53","21","0.04"
"8261","富鼎","292.5","-32.5","-10","07/13","+2","+1,131","13.5","0.95","0","0","0","0","+1","+80","1.57","0.07","+2","+1,186","14.2","1"
"8349","恒耀","39.8","+0.3","+0.76","07/13","+2","+21","19.8","0.01","0","0","0","0","0","0","0","0","+2","+21","19.6","0.01"
"8411","福貞-KY","12.45","+0.05","+0.4","07/13","+2","+16","11.8","0.01","0","0","0","0","-1","-24","-30","-0.01","-1","-13","-16.3","-0.01"
"8421","旭源","15.35","+1.3","+9.25","07/13","+2","+68","4.16","0.12","0","0","0","0","+2","+1","0.04","0","+2","+69","4.2","0.13"
"8477","創業家","15.9","-0.25","-1.55","07/13","+2","+10","8.25","0.02","0","0","0","0","0","0","0","0","+2","+10","8.25","0.02"
"8924","大田","56.8","-0.5","-0.87","07/13","+2","+6","6.99","0.01","0","0","0","0","+1","0","0.61","0","+1","+5","8.27","0.01"
"911868","同方友友-DR","1.2","0","0","07/13","+2","+50","3.15","0.04","0","0","0","0","0","0","0","0","+2","+50","3.15","0.04"
"9802","鈺齊-KY","74.7","-0.3","-0.4","07/13","+2","+557","42","0.28","0","0","0","0","+5","+41","1.4","0.02","+2","+576","43.4","0.29"
"9914","美利達","75.4","+2.6","+3.57","07/13","+2","+134","5.66","0.04","+8","+317","2.65","0.11","+2","+13","0.54","0","+2","+157","6.63","0.05"
"9937","全國","55.5","+0.1","+0.18","07/13","+2","+22","29.8","0.01","0","0","0","0","+1","+2","4.25","0","+4","+23","20.1","0.01"
"9940","信義","19.75","+0.05","+0.25","07/13","+2","+83","15.3","0.01","0","0","0","0","+1","+10","3.43","0","+2","+90","16.5","0.01"
"9941","裕融","81.6","+0.6","+0.74","07/13","+2","+259","14.2","0.04","0","0","0","0","-3","-3","-0.09","0","+2","+255","13.9","0.04"
"9951","皇田","53.2","-0.3","-0.56","07/13","+2","+6","8.78","0.01","0","0","0","0","-2","-1","-0.85","0","+2","+5","7.93","0.01"
"9960","邁達康","32.15","-1.35","-4.03","07/13","+2","+10","17.4","0.03","0","0","0","0","+2","0","0.36","0","+2","+10","17.7","0.03"
