排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,6515,穎崴,6735.0,-520.0,-7.17,07/16,50.5,41.4,34.7,23.6,11.9,15.2,12.3,8.82,5.2,5.28,,8.12
2,6535,順藥,96.0,-0.4,-0.41,07/16,25.3,23.6,17.3,18.9,10.1,10.8,3.63,2.02,0.56,0.36,,1.88
3,2610,華航,20.9,-0.3,-1.42,07/16,39.4,34.4,31.4,18.6,9.47,3.13,2.81,3.33,4.06,2.14,1.01,3.61
4,2368,金像電,1005.0,-20.0,-1.95,07/16,9.86,19.2,14.2,18.5,12.1,14.0,7.85,5.45,4.27,4.17,2.14,5.75
5,3090,日電貿,209.0,-16.0,-7.11,07/16,14.2,14.1,21.2,17.7,18.0,7.73,2.1,2.22,1.65,1.56,0.8,2.36
6,8155,博智,327.5,-10.0,-2.96,07/16,56.2,36.4,22.0,16.7,9.31,3.74,0.65,0.37,0.16,0.23,0.03,0.37
7,5289,宜鼎,1395.0,-75.0,-5.1,07/16,21.4,12.3,13.3,16.1,11.1,9.08,3.62,2.85,2.38,3.36,2.54,2.62
8,7751,竑騰,1240.0,30.0,2.48,07/16,0.0,12.4,17.7,15.7,9.05,5.18,6.92,3.9,,,,3.35
9,6805,富世達,1415.0,20.0,1.43,07/16,4.32,15.7,9.6,15.2,16.0,11.8,10.9,7.9,6.18,,,9.4
10,2882B,國泰金乙特,58.6,0.1,0.17,07/16,36.9,36.6,27.2,14.8,13.9,4.61,1.41,1.92,7.45,3.31,,2.46
11,5274,信驊,13905.0,5.0,0.04,07/16,0.09,0.76,11.6,14.6,13.6,11.2,8.29,5.52,4.84,4.29,4.6,5.16
12,6670,復盛應用,263.0,0.5,0.19,07/16,0.0,6.87,12.2,14.4,14.7,4.92,6.03,5.71,11.8,6.07,,6.12
13,6768,志強-KY,71.0,0.0,0.0,07/16,42.2,28.2,18.7,13.0,6.56,3.17,1.79,2.26,4.28,2.57,,4.64
14,6274,台燿,1295.0,-140.0,-9.76,07/16,20.4,13.9,15.1,12.0,5.71,3.32,2.58,4.84,2.91,2.36,3.4,4.93
15,3131,弘塑,3255.0,50.0,1.56,07/16,0.02,5.64,15.0,10.2,13.4,8.25,6.07,4.5,4.69,4.66,4.09,4.32
16,9907,統一實,15.3,0.0,0.0,07/16,32.5,15.6,10.7,10.2,9.38,26.0,14.4,10.0,4.72,2.07,0.67,9.56
17,3443,創意,4185.0,65.0,1.58,07/16,0.12,4.31,12.4,10.0,7.24,4.38,3.66,3.16,2.2,2.48,2.09,2.93
18,6196,帆宣,590.0,5.0,0.85,07/16,0.04,0.18,0.23,9.72,5.14,3.08,0.92,0.83,3.85,2.16,1.08,0.76
19,3227,原相,190.0,-6.5,-3.31,07/16,28.6,19.2,11.1,9.59,3.59,1.78,2.06,2.26,1.84,1.99,1.61,2.27
20,2880,華南金,39.4,0.55,1.42,07/16,28.2,18.5,12.6,9.4,7.0,16.0,10.5,8.34,6.72,6.13,2.59,8.34
21,8210,勤誠,1175.0,30.0,2.62,07/16,0.0,2.64,2.4,9.31,14.4,19.5,4.62,3.53,1.55,0.43,0.21,3.36
22,3529,力旺,2530.0,0.0,0.0,07/16,0.22,5.79,5.76,8.75,15.6,9.92,9.06,5.04,5.16,5.42,4.23,5.27
23,4904,遠傳,101.0,4.7,4.88,07/16,12.4,13.8,11.3,8.71,5.81,10.5,10.7,10.4,10.1,10.4,5.6,10.6
24,6510,精測,2680.0,-130.0,-4.63,07/16,5.19,2.63,10.5,8.51,15.2,17.4,10.5,9.74,6.87,5.95,3.79,9.39
25,3036,文曄,196.0,-4.0,-2.0,07/16,45.8,20.3,12.2,8.06,17.0,21.0,18.0,13.5,11.8,7.23,5.51,13.7
26,2404,漢唐,1250.0,5.0,0.4,07/16,2.71,2.43,2.35,7.85,10.8,6.55,7.9,7.28,7.71,9.35,4.93,7.11
27,6831,邁科,680.0,-30.0,-4.23,07/16,0.0,0.84,14.7,7.63,2.54,1.59,1.3,1.15,,,,1.07
28,4938,和碩,83.2,0.5,0.6,07/16,20.8,13.0,8.76,7.63,16.2,13.2,5.08,5.33,9.84,8.2,3.95,6.81
29,1560,中砂,728.0,-9.0,-1.22,07/16,10.7,11.3,9.39,7.61,5.65,2.5,2.61,3.86,3.99,2.69,1.8,3.45
30,2303,聯電,160.0,-6.0,-3.61,07/16,12.8,8.15,7.46,7.5,12.6,12.8,10.5,8.28,8.61,6.8,2.74,8.03
31,6415,矽力*-KY,473.0,-31.0,-6.15,07/16,10.7,6.68,11.5,7.32,5.06,2.53,1.7,2.32,1.95,2.03,2.19,2.07
