"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"133","8021","尖點","490.5","+44.5","+9.98","05/14","0.03","1.57","2.24","2.22","3.29","4.26","0.66","0.45","0.08","0.07","0.05","0.41"
"134","3693","營邦","554","-15","-2.64","05/14","4.04","2.27","1.39","2.2","1.25","0.77","0.34","0.5","0.4","0.1","0.08","0.3"
"135","9939","宏全","121","+2","+1.68","05/14","6.53","5.53","3.1","2.14","3.07","3.9","1.97","1.05","0.64","0.17","0.05","1.85"
"136","2105","正新","31.9","+0.7","+2.24","05/14","1.48","1.12","2.76","2.09","3.95","2.89","14.2","12.4","14.6","7.92","4.07","13.4"
"137","2504","國產","34.2","-0.2","-0.58","05/14","2.71","1.87","1.84","2.05","8.05","9.78","4.43","14.8","15.8","9.99","3.57","5.4"
"138","3044","健鼎","512","-17","-3.21","05/14","0.48","1.44","2.2","2.03","1.88","3.33","4.94","9.91","10.2","7.95","5.7","6.51"
"139","6176","瑞儀","100.5","-1.5","-1.47","05/14","3.11","2.73","1.76","2.02","3.6","4.63","4.21","11.3","11.3","9.83","3.74","7.94"
"140","3037","欣興","881","-11","-1.23","05/14","0.97","0.57","0.43","1.97","1.63","3.11","2.25","1.35","1.68","2.11","1.67","1.46"
"141","6189","豐藝","48.2","+1.25","+2.66","05/14","2.04","2","2.05","1.96","1.41","0.99","0.59","0.29","3.43","1.25","0.95","0.34"
"142","7769","鴻勁","7560","+120","+1.61","05/14","4.59","1.26","0.85","1.95","1.9","3.75","2.08","","","","","2"
"143","5876","上海商銀","40.3","0","0","05/14","5.02","2.53","2.58","1.87","5.63","6.74","5.33","16.6","20.3","9.72","","8.54"
"144","1612","宏泰","36.15","-0.7","-1.9","05/14","2.71","2.59","2.77","1.87","1.07","0.65","0.29","0.1","0.15","0.12","0.07","0.13"
"145","4766","南寶","390","+4","+1.04","05/14","1.89","2.08","2.4","1.79","1.63","3.42","2.83","4","5.21","4.58","","3.08"
"146","8299","群聯","2880","+260","+9.92","05/14","3.01","4.5","2.52","1.78","1.12","2.69","1.78","1.46","0.79","0.3","0.13","1.45"
