排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,6577,勁豐,72.3,-1.7,-2.3,06/26,57.7,128.0,583.0,4000.0,925.0,-2.38,2.5,-35.9,-67.6,-35.9
2,009821,野村稀土關鍵資源,14.23,-0.38,-2.6,06/26,-8.55,-9.56,16.0,833.0,,,,,,
3,6614,資拓宏宇,39.65,-0.25,-0.63,06/26,19.1,33.3,33.3,700.0,833.0,,,,,
4,6936,永鴻生技,32.25,-0.35,-1.07,06/26,150.0,150.0,150.0,200.0,650.0,-71.7,-61.5,15.4,,7.14
5,00942B,台新美A公司債20+,14.61,0.0,0.0,06/26,0.0,17.8,48.9,199.0,178.0,34.4,331.0,252.0,87.2,324.0
6,4904,遠傳,107.0,-1.5,-1.38,06/26,16.5,45.9,90.3,187.0,364.0,589.0,712.0,536.0,-12.2,705.0
7,7757,金色三麥,94.1,-2.7,-2.79,06/26,16.7,40.0,75.0,133.0,282.0,4100.0,,,,
8,2890,永豐金,39.15,-0.8,-2.0,06/26,0.03,24.3,58.7,117.0,127.0,38.8,50.8,27.3,-77.5,30.2
9,00997A,主動群益美國增長,13.98,-0.55,-3.79,06/26,-2.74,8.32,107.0,107.0,124.0,101.0,,,,
10,6735,美達科技,87.6,-5.4,-5.81,06/26,10.4,10.9,39.0,100.0,91.3,303.0,417.0,210.0,856.0,210.0
11,6861,睿生光電,303.0,-30.5,-9.15,06/26,8.59,21.8,44.7,87.6,64.9,-11.9,137.0,9.48,608.0,9.48
12,7791,皇家可口,61.2,-0.7,-1.13,06/26,17.2,22.3,25.9,84.8,130.0,554.0,,,,
13,6101,寬魚國際,47.75,1.55,3.35,06/26,27.5,51.5,66.3,84.3,88.9,20.4,93.5,29.7,-54.2,44.3
