項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),391084,292841,9757,9270954,9359440
融券(交易單位),32012,38132,4368,210862,212614
融資金額(仟元),27613888,19194192,958839,569035380,576496237
