"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"81","3526","凡甲","391.5","+3.5","+0.9","05/12","+0.26","-0.18","+0.75","+1.82","+0.46","+0.69","+3.35","+5.02","-2.95","+12.9","+16.3","+5.07"
"82","3026","禾伸堂","330","+0.5","+0.15","05/12","+0.22","+0.58","+1.04","+1.81","-4.85","-6.98","-1.18","-3.07","+1.45","+3.23","+5.4","+0.52"
"83","3163","波若威","1065","+25","+2.4","05/12","+0.16","+0.1","+0.18","+1.79","-0.05","-4.51","-4.88","+15.4","+13","+12.4","+9.92","-1.01"
"84","3034","聯詠","487","-9.5","-1.91","05/12","+0.56","+0.99","+1.33","+1.79","+1.85","+1.9","+6.08","+7.82","+7.12","-12.7","-22.9","+7.06"
"85","00986D","主動復華金融債息","14.78","0","0","05/12","0","0","0","+1.78","+1.81","","","","","","",""
"86","6291","沛亨","518","+46.5","+9.86","05/12","+1.32","+1.24","+1.43","+1.78","+1.63","-0.96","-2.42","+0.34","+1.09","+1.01","+1.12","+1.74"
"87","6116","彩晶","10.65","+0.94","+9.68","05/12","+0.53","+0.38","+0.75","+1.78","+1.7","+2.56","+2.47","-1.29","-0.41","-0.21","-3.37","-1.62"
"88","6147","頎邦","196","-0.5","-0.25","05/12","+0.05","-0.76","+0.29","+1.76","-1.13","-0.79","-2.96","-0.37","-4.83","-6.5","-24.3","-1.94"
"89","8069","元太","195.5","+17.5","+9.83","05/12","+1.62","+1.56","+1.64","+1.75","+1.56","+0.99","-1.82","-4.62","-5.87","+4.03","+21.8","-2.94"
"90","2342","茂矽","44.1","+1.05","+2.44","05/12","+1.2","+0.86","+0.38","+1.74","+3.61","+4.6","+4.56","+5.63","-1.85","+4.09","-12.7","+5.46"
"91","6509","聚和","46.65","+2.95","+6.75","05/12","+1.82","+0.83","+1.7","+1.7","+2.14","+2.11","-2.2","-0.03","-0.1","+1.69","+0.46","-0.93"
"92","00946","群益科技高息成長","13.09","-0.02","-0.15","05/12","+0.27","+0.1","-0.01","+1.7","+2.01","+5.78","+7.83","+10.3","+20.8","","","+11"
"93","00638R","元大滬深300反1","6.43","-0.1","-1.53","05/12","+1.77","+1.77","-0.44","+1.69","+1.3","+0.73","+1.22","-0.71","+1.84","+2.14","+26.9","+1.77"
"94","6683","雍智科技","2370","+100","+4.41","05/12","+0.34","+0.52","+0.69","+1.66","+0.71","+1.07","-3.73","+8.16","-3.96","+1.09","","+3.03"
"95","00717","富邦美國特別股","15.15","0","0","05/12","+0.26","+0.67","+1.09","+1.66","+2.6","+4.17","+7.17","+11.3","+14.8","+51","","+8.85"
"96","3055","蔚華科","110","+10","+10","05/12","+1.02","+0.99","+1.27","+1.62","+1","+1.69","+2.36","+3.07","+1.86","-0.6","-0.63","+1.54"
"97","6449","鈺邦","198.5","+18","+9.97","05/12","+0.72","+0.59","+1.1","+1.58","+2.32","+2.75","+2.95","+1.24","+1.47","+3.03","+5.21","+2.51"
"98","8438","昶昕","103.5","+4.8","+4.86","05/12","+0.77","+1.7","+1.77","+1.57","+1.72","+0.84","+3.04","+4.09","+3.76","+5.09","","+4.18"
"99","2606","裕民","63.9","-1.4","-2.14","05/12","+0.42","+0.58","+0.96","+1.54","+1.82","+1.66","+3.19","+5.36","+5.17","+1.89","+9.44","+6.44"
"100","00970B","新光BBB投等債20+","9.34","-0.01","-0.11","05/12","+0.22","+0.91","+1.35","+1.54","+2.03","+3.86","+6.17","+20.4","+57.9","","","+12.7"
"101","3209","全科","66.5","+6","+9.92","05/12","+0.41","+1.48","+1.67","+1.53","+2","+4.76","+12","+15.8","+14","+16","+16.9","+14.8"
"102","2727","王品","235.5","+0.5","+0.21","05/12","+0.14","+0.25","+1.19","+1.52","+1.5","+0.85","+5.81","+4.17","+3.05","-9.7","+15.6","+5.55"
"103","4571","鈞興-KY","194","-3.5","-1.77","05/12","+0.34","+1.08","+1.23","+1.52","+1.36","+1.26","+1.49","+1.93","-8.54","-5.79","","+1.57"
"104","2428","興勤","201.5","+8.5","+4.4","05/12","+0.69","+0.81","+1.28","+1.52","+2.05","+1.99","+4.56","+4.34","+0.84","+3.79","+2.88","+5.14"
"105","3131","弘塑","3140","+50","+1.62","05/12","+0.37","+1.38","+1.13","+1.51","+1.58","+2.12","+11.4","+18.2","+17","+30.3","+31.2","+20.9"
"106","2458","義隆","145.5","-4.5","-3","05/12","+0.1","+0.02","+0.94","+1.45","+2.05","+7.81","+11.8","+9.45","-5.52","-1.65","+30.3","+11.8"
"107","3135","凌航","213.5","+19","+9.77","05/12","+2.15","+2.11","+2.55","+1.45","+3.22","+3.13","+3.16","+2.4","","","","+0.08"
"108","00939","統一台灣高息動能","18.04","-0.11","-0.61","05/12","+0.09","+0.22","+0.4","+1.41","+2.43","+4.12","+7.03","+16.9","+24.5","","","+15.1"
"109","00916","國泰全球品牌50","27.5","-0.11","-0.4","05/12","-0.07","-0.07","0","+1.4","+1.8","+2.53","+1.39","+3.13","+11.2","+4.31","","+2.13"
"110","6182","合晶","56.3","-2.3","-3.92","05/12","+0.32","-0.65","-0.56","+1.39","+3.44","+6.26","+5.42","+6.97","+2.02","+1.9","+4.11","+6.48"
"111","00958B","永豐ESG銀行債15+","9.26","+0.01","+0.11","05/12","+0.42","+1.19","+1.2","+1.39","+2.62","+5.95","+9.03","+11.4","+11.2","","","+9"
"112","2317","鴻海","250","-2","-0.79","05/12","+0.23","+0.29","+0.51","+1.39","+2.29","+3.2","+1.86","-0.2","+6.37","-0.54","-10.8","+1.23"
"113","6016","康和證","24","-0.05","-0.21","05/12","-0.09","+0.84","+0.64","+1.39","+2.26","+4.87","+5.56","+8.22","+9.28","+9.66","+6.67","+7.46"
"114","4739","康普","101","+5.5","+5.76","05/12","+2.35","+2.91","+1.63","+1.37","+0.7","-1.8","-1.19","+2.8","+5.19","+7.27","+6.1","+0.96"
"115","00956","中信日經高股息","12.35","+0.1","+0.82","05/12","+0.35","+0.54","+0.23","+1.37","+1.48","+0.75","+1.27","+10.8","+15.7","","","+1.55"
"116","00993A","主動安聯台灣","13.28","-0.03","-0.23","05/12","-0.07","+0.57","+0.62","+1.36","+3.21","+7.09","+17.8","","","","",""
"117","2032","新鋼","17.4","-0.3","-1.69","05/12","-0.02","+0.81","+0.72","+1.34","+1.21","+1.07","+1.21","+1.23","-0.67","+1.35","+1.43","+0.85"
"118","6215","和椿","126","+6.5","+5.44","05/12","+0.95","+1.52","+1.33","+1.34","+1.33","+1.03","+1.86","+1.73","-0.11","-4.17","-2.35","+2.27"
"119","6530","創威","121.5","+11","+9.95","05/12","+1.58","+2.28","+2.47","+1.34","-3.99","+1.27","+4.49","+4.52","-0.05","-0.18","","+4.26"
"120","6716","應廣","99.9","-4.1","-3.94","05/12","+0.59","+0.94","+1.35","+1.33","+1.98","+1.43","+2.76","+3.07","+2.53","+2.71","","+2.78"
"121","3624","光頡","66.3","+3.3","+5.24","05/12","+1.64","+2.34","+2.61","+1.33","+1.93","+2.15","+4.02","+4.31","+2.48","+4.62","+1.23","+3.3"
"122","1560","中砂","668","+39","+6.2","05/12","+0.06","+1.4","+1.33","+1.32","+2.63","+5.74","+10.4","+24.9","+20.2","+31.8","+27.9","+12.9"
"123","4722","國精化","258.5","+23.5","+10","05/12","+0.71","+0.61","+1.09","+1.31","+1.12","+1.54","+3.9","-0.04","-2.06","+0.85","-1.71","+3.45"
"124","3661","世芯-KY","5310","-65","-1.21","05/12","+0.1","+0.48","+0.71","+1.31","+3.18","+11.8","+10.8","+1.06","-1.3","+1.93","+6.89","+5.12"
"125","00763U","期街口道瓊銅","34.74","+0.93","+2.75","05/12","+0.43","+0.69","+0.92","+1.31","+1.53","+5.67","+12.3","+17.3","+20.4","+29.8","","+16.7"
"126","009817","國泰日本不動產","9.12","-0.08","-0.87","05/12","+0.05","+0.17","+0.27","+1.3","+1.86","+4.84","+25.3","","","","",""
"127","2030","彰源","17.95","-0.05","-0.28","05/12","+0.37","+0.88","+0.89","+1.29","+1.18","+0.94","+1.13","+0.46","-0.04","+0.86","-0.01","+0.32"
"128","1714","和桐","10.25","+0.44","+4.49","05/12","+1.07","+1.43","+1.44","+1.28","+0.99","+0.31","+2.85","+4.33","+4.09","+2.75","+4.75","+4.05"
"129","4991","環宇-KY","740","+54","+7.87","05/12","+0.82","+1.53","+2.1","+1.26","+1","+1.42","+3.37","+4.32","+12.7","+8.81","-0.89","+0.89"
"130","00919","群益台灣精選高息","25.73","-0.02","-0.08","05/12","+0.18","+0.23","+0.39","+1.26","+1.65","+2.52","+1.94","+6.24","+5.95","-5.89","","+5.14"
"131","00897","富邦基因免疫生技","9.76","-0.03","-0.31","05/12","+0.34","+0.59","+0.26","+1.24","+1.79","+5.08","+8.7","+16.4","+25.3","+72.4","","+12.9"
"132","2374","佳能","82.4","+1.9","+2.36","05/12","+1.18","+1.49","+1.34","+1.23","+0.55","-0.24","-0.41","-5.24","-2.08","-1.86","-11.4","+1.58"
"133","6187","萬潤","1220","+110","+9.91","05/12","+0.58","+0.74","+1.25","+1.23","-0.71","-4.35","+10.2","+19.6","+18.8","+30.8","+27.5","+16.5"
"134","2401","凌陽","25.95","+0.3","+1.17","05/12","+0.16","+0.7","+0.73","+1.22","+2.12","+3.98","+4.46","+5.59","-0.9","+1.81","+7.49","+5.09"
"135","3122","笙泉","38.9","+0.4","+1.04","05/12","+0.04","+0.53","+0.67","+1.21","+1.6","+2","+2.18","+0.81","+1.19","+2.52","+2.12","+1.12"
"136","6166","凌華","101.5","+8.8","+9.49","05/12","+0.31","+0.42","+0.42","+1.21","+1.2","+3.43","+3.78","+5.02","+1.64","+7.08","-2.49","+3.54"
"137","8016","矽創","274","+5.5","+2.05","05/12","+0.57","+0.97","+0.76","+1.21","+2","+3.96","+5.24","+5.66","+3.88","+5.8","+3.22","+7.5"
"138","00907","永豐優息存股","14.85","-0.12","-0.8","05/12","+0.12","+0.28","+0.45","+1.21","+1.3","+1.33","+1.01","+1.81","+6.98","+2.65","","+1.73"
"139","1708","東鹼","41.75","+1.6","+3.99","05/12","+0.74","+2.01","+1.78","+1.2","+1.04","+3.28","+5.25","+9.58","+3.57","+13.8","+10","+7.46"
"140","5285","界霖","74.5","+6.7","+9.88","05/12","+0.63","+0.85","+1.02","+1.2","+1.39","+1.84","+2.01","+3.66","+3.73","+3.62","+3.65","+3.11"
"141","3213","茂訊","114.5","-2","-1.72","05/12","+0.33","+0.2","+0.78","+1.2","+1.73","+2.32","+2.13","+1.49","+1.67","-2.48","+0.31","+1.73"
"142","6244","茂迪","29.4","-0.5","-1.67","05/12","-0.09","-0.22","0","+1.17","+1","+2.93","+3.76","+4.36","+4.3","+1.23","+8.46","+3.63"
"143","6715","嘉基","480","-9.5","-1.94","05/12","-0.08","+0.78","+0.18","+1.17","+0.56","-1.49","+1.73","+1.18","+1.09","+1.9","","+1.34"
"144","00701","國泰股利精選30","31.45","-0.16","-0.51","05/12","+0.36","+0.41","+0.42","+1.16","+1.53","+2.85","+4.07","+7.48","+8.33","+18.6","","+7.6"
"145","2478","大毅","80","+2.1","+2.7","05/12","+0.69","+0.66","+0.91","+1.16","+0.77","+4.48","+2.59","+6.1","+8.8","+9.9","+13.1","+5.88"
"146","6134","萬旭","33.1","-0.45","-1.34","05/12","+0.14","+0.13","+1.01","+1.15","+1.63","+2.31","+4.43","+3.39","+2.5","+4.07","+2.6","+4.28"
"147","3023","信邦","301.5","-0.5","-0.17","05/12","+0.06","+0.07","+0.04","+1.15","+2.66","+5.9","+10.2","+9.68","-4.88","-18.1","+12.8","+13.5"
"148","00912","中信臺灣智慧50","31.05","+0.25","+0.81","05/12","+0.83","+1.18","+0.73","+1.14","+1.2","+1.34","+1.5","+1.1","+8.4","+8.46","","+1.25"
"149","3680","家登","602","-14","-2.27","05/12","-0.32","+1.34","+1.38","+1.14","+4.57","+2.9","+3.01","+8.65","-5.84","+7.24","+17.8","+8.24"
"150","00885","富邦越南","19.19","-0.39","-1.99","05/12","-0.08","+0.05","+0.11","+1.13","+2.26","+5.51","+7.8","+18.5","+53","+105","","+9.57"
"151","4916","事欣科","68.4","+1.4","+2.09","05/12","+1.75","+2.38","+1.41","+1.12","+0.91","+9.09","+10.8","+8.07","+9","+5.77","+5.54","+13.8"
"152","3189","景碩","494","-9","-1.79","05/12","-0.19","+0.62","+1.32","+1.11","+0.35","+2.28","+2.64","+2.33","+7.39","+9.08","-3.44","-2.7"
"153","00910","第一金太空衛星","73.55","+2.05","+2.87","05/12","+0.42","+1.53","+0.81","+1.11","-0.38","+0.55","+0.3","+11.2","+10.8","+6.92","","+4.26"
"154","8213","志超","41.2","-0.6","-1.44","05/12","-0.1","+0.88","+0.93","+1.11","+1.07","+2.69","+2.79","+3.38","+5.66","+2.51","-4.75","+3.95"
"155","6695","芯鼎","52","-2","-3.7","05/12","+0.06","-0.84","+1.09","+1.09","+1.49","+0.59","+1.44","+2.73","-1.04","-1.35","","+1.81"
"156","00981D","主動中信非投等債","10.32","+0.01","+0.1","05/12","+0.39","+0.5","+0.53","+1.08","+2.73","+2.08","+4.78","-0.13","","","","+0.74"
"157","3060","銘異","28.55","0","0","05/12","+0.14","+0.77","+0.79","+1.08","-0.15","-0.99","+2.21","-0.16","-2.06","-1.33","-4.36","+1.09"
"158","00982B","FT投資級債20+","9.81","0","0","05/12","+0.07","+0.44","+0.62","+1.07","+1.58","+2.19","+3.92","+4.72","+4.91","","","+4.74"
"159","6218","豪勉","41","+3.7","+9.92","05/12","+1.49","+1.27","+0.76","+1.06","+0.39","+0.04","+0.91","+0.07","+0.14","+0.52","+0.51","+0.6"
"160","6192","巨路","132","+4","+3.12","05/12","+0.22","+0.59","+0.97","+1.06","+1.34","+0.93","+1.25","+5.17","+5.17","+6.13","+10.2","+3.74"
"161","6005","群益證","31.7","-0.55","-1.71","05/12","+0.05","+0.45","+0.23","+1.03","+1.85","-1.46","-2.89","-1.94","+4.56","-1.21","-0.58","-0.01"
"162","6015","宏遠證","16.4","-0.5","-2.96","05/12","-0.08","+0.19","+0.45","+1.03","+2.22","+2.56","+3.9","+5.01","+5.79","+2.59","+0.58","+4.9"
"163","00959B","大華投等美債15Y+","9.32","-0.01","-0.11","05/12","+0.13","+0.37","+0.41","+1.02","+1.09","+2.29","+5.36","+12.7","+36.7","","","+10.1"
"164","6138","茂達","289.5","+4.5","+1.58","05/12","-0.26","+0.33","+0.3","+1.01","+1.69","+2.38","-0.48","+0.53","+11.8","+20.6","+29","+0.91"
"165","6903","巨漢","424","+19","+4.69","05/12","+0.77","+0.08","+0.19","+1.01","+0.34","+0.13","+1.63","+0.57","+2.73","","","+0.97"
"166","5471","松翰","52.4","+2.55","+5.12","05/12","-0.06","+0.76","+0.87","+1","+1.53","+0.81","+0.99","+1.38","+0.62","-0.2","-0.68","+0.98"
"167","2302","麗正","23.65","+2.15","+10","05/12","0","+0.56","+0.7","+0.99","+0.99","+1.11","+0.73","+2.6","-0.78","+1.37","-3.84","+2.36"
"168","2338","光罩","50.5","+0.5","+1","05/12","+0.06","-0.62","-0.27","+0.99","+1.22","+0.52","+1.16","+2.05","-0.54","-3.75","-1.63","+1.73"
"169","3031","佰鴻","29.85","-0.15","-0.5","05/12","+0.21","+0.66","+0.7","+0.99","+0.58","-2.14","-1.51","-1.26","-1.14","-0.73","-5.1","-0.75"
"170","3014","聯陽","140","+1","+0.72","05/12","+0.02","-0.09","+0.78","+0.98","+1.52","+2.05","-1.26","-3.9","-4.1","+0.34","+5.94","-1.76"
"171","8103","瀚荃","118","+2.5","+2.16","05/12","+0.62","+0.94","+0.8","+0.97","-0.12","+3.3","+4.29","+4.86","+10.1","+22.2","+18","+7.52"
"172","6284","佳邦","83.2","+1.2","+1.46","05/12","+0.42","+0.52","+0.79","+0.97","+0.31","+1.05","+0.23","+1.51","-0.69","+1.68","+1.16","+3.39"
"173","2356","英業達","48.7","-1.5","-2.99","05/12","-0.19","-0.14","+0.13","+0.96","+1.35","+3.53","+4.01","+3.13","+5.05","-11.5","-18.3","+3.61"
"174","00941","中信上游半導體","25.25","+0.14","+0.56","05/12","+0.07","+0.31","+0.25","+0.96","+1.04","+2.29","+4.67","+20.6","+74.5","","","+10.8"
"175","3042","晶技","149.5","-6","-3.86","05/12","+0.37","+1.55","+1.47","+0.95","+1.46","+2.7","+6.33","+8.27","+9.67","+7.41","-6.72","+7.85"
"176","00650L","復華香港正2","18.2","+0.24","+1.34","05/12","+0.2","+0.26","-0.3","+0.93","-0.65","-1.91","-2.94","-0.03","+10.2","+30.2","+39","-2.21"
"177","0056","元大高股息","45.58","-0.18","-0.39","05/12","-0.01","+0.02","+0.35","+0.93","+1.82","+1.56","+1.2","+1.03","+1.09","-3.4","-6.06","+2.08"
"178","00898","國泰基因免疫革命","8.07","+0.01","+0.12","05/12","+0.27","+0.3","+0.27","+0.92","+1.14","+4.85","+10.1","+21.3","+31.2","+94.6","","+15"
"179","4749","新應材","1175","0","0","05/12","-0.3","-0.08","+1.03","+0.92","+0.23","+3.72","+5.85","+3.7","+9.15","","","+3.11"
"180","2367","燿華","64.8","+2.2","+3.51","05/12","+0.59","+0.99","+0.55","+0.91","-0.41","-0.03","-2.14","-2.8","-2.76","-1.33","-12.6","+1.65"
"181","3704","合勤控","37.05","+2","+5.71","05/12","+0.45","+0.51","+0.6","+0.88","+0.41","+2.76","+4.02","+2.47","-2.75","-7.09","+0.57","+2.49"
"182","3016","嘉晶","121.5","-7","-5.45","05/12","-0.13","-0.02","+0.07","+0.88","+2.94","+6.06","+6.92","+8.66","+6.28","+6.15","+7.33","+8.45"
"183","6462","神盾","131","+1.5","+1.16","05/12","+0.31","+0.76","+0.98","+0.87","+0.35","-0.73","+1.08","-1.14","-7.71","-3.23","-29.8","+0.41"
"184","6202","盛群","58.2","-1.3","-2.18","05/12","-0.45","+0.93","+0.55","+0.87","+2.2","+1.12","+1.41","+2.92","+0.75","-5.7","-6.6","+3.01"
"185","00857B","永豐20年美公債","23.05","-0.05","-0.22","05/12","+0.03","+0.29","+0.53","+0.86","+2.06","+3.79","+12.4","+23.7","+34.1","+56.1","","+19.1"
"186","00634R","富邦上証反1","3.01","-0.03","-0.99","05/12","0","+0.21","+0.21","+0.85","+1.24","+1.21","+1.51","-0.05","+0.73","+6.18","+38.2","+0.45"
"187","3081","聯亞","3055","+275","+9.89","05/12","+0.52","+0.66","+0.91","+0.85","-0.78","-0.39","-3.61","+5.5","-6.59","+0.36","-7.25","-1.02"
"188","1717","長興","82.7","+1.9","+2.35","05/12","+0.38","+1.96","+1.06","+0.85","+0.11","-2.55","-1.56","-0.71","-4.47","-3.67","-1.56","-1.86"
"189","3019","亞光","144","-2.5","-1.71","05/12","-0.1","+0.25","+0.38","+0.85","+1.06","-0.26","-1.59","-2.55","-16.2","-6.25","-5.85","-2.86"
"190","6227","茂綸","103","0","0","05/12","+0.29","+0.43","+0.58","+0.84","+1.71","+2.08","+2.41","+2.74","-4.24","-0.04","+1.31","+2.59"
"191","6224","聚鼎","77.5","+1.8","+2.38","05/12","-0.13","+0.32","+0.2","+0.84","+0.77","+0.47","+0.88","+1.17","-2.03","+1.1","-3.45","+0.85"
"192","6664","群翊","467","+27.5","+6.26","05/12","-0.06","+0.22","+0.45","+0.84","-1.54","-1.59","+1","+5.67","-0.56","-2.08","","+2.55"
"193","3059","華晶科","39.3","-0.85","-2.12","05/12","-0.03","+0.32","+0.31","+0.83","+0.04","-0.37","+0.65","-5.72","-3.07","-2.14","-8.79","-5.52"
"194","3152","璟德","175.5","0","0","05/12","+0.19","+0.47","+0.65","+0.82","+1.1","+1.33","+2.92","+0.33","-1.51","-3.37","-6","+1.45"
"195","8996","高力","1055","0","0","05/12","-0.73","-1.19","-0.38","+0.82","-0.97","-1.08","-2.52","+1.78","+13.2","+19.4","+29.9","+4.23"
"196","6150","撼訊","66.5","-0.3","-0.45","05/12","-0.36","-0.34","+0.51","+0.82","+0.97","-0.16","-0.13","-3.81","-0.38","-7.33","-2.32","-2.33"
