"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"301","3339","泰谷","45.4","-3.45","-7.06","26W20","05/15","1.55","-1,521","-8.95","1.26","-154","-1.2","1.26","-154","-1.2"
"302","00741B","富邦全球非投等債","37.15","+0.02","+0.05","26W20","05/15","0.65","-50","-0.76","0.65","-50","-0.76","0.65","-50","-0.76"
"303","6120","達運","14.35","-0.95","-6.21","26W20","05/15","34.4","-2,070","-0.6","33.4","-3,535","-1.05","32.7","+1,092","+0.34"
"304","2108","南帝","29.3","-2.85","-8.86","26W20","05/15","33.5","+1,238","+0.37","32.6","+2,017","+0.62","31.7","+2,057","+0.65"
"305","00752","中信中國50","22.66","-0.35","-1.52","26W20","05/15","11.8","-617","-0.52","11.3","-1,352","-1.18","11.1","-1,332","-1.19"
"306","2104","國際中橡","10.55","-0.35","-3.21","26W20","05/15","41.5","-1,510","-0.36","38.6","-1,212","-0.31","36.7","-4,075","-1.1"
"307","3515","華擎","243.5","-6","-2.4","26W20","05/15","8.3","-145","-0.17","8.23","-217","-0.26","7.76","-2,050","-2.57"
"308","6703","軒郁","108","-2","-1.82","26W20","05/15","1.43","-3.1","-0.02","1.37","-3.1","-0.02","1.27","-3.1","-0.02"
"309","1326","台化","48.75","-4.05","-7.67","26W20","05/15","473","-28,010","-0.59","468","-32,323","-0.69","465","-31,371","-0.67"
"310","2462","良得電","24.2","-0.75","-3.01","26W20","05/15","7.92","-689","-0.86","7.73","-4","-0.01","7.56","0","0"
"311","3236","千如","53","-0.9","-1.67","26W20","05/15","3.2","+864","+2.78","3.12","+771","+2.53","2.87","-58.9","-0.2"
"312","00651R","復華香港反1","5.41","+0.1","+1.88","26W20","05/15","2.03","-77.4","-0.38","1.75","-77.4","-0.44","1.66","-77.4","-0.46"
"313","5902","德記","35.3","-0.15","-0.42","26W20","05/15","7.8","+36","+0.05","7.74","+33","+0.04","7.46","+51","+0.07"
"314","2382","廣達","376.5","-14","-3.59","26W20","05/15","328","+2,329","+0.07","323","-1,089","-0.03","317","-3,455","-0.11"
"315","5488","松普","12.55","-0.45","-3.46","26W20","05/15","3.41","0","0","3.27","0","0","3.19","0","0"
"316","2887","台新新光金","27.75","-0.85","-2.97","26W20","05/15","1,764","-42,887","-0.24","1,730","-49,174","-0.28","1,704","-43,993","-0.26"
"317","1314","中石化","7.94","-0.15","-1.85","26W20","05/15","132","-5,003","-0.38","122","-4,572","-0.37","115","-5,105","-0.44"
"318","8444","綠河-KY","4.56","-0.34","-6.94","26W20","05/15","8.63","-10.5","-0.01","8.36","-28.5","-0.03","8.28","-28.5","-0.03"
"319","3622","洋華","56.1","-3","-5.08","26W20","05/15","8.67","+14","+0.02","8.4","+11","+0.01","8.12","+11","+0.01"
"320","4532","瑞智","24.2","-0.35","-1.43","26W20","05/15","33","-1,411","-0.43","32","-3,526","-1.09","31.3","-1,718","-0.55"
"321","5469","瀚宇博","80.1","-3.9","-4.64","26W20","05/15","33.3","-3,060","-0.91","32.5","-1,831","-0.56","31.9","+768","+0.24"
"322","1416","廣豐","11.65","-0.05","-0.43","26W20","05/15","9.76","-27.6","-0.03","9.3","-5.64","-0.01","9.03","-23.6","-0.03"
"323","4523","永彰","28.65","-1.45","-4.82","26W20","05/15","3.58","-5","-0.01","3.43","-5","-0.01","3.34","-5","-0.01"
"324","3694","海華","62","-5","-7.46","26W20","05/15","9.1","-851","-0.93","8.9","-1,609","-1.78","8.8","-860","-0.97"
"325","00959B","大華投等美債15Y+","9.35","-0.03","-0.32","26W20","05/15","26.3","-3,956","-1.48","24.7","-5,343","-2.11","24.1","-3,539","-1.45"
"326","1504","東元","71.6","-6.8","-8.67","26W20","05/15","171","-11,846","-0.69","169","-14,873","-0.87","167","-13,797","-0.82"
"327","3357","臺慶科","283","-13","-4.39","26W20","05/15","6.53","+4,283","+7.02","5.81","+4,330","+8.05","5.12","+3,595","+7.55"
"328","6271","同欣電","218.5","-18","-7.61","26W20","05/15","9.12","+1,183","+1.31","8.62","+1,102","+1.3","7.98","-698","-0.87"
"329","6231","系微","295.5","-16.5","-5.29","26W20","05/15","1.37","-635","-4.43","1.17","-24.3","-0.21","1.17","-24.3","-0.21"
"330","00887","永豐中國科技50大","16.88","-0.81","-4.58","26W20","05/15","10.2","+7,568","+8.03","9.15","+8,150","+9.77","7.86","+7,339","+10.3"
"331","6213","聯茂","243.5","-11","-4.32","26W20","05/15","19.9","-15,213","-7.12","19.2","-12,555","-6.13","18.5","-14,620","-7.33"
"332","2883","凱基金","26.75","-0.85","-3.08","26W20","05/15","1,100","+12,959","+0.12","1,079","+15,536","+0.14","1,064","+15,012","+0.14"
"333","6527","明達醫","71.5","+0.2","+0.28","26W20","05/15","0.76","-470","-5.86","0.69","+137","+2.04","0.69","+137","+2.04"
"334","6672","騰輝電子-KY","217","-2","-0.91","26W20","05/15","2.23","+300","+1.36","1.76","+562","+3.29","1.42","-1,089","-7.12"
"335","6890","來億-KY","249.5","+7","+2.89","26W20","05/15","22.1","+762","+0.35","22","+809","+0.37","21.8","-21.9","-0.01"
"336","1304","台聚","12.8","-0.6","-4.48","26W20","05/15","69.9","+3,722","+0.54","68.6","+3,598","+0.53","67.8","+2,735","+0.4"
"337","1618","合機","40.85","-1.15","-2.74","26W20","05/15","10.7","+33.7","+0.03","10.3","+23","+0.02","10.2","0","0"
"338","4915","致伸","74.8","-2.6","-3.36","26W20","05/15","30.1","-9,622","-3.1","29","-9,995","-3.34","27.1","-11,808","-4.18"
"339","00725B","國泰投資級公司債","35.13","-0.15","-0.43","26W20","05/15","301","+7,766","+0.26","299","+7,550","+0.25","298","+8,387","+0.28"
"340","3055","蔚華科","91","-8.5","-8.54","26W20","05/15","7.49","-1,708","-2.23","7.21","-2,347","-3.15","7.05","-2,201","-3.03"
"341","2610","華航","19.05","-0.9","-4.51","26W20","05/15","406","+19,691","+0.49","401","+22,232","+0.56","395","+27,056","+0.69"
"342","2038","海光","13.6","-0.5","-3.55","26W20","05/15","10.2","+602","+0.59","9.91","-86.9","-0.09","9.72","-165","-0.17"
"343","2455","全新","359.5","-39.5","-9.9","26W20","05/15","8.33","+905","+1.1","7.29","+1,072","+1.49","6.68","-677","-1"
"344","5864","致和證","48.25","-5.35","-9.98","26W20","05/15","31.2","-7,008","-2.19","29.7","-7,480","-2.45","29","-6,533","-2.2"
"345","6113","亞矽","24.6","-1.6","-6.11","26W20","05/15","2.61","+776","+3.06","2.54","0","0","2.54","0","0"
"346","00641R","富邦日本反1","3.94","+0.1","+2.6","26W20","05/15","3.35","-1,641","-4.67","3.13","-1,583","-4.82","2.94","-1,633","-5.26"
"347","7799","禾榮科","377.5","-12.5","-3.21","26W20","05/15","12","+52","+0.04","11.8","0","0","11.2","0","0"
"348","8046","南電","831","-14","-1.66","26W20","05/15","52.8","-9,734","-1.81","51.6","-9,982","-1.9","51.2","-8,133","-1.56"
