"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3026","禾伸堂","905","-100","-9.95","07/13","+0.31","+1.12","+2.81","+4.6","+6.01","+7.66","+15.4","+15.2","+15.6","+15.8","+15","+15.2"
"2","3211","順達","457.5","+3.5","+0.77","07/13","+0.85","+2.81","+2.81","+3.11","+3.97","+4.08","-10.5","-8.59","-15.2","+12","+12","-10.8"
"3","2458","義隆","183","-0.5","-0.27","07/13","+0.43","+0.51","+0.55","+1.58","+3.89","+3.6","+1.1","-0.04","+1.62","+17.3","+13.6","-0.89"
"4","8046","南電","1270","+55","+4.53","07/13","+0.74","+1.17","+1.35","+1.43","+2.11","+2.73","+2.64","+6.2","+5.42","+3.15","+3.62","+6.5"
"5","3413","京鼎","334","-0.5","-0.15","07/13","0","0","0","+1.36","+1.36","+1.17","-0.55","-0.6","-3.39","+1.29","+1.42","-0.76"
"6","2428","興勤","295.5","-29.5","-9.08","07/13","0","0","0","+1.33","+1.33","+1.33","+1.44","-1.16","+1.27","+1.46","+1.37","-1.27"
"7","6182","合晶","189.5","+17","+9.86","07/13","+0.33","+1.04","+1.24","+1.32","+2.65","+5.54","+6.54","+6.54","+6.52","+3.65","+5.44","+6.54"
"8","6278","台表科","180.5","-19","-9.52","07/13","0","+0.07","+0.55","+1.23","+2.54","+1.14","-4.95","-7.19","-12.1","+11.1","+10.8","-8.27"
"9","5434","崇越","559","+50","+9.82","07/13","+0.4","+0.41","+0.42","+1.22","+3.03","+2.96","+2.67","+1.97","-0.37","+4.26","+5.66","+1.93"
"10","4764","雙鍵","302.5","-33.5","-9.97","07/13","0","+0.12","+1.15","+1.15","+1.15","+1.27","+3.39","+3.5","+3.5","+3.5","","+3.5"
"11","6213","聯茂","359.5","-25.5","-6.62","07/13","+0.01","+0.15","+0.16","+1.13","+1.4","+2.18","+1.64","+2.41","+1.81","+2.4","+2.07","+2.07"
"12","6409","旭隼","1055","-50","-4.52","07/13","-0.01","-0.01","+0.11","+1.1","+2.96","+3.31","+4.53","+4.36","+5.38","+5.08","+4.96","+4.87"
"13","6191","精成科","101.5","+0.5","+0.5","07/13","0","-0.02","-0.02","+1.04","+3.9","+4.29","+4.6","+2.11","+2","+3.91","+5.45","+1.95"
"14","5469","瀚宇博","80.1","-0.5","-0.62","07/13","0","+0.04","+0.21","+0.97","+3.15","+3.42","+2.89","+2.33","+4.5","+1.94","+4.77","+2.26"
"15","6691","洋基工程","725","+17","+2.4","07/13","0","0","+0.16","+0.96","+2.76","+3.09","+2.32","+2.03","+2.82","+1.58","","+1.91"
"16","5269","祥碩","1510","+30","+2.03","07/13","+0.26","+0.26","+0.28","+0.94","+2.8","+3.06","+4.48","+4.11","-1.99","+2.84","+4.85","+4.72"
"17","3023","信邦","324","-2","-0.61","07/13","0","0","+0.02","+0.93","+3.18","+3.4","+1.64","+0.82","+4.64","+8.38","+6.01","+0.58"
