"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"901","2069","運錩","19.5","-0.15","-0.76","26W21","05/22","58.6","-0.03","54.3","-0.03","53.3","-0.03"
"902","2910","統領","21.6","+0.25","+1.17","26W21","05/22","96","0","94.3","0","93.2","0"
"903","6171","大城地產","24","-0.45","-1.84","26W21","05/22","84.5","+0.02","83","+0.02","79.3","+0.02"
"904","1470","大統新創","22.7","+0.1","+0.44","26W21","05/22","81.5","+0.24","77.7","+0.24","71.5","+0.24"
"905","5533","皇鼎","14","-0.1","-0.71","26W21","05/22","75.9","0","73.3","0","70.7","-0.01"
"906","5903","全家","189","+0.5","+0.27","26W21","05/22","90.5","+0.27","89.5","0","89.1","0"
"907","00707R","期元大S&P日圓反1","32.21","0","0","26W21","05/22","78.7","-0.7","78.7","-0.7","78.7","-0.7"
"908","8463","潤泰材","21.95","0","0","26W21","05/22","80.2","+0.01","78.5","+0.01","76","0"
"909","5478","智冠","103.5","-1.5","-1.43","26W21","05/22","78.3","-0.01","77","-0.01","73","-0.01"
"910","1451","年興","16.5","-0.05","-0.3","26W21","05/22","59.4","+0.05","58.3","+0.05","56.1","-0.46"
"911","4726","永昕","24.8","-0.9","-3.5","26W21","05/22","54.3","+0.02","51.9","0","49.8","0"
"912","2524","京城","35.9","-1.6","-4.27","26W21","05/22","92.2","+0.02","91.9","+0.02","91.7","+0.02"
"913","3522","御嵿","11.45","+0.05","+0.44","26W21","05/22","55.9","0","53.2","0","52.4","+0.01"
