排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1,2923,鼎固-KY,市,25.5,-0.7,-2.67,32,06/03,-7,0,6,-1,1730.0,99.4,－・＋
2,8482,商億-KY,市,49.1,-0.1,-0.2,2,06/03,2,0,0,2,98.6,91.7,＋・・
3,8455,大拓-KY,櫃,40.7,-0.5,-1.21,115,06/03,0,0,0,0,22.1,87.8,－・・
4,6890,來億-KY,市,210.5,19.0,9.92,4246,06/03,-570,1014,98,542,218.0,87.6,－＋＋
5,6230,尼得科超眾,市,143.0,1.0,0.7,178,06/03,54,0,-1,53,75.1,87.0,＋・－
6,4560,強信-KY,市,32.2,0.1,0.31,192,06/03,21,0,0,21,57.7,84.8,＋・・
7,2762,世界健身-KY,市,85.5,1.0,1.18,124,06/03,4,0,0,4,93.0,82.7,＋・・
8,6415,矽力*-KY,市,599.0,21.0,3.63,3778,06/03,915,-69,-1,846,313.0,80.4,＋－－
9,1590,亞德客-KY,市,1370.0,90.0,7.03,1347,06/03,125,-1,11,135,160.0,80.1,＋－＋
10,1341,富林-KY,市,62.8,0.6,0.96,12,06/03,2,0,0,2,42.2,79.9,＋・・
11,006203,元大MSCI台灣,市,195.0,3.1,1.62,102,06/03,-1,0,-2,-3,8.02,78.5,－・－
12,6965,中傑-KY,市,81.8,0.8,0.99,138,06/03,-30,0,1,-29,121.0,77.3,－・＋
13,3711,日月光投控,市,618.0,28.0,4.75,28544,06/03,7525,-3716,255,4064,3447.0,77.1,＋－＋
14,5276,達輝-KY,櫃,19.1,-0.35,-1.8,25,06/03,1,0,0,1,30.4,77.0,＋・・
15,6629,泰金-KY,櫃,118.0,0.0,0.0,31,06/03,11,0,0,11,29.5,76.9,＋・＋
16,6924,榮惠-KY創,市,188.0,-5.5,-2.84,183,06/03,3,0,1,4,15.8,76.6,＋・＋
