單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"11,131,155,560","18,412,033,630","-7,280,878,070"
自營商(避險),"43,346,634,134","64,496,470,839","-21,149,836,705"
投信,"41,091,088,844","40,127,456,682","963,632,162"
外資及陸資(不含外資自營商),"408,878,742,365","491,509,901,228","-82,631,158,863"
外資自營商,0,0,0
合計,"504,447,620,903","614,545,862,379","-110,098,241,476"
