"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","6561","是方","326.5","-4","-1.21","07/13","0","0","0","26.3","9.56","9.74","4.69","3.58","2.5","1.37","","3.35"
"2","6805","富世達","1410","-50","-3.42","07/13","0","20.6","23.4","21.6","14.6","14.3","11.2","8.87","6.12","","","9.4"
"3","6670","復盛應用","259.5","-2","-0.76","07/13","22.8","20.9","12.3","20.5","12.4","3.83","5.88","5.68","11.6","6.04","","5.98"
"4","2404","漢唐","1230","+15","+1.23","07/13","13.3","21.7","18.5","18.1","11.9","7.78","8.31","7.23","7.72","9.38","4.93","7.19"
"5","3529","力旺","2550","-55","-2.11","07/13","9.21","12.4","16","17.9","16.6","10.2","8.68","5.05","5.38","5.42","4.22","5.26"
"6","3131","弘塑","3210","-95","-2.87","07/13","2.13","3.71","17","17.6","10.1","6.74","5.56","4.43","4.6","4.63","4.08","4.2"
"7","5274","信驊","13520","-145","-1.06","07/13","12.3","19.1","16.2","17.4","12.8","10.4","7.77","5.22","4.71","4.26","4.59","4.98"
"8","2504","國產","31.2","-0.9","-2.8","07/13","0","0.49","0.4","15.6","14.7","6.78","6.54","5.4","11.6","10.2","3.61","5.58"
"9","6188","廣明","77.7","-0.8","-1.02","07/13","0","0","0","15.4","28","20.6","10.7","7.28","2.11","0.54","0.77","6.01"
"10","8210","勤誠","1135","-40","-3.4","07/13","31.4","20.8","14","14.9","17.3","21.7","4.24","3.46","1.55","0.42","0.21","3.37"
"11","2368","金像電","1045","-30","-2.79","07/13","12","23.5","19.1","14","11.8","13.9","7.23","5.18","4.16","4.15","2.13","5.62"
"12","6510","精測","2775","-80","-2.8","07/13","2.64","3.78","9.05","13.8","19.7","16.6","10.2","9.51","6.85","5.92","3.78","9.37"
"13","6005","群益證","35.35","-1.05","-2.88","07/13","10.4","9.93","6.28","13.8","24.9","26.6","15.9","12.4","11.7","10.2","4.95","12.4"
"14","5515","建國","41.75","+0.55","+1.33","07/13","7.56","10.2","13","13.2","9.61","3.14","1.4","1","1.09","0.26","0.16","0.92"
"15","3090","日電貿","258","-28.5","-9.95","07/13","33.6","12.5","13.1","12.8","13","2.73","1.1","1.76","1.25","1.3","0.69","1.75"
"16","4938","和碩","82.6","-0.1","-0.12","07/13","6.36","5.6","4.59","12.6","19.4","10.6","5","5.36","9.98","8.17","3.94","6.78"
"17","2303","聯電","153.5","-2.5","-1.6","07/13","13.6","7.59","4.7","11.9","18.8","11.6","10.5","8.29","8.64","6.8","2.74","8.03"
"18","2360","致茂","1850","+30","+1.65","07/13","3.42","10.1","9.95","11.4","8.33","14","7.5","5.37","4.34","4.37","3.25","5.27"
"19","5289","宜鼎","1515","-15","-0.98","07/13","21.7","20.6","19.7","11.2","13.1","7.39","3.27","2.61","2.3","3.29","2.51","2.45"
"20","6176","瑞儀","90","-0.6","-0.66","07/13","4.03","3.89","3.48","11.1","17.1","21.7","15.4","13.3","15.2","11.9","4.55","14.4"
"21","2353","宏碁","31.95","-0.55","-1.69","07/13","3.91","5.11","3.64","10.7","18.6","9.26","4.06","3.25","3.74","4.3","2.07","3.37"
"22","6803","崑鼎","274","0","0","07/13","0","0","0","10.6","8.23","8.41","3.61","2.63","1.49","1.05","0.79","2.4"
"23","2385","群光","106","-1","-0.93","07/13","2.82","1.66","1.17","10.5","21.5","12.8","10","8.54","13.5","10.9","6.71","10.4"
"24","6196","帆宣","551","+2","+0.36","07/13","24","26.6","17.7","10.4","5.33","2.98","0.89","0.79","3.81","2.17","1.08","0.77"
"25","3036","文曄","211","-0.5","-0.24","07/13","0.01","0.13","0.1","9.89","28.3","19.7","18.8","13.4","11.7","7.21","5.49","13.7"
"26","9907","統一實","15.2","+0.1","+0.66","07/13","7.69","9.28","8.58","9.12","19.1","27","14.2","9.97","4.56","2.02","0.65","9.53"
"27","5536","聖暉*","1180","-35","-2.88","07/13","0","0","0","8.89","11.7","8.92","4.1","5.25","5","5.4","3.3","5.06"
"28","4966","譜瑞-KY","647","-8","-1.22","07/13","0","0","3.56","7.77","10.2","11.9","4.22","3.88","2.88","3.45","3.71","3.72"
"29","2393","億光","69.1","-1.9","-2.68","07/13","5.2","5.35","4.61","7.67","15.4","11.7","5.34","4.91","12.3","8.23","3.4","4.97"
