"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"901","2923","鼎固-KY","22.65","-2.35","-9.4","26W22","05/29","173","+44","0","173","+819","+0.05","173","+18","0"
"902","1470","大統新創","22.6","+0.2","+0.89","26W22","05/29","6.99","+26","+0.04","6.66","+26","+0.04","6.14","+26","+0.04"
"903","5533","皇鼎","13.75","-0.25","-1.79","26W22","05/29","21.7","+622","+0.29","20.9","-12","-0.01","20.2","-13","-0.01"
"904","6171","大城地產","23.3","-0.95","-3.92","26W22","05/29","8.46","+100","+0.12","8.31","+100","+0.12","7.94","+90","+0.11"
"905","2910","統領","21.6","-0.45","-2.04","26W22","05/29","16.8","+10","+0.01","16.5","+10","+0.01","16.4","+10","+0.01"
"906","00707R","期元大S&P日圓反1","32.2","0","0","26W22","05/29","0.46","+5","+0.11","0.46","+5","+0.11","0.46","+5","+0.11"
"907","5903","全家","188.5","-0.5","-0.26","26W22","05/29","20.2","+58","+0.03","20","0","0","19.9","0","0"
"908","4726","永昕","26.6","-0.75","-2.74","26W22","05/29","11.2","+2","0","10.8","+38","+0.04","10.3","0","0"
"909","1451","年興","16.5","-0.3","-1.79","26W22","05/29","11.7","-893","-0.76","11.5","-893","-0.77","11.2","+1,017","+0.92"
"910","5478","智冠","104","0","0","26W22","05/29","12.2","+1","0","12","+1","0","11.4","+1","0"
"911","8463","潤泰材","21.8","-0.6","-2.68","26W22","05/29","12","-1","0","11.8","-1","0","11.4","-4","0"
"912","2524","京城","34.1","-2.15","-5.93","26W22","05/29","33.8","+734","+0.22","33.7","+4","0","33.6","+4","0"
"913","00723B","群益投資級科技債","30.86","-0.16","-0.52","26W22","05/29","152","+812","+0.05","152","+143","+0.01","152","+143","+0.01"
"914","3522","御嵿","11.5","-0.2","-1.71","26W22","05/29","5.82","-4.49","-0.01","5.54","-4.49","-0.01","5.46","+33","+0.06"
