"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"115","2211","長榮鋼","98.5","-0.6","-0.61","05/08","70","47.7","44.5","43.2","47","42.6","42.2","51.4","44.2","40.9","","40.6"
"116","2704","國賓","42.5","+0.5","+1.19","05/08","32.1","47.1","44.3","43.2","43","38.5","48","51","61.1","34.4","24.5","48.7"
"117","1442","名軒","27.1","+0.35","+1.31","05/08","38.6","39.5","44.3","48.1","52.2","54.6","58.9","45.9","54","41.9","30.7","56.2"
"118","4745","合富-KY","20.05","-0.15","-0.74","05/08","42.4","38.6","44.3","39.5","35.8","44.9","32.5","18.1","18.8","16.4","6.95","31.8"
"119","4743","合一","51.6","-1.3","-2.46","05/08","46.6","41","44.3","34.6","33.1","31.8","36.6","29.9","28.7","26.4","19.9","30.4"
"120","2383","台光電","4750","-210","-4.23","05/08","47","46.4","44.2","44.7","51","51.5","51.7","47.5","42.6","38.8","32.6","48.8"
"121","9945","潤泰新","23.4","-0.2","-0.85","05/08","50.7","50.1","44.1","39.3","38.9","44.5","45.1","43.9","52.9","39.5","32.8","44.6"
"122","6274","台燿","1370","-75","-5.19","05/08","43.6","43.2","44","38.4","34.2","32.2","30.4","29.1","27.5","27.1","26","29.7"
"123","6505","台塑化","53","+0.7","+1.34","05/08","47.7","47.2","44","42.7","35.8","34.7","35.3","35.4","35.3","42.7","46.3","35.1"
"124","1303","南亞","88.6","-1.7","-1.88","05/08","58.4","54.7","43.9","36.5","35","32.3","33.5","30.5","31.6","36.1","40.3","31.1"
"125","5469","瀚宇博","81.8","-2.5","-2.97","05/08","56.2","44","43.9","38.9","44.6","33.2","37.7","31.4","29.5","28.8","19.6","33.1"
"126","1718","中纖","6.34","-0.01","-0.16","05/08","55","41.5","43.6","38.9","40.3","42","32.4","30","31.2","32.9","19.1","30.9"
"127","3171","炎洲流通","64","-3.3","-4.9","05/08","52.3","48","43.4","33.4","32.8","24.9","15.6","16.8","13.3","11","7.42","15.4"
"128","2723","美食-KY","66.8","+0.5","+0.75","05/08","20","26.3","43.3","36.5","31.5","31.4","39.5","49.6","52.1","46.2","40.5","39.8"
"129","3086","華義*","39.9","-0.65","-1.6","05/08","40.5","47.5","43.2","34.4","29.8","24.7","25.2","26.6","25.7","20.7","13.1","25.6"
"130","1210","大成","52.9","+0.6","+1.15","05/08","29.7","32.8","43","53.8","43","38.4","35.3","41.1","37.5","32.6","23.6","36.1"
"131","8069","元太","162","+9","+5.88","05/08","37.5","37","43","43.9","51.5","55.1","57.5","58.3","55.3","47.8","25.7","57"
"132","1726","永記","76.6","+0.6","+0.79","05/08","64.6","54.6","42.9","39.8","40.5","38","34.5","28.3","23.2","37.5","37.6","30.3"
"133","6486","互動","83.3","-0.8","-0.95","05/08","55.2","44.3","42.9","38.7","36.6","29.2","24","19.2","18.5","17.2","","22.4"
"134","2505","國揚","17.75","-0.1","-0.56","05/08","48","45.9","42.7","38.9","41.6","39.7","34.6","29.2","39.4","28.4","20.2","31.1"
"135","2002","中鋼","18.75","-0.1","-0.53","05/08","58.1","47.5","42.7","46.3","59.5","45.9","46.4","43","46.7","47.4","36.5","41.4"
"136","2231","為升","116","-2","-1.69","05/08","51.5","43.9","42.7","41.8","37.1","24.9","22.1","26","27","28.2","21.7","24.1"
"137","6568","宏觀","233","-12","-4.9","05/08","28.6","32.4","42.7","33.1","31.7","27.5","24.1","23","22.8","21.6","","23.4"
"138","6146","耕興","217.5","-8.5","-3.76","05/08","49.6","48.1","42.6","39.7","39.2","30","32.4","38.8","40.8","38.6","42.3","33.8"
"139","6785","昱展新藥","137","-3.5","-2.49","05/08","54.6","48.3","42.6","27.6","25.4","29.1","30.5","30.6","26.9","","","33"
"140","1904","正隆","17.45","-0.1","-0.57","05/08","57.2","45","42.5","42.8","43.5","37.5","32","31.9","35.4","29.4","20.6","32.1"
"141","5234","達興材料","408","+9.5","+2.38","05/08","35.5","40.4","42.4","43.1","40.1","33.7","35.6","34.5","31.1","29.8","23.9","34.6"
"142","5522","遠雄","70","+0.3","+0.43","05/08","35","40.4","42.4","44.2","56","58.5","55.2","45.5","49.6","41.8","40.3","50.4"
"143","2393","億光","73.7","+1.2","+1.66","05/08","31.5","40","42.4","44.9","45.9","39.2","38.5","37","39.7","39.8","30.5","37.7"
"144","6191","精成科","95.5","-4.5","-4.5","05/08","49.6","43.3","42.3","38.4","38.2","33.9","33.6","31.3","27.7","27.8","21.2","32.9"
"145","1316","上曜","11.2","-0.15","-1.32","05/08","37.7","40.9","42.3","25.9","24.6","25.5","26.8","28.8","24.4","22.3","19.8","30.4"
