排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
165,6952,大武山,36.45,-0.55,-1.49,20,06/01,16.7,16.7,16.7,7.69,7.69,0.0,16.7,-54.8,-54.8,-47.2
166,6125,廣運,71.0,-2.3,-3.14,11039,06/01,14.5,14.9,16.5,9.2,10.3,8.71,0.11,-14.2,-24.3,-25.4
167,6195,詩肯,26.05,-0.1,-0.38,34,06/01,0.0,1.79,16.3,26.7,16.3,128.0,23.9,9.62,29.5,14.0
168,3532,台勝科,315.5,-35.0,-9.99,1533,06/01,-0.12,-0.15,16.3,24.2,53.1,96.8,263.0,186.0,319.0,123.0
169,2497,怡利電,61.8,-3.8,-5.79,3411,06/01,11.0,7.35,16.2,18.0,14.7,40.0,59.1,64.5,58.7,18.2
170,8044,網家,30.4,1.4,4.83,2563,06/01,2.38,12.4,15.9,18.2,27.9,32.1,17.2,8.67,13.5,11.2
171,00955,中信日本商社,14.66,-0.08,-0.54,13094,06/01,6.57,12.0,15.8,24.5,24.5,-20.3,-55.4,166.0,-21.2,46.0
172,3206,志豐,40.4,0.0,0.0,472,06/01,-3.27,6.26,15.5,20.7,28.1,36.9,138.0,211.0,51.9,183.0
173,0056,元大高股息,52.8,0.9,1.73,69463,06/01,16.3,29.6,15.4,15.3,28.0,-22.4,14.0,-36.5,-44.5,-43.0
174,6996,力領科技,191.5,2.0,1.06,121,06/01,7.86,13.7,15.4,22.8,68.6,47.4,146.0,83.4,,88.6
175,2890,永豐金,31.0,0.55,1.81,53361,06/01,21.5,17.9,15.3,7.46,6.79,73.7,71.8,46.1,-29.8,57.1
176,9105,泰金寶-DR,10.5,0.82,8.47,271642,06/01,13.0,15.6,15.1,8.75,10.8,4.02,10.1,10.0,40.6,7.49
177,6811,宏碁資訊,245.0,9.0,3.81,1166,06/01,14.9,15.8,14.9,9.61,10.0,-1.91,-22.2,-23.0,-37.1,-18.7
178,00735,國泰臺韓科技,116.45,0.1,0.09,5180,06/01,12.3,27.9,14.9,58.3,53.5,116.0,-20.7,2955.0,17512.0,911.0
179,3374,精材,254.5,-6.0,-2.3,11942,06/01,2.66,7.07,14.9,13.0,16.8,38.0,12.7,68.2,72.7,80.2
180,6933,AMAX-KY,183.0,-6.5,-3.43,1542,06/01,11.6,15.1,14.8,13.8,8.02,16.1,35.8,14.3,49.9,23.2
181,2377,微星,149.0,7.5,5.3,98353,06/01,11.5,14.6,14.8,18.0,8.14,31.0,76.5,108.0,392.0,94.6
182,0050,元大台灣50,105.7,0.2,0.19,117161,06/01,5.93,14.0,14.7,11.5,5.29,2.81,13.8,-9.76,265.0,16.2
183,2353,宏碁,42.55,3.85,9.95,217599,06/01,1.41,8.52,14.4,-9.71,11.8,8.23,-2.68,22.8,37.2,7.4
