排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
67,009820,元大納斯達克精選,10.35,0.13,1.27,05/25,0.9,1.4,1.62,2.47,10.2,12.3,,,,,,
68,00936,台新永續高息中小,20.33,0.31,1.55,05/25,0.84,1.69,1.72,2.45,2.38,4.14,24.3,40.2,55.8,,,38.0
69,2027,大成鋼,43.8,1.85,4.41,05/25,0.46,0.62,1.2,2.44,4.78,8.43,4.9,-1.89,-4.71,6.86,6.07,4.51
70,00987A,主動台新優勢成長,18.04,0.7,4.04,05/25,1.98,2.75,2.94,2.44,2.43,4.26,0.04,,,,,17.2
71,3014,聯陽,148.5,0.5,0.34,05/25,-0.29,0.64,2.47,2.43,2.39,3.71,1.02,-1.12,-0.81,0.68,8.17,0.61
72,1802,台玻,73.9,3.4,4.82,05/25,1.49,2.73,2.93,2.43,1.09,-0.05,-0.7,0.74,0.7,-0.86,0.54,2.86
73,3714,富采,79.7,-1.7,-2.09,05/25,-2.57,-0.22,2.27,2.38,2.37,-1.31,-0.19,-1.37,-3.4,-1.9,,-0.55
74,00927,群益半導體收益,39.0,2.47,6.76,05/25,1.35,2.02,2.52,2.35,1.96,0.0,3.03,3.1,8.69,,,2.57
75,00891,中信關鍵半導體,35.09,1.48,4.4,05/25,1.45,2.0,2.42,2.33,1.46,0.51,2.58,3.12,4.96,7.87,,1.7
76,6168,宏齊,30.9,0.1,0.32,05/25,-1.53,0.36,1.88,2.29,2.37,1.17,1.08,0.76,-0.23,-3.59,-2.77,0.56
77,4991,環宇-KY,840.0,26.0,3.19,05/25,0.56,1.44,1.74,2.28,3.84,4.11,5.52,8.95,16.2,11.8,1.38,3.91
78,3041,揚智,27.0,-0.15,-0.55,05/25,-0.04,1.01,2.07,2.26,2.33,2.49,-0.74,-3.04,-1.43,-2.01,-11.3,-2.45
79,00992A,主動群益科技創新,18.85,0.57,3.12,05/25,0.74,1.75,2.42,2.24,-1.32,1.46,-2.03,,,,,0.05
80,6485,點序,116.5,10.5,9.91,05/25,0.51,0.18,0.21,2.24,3.0,3.32,2.36,1.3,-0.03,4.19,2.23,3.36
81,009805,新光美國電力基建,17.0,0.46,2.78,05/25,0.1,0.41,0.37,2.2,2.36,3.14,4.51,4.7,5.0,,,4.73
82,6533,晶心科,244.5,4.5,1.88,05/25,0.64,1.13,1.89,2.2,1.44,2.38,-0.42,-3.44,-12.0,-20.5,,-1.33
83,3035,智原,218.5,7.5,3.55,05/25,-0.56,-0.95,2.06,2.18,-0.5,-1.17,3.42,3.5,-7.84,-10.6,-0.55,3.57
84,3591,艾笛森,26.5,-0.25,-0.93,05/25,-0.02,1.01,1.78,2.18,1.99,2.33,3.26,3.46,2.47,-3.41,-0.1,2.69
85,00920,富邦ESG綠色電力,27.23,0.64,2.41,05/25,2.8,2.99,2.98,2.18,1.76,-0.22,13.0,10.9,29.9,48.0,,12.1
86,00994A,主動第一金台股優,18.57,0.93,5.27,05/25,1.32,1.98,2.59,2.16,0.88,-1.06,-1.96,,,,,
87,2365,昆盈,39.65,0.5,1.28,05/25,-0.58,1.34,2.33,2.11,2.73,3.51,4.2,1.72,3.07,-8.63,-9.47,4.12
88,00714,群益道瓊美國地產,21.61,0.02,0.09,05/25,0.59,0.58,0.68,2.11,3.95,5.22,9.11,15.0,14.5,15.9,,13.8
89,5291,邑昇,76.4,-0.5,-0.65,05/25,-0.55,-1.34,0.32,2.09,3.34,1.11,1.16,2.07,1.84,1.66,2.01,2.02
90,4720,德淵,25.5,-0.3,-1.16,05/25,-0.04,0.43,0.95,2.09,0.73,-2.48,-0.85,-1.89,-3.23,0.34,0.99,-1.68
91,3537,堡達,76.7,6.9,9.89,05/25,1.84,1.83,1.45,2.08,2.73,3.32,4.0,3.68,3.0,2.04,3.03,5.06
92,3715,定穎投控,179.0,4.5,2.58,05/25,1.4,2.07,2.08,2.08,-0.74,-0.42,0.57,-14.3,0.95,-6.0,,-5.74
93,3708,上緯投控,125.0,-1.0,-0.79,05/25,-0.23,-0.1,1.73,2.03,1.47,1.28,3.85,4.21,-0.95,0.33,,5.48
