"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"601","3164","景岳","16.3","-0.2","-1.21","26W18","04/30","4.44","+1","0","4.02","-7","-0.02","3.51","-7","-0.02"
"602","3265","台星科","172","-8","-4.44","26W18","04/30","8.17","+974","+1.21","7.9","+151","+0.19","7.63","+9","+0.01"
"603","9912","偉聯","12.55","0","0","26W18","04/30","3.15","+67","+0.21","3.02","+67","+0.22","3.02","+1,034","+3.55"
"604","1233","天仁","27.4","-0.3","-1.08","26W18","04/30","6.31","+41","+0.07","6.17","+41","+0.07","6.07","+41","+0.07"
"605","2542","興富發","41.9","-1.1","-2.56","26W18","04/30","129","+13,919","+1.09","126","+15,896","+1.28","124","+18,577","+1.52"
"606","2538","基泰","10","-0.1","-0.99","26W18","04/30","32.1","+130","+0.04","30.6","+862","+0.28","29.8","-115","-0.04"
"607","1472","三洋實業","89.1","-1","-1.11","26W18","04/30","3.89","0","0","3.73","0","0","3.63","0","0"
"608","1709","和益","20","-0.2","-0.99","26W18","04/30","27.6","-271","-0.1","26.1","-270","-0.1","24.9","-270","-0.11"
"609","4183","福永生技","13.75","-0.05","-0.36","26W18","04/30","1.23","0","0","1.1","0","0","1.01","0","0"
"610","8935","邦泰","23.8","+0.05","+0.21","26W18","04/30","5.29","+19","+0.04","5.16","+19","+0.04","4.73","0","0"
"611","7768","頌勝科技","399","-7.5","-1.85","26W18","04/30","4.31","-164","-0.38","4.18","-164","-0.39","3.8","-164","-0.43"
"612","6965","中傑-KY","81.7","0","0","26W18","04/30","14.3","+18","+0.01","14.1","+18","+0.01","14.1","+18","+0.01"
"613","6534","正瀚-創","88.7","-2","-2.21","26W18","04/30","8.04","+1,053","+1.33","7.7","+388","+0.51","7.61","+388","+0.51"
"614","2911","麗嬰房","8.51","-0.29","-3.3","26W18","04/30","4.48","+1,199","+2.75","4.34","+478","+1.11","4.26","+478","+1.14"
"615","8255","朋程","163","-12","-6.86","26W18","04/30","5.32","+631","+1.2","5.18","-11.4","-0.02","5.1","-11.4","-0.02"
"616","1536","和大","48.65","-1.85","-3.66","26W18","04/30","9","+260","+0.29","8.59","+260","+0.3","8.33","+1,228","+1.5"
"617","2646","星宇航空","20.05","-0.45","-2.2","26W18","04/30","192","+3,163","+0.16","191","+3,896","+0.2","189","+2,077","+0.11"
"618","2201","裕隆","27.4","-1.3","-4.53","26W18","04/30","65.7","+3,230","+0.49","64.2","+2,642","+0.41","62.7","+2,657","+0.43"
"619","6469","大樹","74","-1.7","-2.25","26W18","04/30","6.76","-586","-0.86","6.5","-586","-0.89","6.41","-586","-0.9"
"620","6461","益得","15.8","-0.4","-2.47","26W18","04/30","10.4","-636","-0.61","9.94","-28","-0.03","9.59","-28","-0.03"
"621","1229","聯華","40.95","-1.05","-2.5","26W18","04/30","115","-964","-0.08","114","-53.8","0","112","-1,730","-0.15"
"622","6949","沛爾生醫-創","677","+19","+2.89","26W18","04/30","4.53","+59.2","+0.13","4.33","+100","+0.23","3.96","+105","+0.27"
"623","6508","惠光","23.45","-0.6","-2.49","26W18","04/30","5.19","+55","+0.11","5.12","+55","+0.11","5.12","+55","+0.11"
"624","9935","慶豐富","19","-0.3","-1.55","26W18","04/30","10.1","+279","+0.28","9.34","+217","+0.23","8.91","+217","+0.24"
"625","6464","台數科","78.1","+0.1","+0.13","26W18","04/30","10.6","+704","+0.67","10.2","+100","+0.1","9.95","+100","+0.1"
"626","006207","復華滬深","32.53","-0.9","-2.69","26W18","04/30","0.23","-6.18","-0.27","0.16","-6.18","-0.38","0.16","-6.18","-0.38"
"627","1414","東和","17.35","+0.45","+2.66","26W18","04/30","17.1","-398","-0.23","16.8","-398","-0.24","16.4","-493","-0.3"
"628","2107","厚生","25.5","-0.5","-1.92","26W18","04/30","17.3","+524","+0.3","16.9","+514","+0.3","16.7","+514","+0.31"
"629","00924","復華S&P500成長","31.89","-0.71","-2.18","26W18","04/30","10.5","-3,689","-3.4","10","-3,645","-3.52","9.8","-1,763","-1.77"
"630","2605","新興","31","-1.1","-3.43","26W18","04/30","30.8","-1,391","-0.45","30","-1,987","-0.66","29","-2,090","-0.71"
"631","00764B","群益25年美債","27.76","-0.11","-0.39","26W18","04/30","146","+5,846","+0.4","146","+7,163","+0.49","146","+7,978","+0.55"
"632","6669","緯穎","5275","-385","-6.8","26W18","04/30","11.3","-939","-0.83","10.7","-1,800","-1.66","10.1","-1,822","-1.77"
"633","2606","裕民","68.2","-2.6","-3.67","26W18","04/30","61.1","-2,921","-0.48","60.5","-1,674","-0.28","59.7","-1,486","-0.25"
"634","3630","新鉅科","27.85","-1.75","-5.91","26W18","04/30","10.9","+399","+0.37","10.6","-158","-0.15","10.5","-158","-0.15"
"635","4564","元翎","15.6","-0.4","-2.5","26W18","04/30","9.08","+378","+0.42","8.8","+1,182","+1.36","8.07","-606","-0.75"
"636","4129","聯合","89.7","-0.6","-0.66","26W18","04/30","4.73","-243","-0.51","4.51","-191","-0.42","4.33","-115","-0.27"
"637","00739","元大MSCI A股","27.87","-1.04","-3.6","26W18","04/30","0.88","-1,047","-10.6","0.68","-1,046","-13.4","0.49","-1,046","-17.7"
"638","00862B","中信投資級公司債","31.9","-0.15","-0.47","26W18","04/30","81.8","-938","-0.11","81.8","-938","-0.11","81.8","-938","-0.11"
"639","6661","威健生技","16.3","-0.05","-0.31","26W18","04/30","1.43","+6","+0.04","1.43","+6","+0.04","1.43","+6","+0.04"
"640","5278","尚凡*","23.2","-0.1","-0.43","26W18","04/30","23.6","+486","+0.21","23.1","+546","+0.24","22.6","+563","+0.25"
"641","4552","力達-KY","21","+0.45","+2.19","26W18","04/30","5.21","-826","-1.56","4.86","-850","-1.72","4.86","+5","+0.01"
"642","00773B","中信優先金融債","35.73","-0.12","-0.33","26W18","04/30","245","+1,343","+0.05","245","+1,398","+0.06","244","+1,398","+0.06"
"643","6283","淳安","24.3","-1.05","-4.14","26W18","04/30","8.81","-6","-0.01","8.59","+59.4","+0.07","8.32","0","0"
