項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),565161,673335,7941,9406061,9289946
融券(交易單位),47489,42507,3946,269861,260933
融資金額(仟元),41537967,47189799,334390,572635489,566649267
