" "," ","#","股票代號/名稱","類別","20260430","0508","0515","0522","0529","0605"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","44","6285啟卅卅","通信網路","-0.37","2.67","1.33","-0.22","1.38","-1.00"," ","30","3.79"," ","68.39","292.00","-4.00"," "
" "," ","45","2438翔耀","光電","0.01","-0.02","3.85","-0.01","-0.19","0.02"," ","31","3.66"," ","58.35","24.15","-1.80"," "
" "," ","46","8028昇陽半導體","半導體","-2.05","-2.85","5.74","-0.12","4.55","-1.63"," ","30","3.64"," ","54.49","337.50","-3.50"," "
" "," ","47","2317鴻海","其他電子","0.26","1.63","0.17","0.35","0.69","0.52"," ","30","3.62"," ","70.98","284.50","-8.50"," "
" "," ","48","6226光鼎","光電","-0.82","1.04","-0.04","-0.43","2.25","1.54"," ","30","3.54"," ","25.79","13.60","0.00"," "
" "," ","49","1568倉佑","汽車","-0.86","0.61","1.02","-0.31","3.71","-0.64"," ","30","3.53"," ","67.20","43.80","-1.25"," "
" "," ","50","6806森崴能源","綠能","-0.28","0.05","1.14","-1.17","0.01","3.78"," ","50","3.53"," ","60.21","5.64","-0.62"," "
" "," ","51","2356英業達","電腦週邊","0.15","0.97","1.66","0.57","0.22","-0.08"," ","10","3.49"," ","73.45","76.80","-1.00"," "
" "," ","52","3706神達","電腦週邊","-0.03","0.51","-1.16","0.01","0.86","3.29"," ","50","3.48"," ","55.62","92.40","-1.50"," "
" "," ","53","2440太空梭","電子零組件","1.31","-0.41","0.02","-0.24","0.69","2.06"," ","50","3.43"," ","72.44","18.45","-2.05"," "
" "," ","54","2493揚博","電子零組件","-1.19","-0.25","0.80","-1.68","4.34","1.38"," ","30","3.40"," ","52.47","178.00","0.50"," "
" "," ","55","1516川飛","其他","0.00","1.49","0.74","-0.11","0.95","0.32"," ","30","3.39"," ","64.37","21.00","-0.50"," "
" "," ","56","3312弘憶股","電子通路","0.10","-0.48","0.98","0.94","-0.53","2.38"," ","31","3.39"," ","49.84","67.50","-5.70"," "
" "," ","57","6834天二科技","電子零組件","-0.05","0.93","-0.08","3.89","-1.49","0.19"," ","31","3.39"," ","70.83","70.00","-2.00"," "
" "," ","58","2363矽統","半導體","-0.56","0.34","3.40","0.35","-0.22","0.06"," ","31","3.37"," ","37.24","62.50","-0.60"," "
" "," ","59","3019亞光","光電","-0.66","0.36","2.08","-0.49","2.13","-0.09"," ","30","3.33"," ","39.50","152.50","0.50"," "
" "," ","60","2606裕民","航運","-0.16","0.70","0.61","0.12","1.89","0.10"," ","30","3.26"," ","76.95","70.80","0.90"," "
" "," ","61","3022威強電","電腦週邊","-0.26","1.27","-0.03","0.39","0.82","1.04"," ","50","3.23"," ","61.15","77.40","1.40"," "
" "," ","62","2357華碩","電腦週邊","-0.39","0.46","0.75","-0.02","0.82","1.61"," ","50","3.23"," ","74.58","900.00","8.00"," "
