"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"715","7547","碩網","櫃","05/12","","69.2","-2","-2.81","214","14.9","71.2","73","73.8","69","6.74","26.1","2.37","","","","",""
"716","4933","友輝","櫃","05/12","","69.1","-0.7","-1","507","35.3","69.8","70","70.6","68.8","2.58","12.9","1.57","","","","",""
"717","8240","華宏","櫃","05/12","","69.1","-1.1","-1.57","2,593","180","70.2","70","70.5","68.5","2.85","31.7","1.52","","","","",""
"718","3310","佳穎","櫃","05/12","","68.9","-0.1","-0.14","53","3.69","69","69.3","69.6","68.6","1.45","20.3","2.67","","","","",""
"719","4540","全球傳動","市","05/12","","68.9","-0.6","-0.86","6,235","429","69.5","70","70.3","67.5","4.03","","2.31","","","","",""
"720","6207","雷科","櫃","05/12","","68.8","+0.5","+0.73","7,685","530","68.3","70.9","71","66.6","6.44","76.4","2.79","","","","",""
"721","6689","伊雲谷","市","05/12","","68.8","-1.3","-1.85","224","15.5","70.1","69.9","69.9","68.8","1.57","29.8","1.58","","","","",""
"722","00733","富邦臺灣中小","市","05/12","","68.7","+0.4","+0.59","1,496","103","68.3","68.6","69","67.55","2.12","","0.999","","","","",""
"723","3546","宇峻","櫃","05/12","","68.7","+0.7","+1.03","119","8.12","68","68","68.8","67.4","2.06","34.9","2.64","","","","",""
"724","6590","普鴻","櫃","05/12","","68.6","-0.8","-1.15","10","0.67","69.4","68.5","68.6","68.5","0.14","13.2","2.6","","","","",""
"725","3054","立萬利","市","05/12","","68.5","-1.1","-1.58","247","16.8","69.6","69.1","69.1","67.3","2.59","20.2","4.12","","","","",""
"726","7713","威力德生醫","櫃","05/12","","68.5","+0.5","+0.74","23","1.58","68.9","68","69","68","1.47","14.8","2.47","","","","",""
"727","4916","事欣科","市","05/12","","68.4","+1.4","+2.09","10,917","745","67","67.9","69.5","66.9","3.88","38.6","2.76","","","","",""
"728","3663","鑫科","櫃","05/12","","68.2","+0.3","+0.44","1,926","131","67.9","68.4","69.7","66.7","4.42","682","3.49","","","","",""
"729","9927","泰銘","市","05/12","","68.2","-0.2","-0.29","66","4.51","68.4","68.4","68.4","68.2","0.29","13.9","1.58","","","","",""
"730","2636","台驊控股","市","05/12","","68.1","-0.4","-0.58","266","18.1","68.5","68.4","68.8","68","1.17","8.8","0.95","","","","",""
"731","2070","精湛","櫃","05/12","","68","-1.5","-2.16","1,758","118","69.5","68","68.5","65.3","4.6","29.6","2.55","","","","",""
"732","3317","尼克森","櫃","05/12","","67.9","-0.3","-0.44","6,965","472","68.2","67","69","66.7","3.37","37.1","1.89","","","","",""
"733","6906","現觀科","市","05/12","","67.9","-2","-2.86","154","10.6","69.9","70","70","67.9","3","36.3","3.01","","","","",""
"734","6456","GIS-KY","市","05/12","","67.8","+1.2","+1.8","9,763","676","66.6","69","71.4","67","6.61","","0.75","","","","",""
"735","2485","兆赫","市","05/12","","67.7","+0.1","+0.15","21,302","1,451","67.6","67.6","69.7","67.1","3.85","","4.2","","","","",""
"736","6175","立敦","櫃","05/12","","67.7","-0.9","-1.31","6,801","460","68.6","67.8","69.6","65.6","5.83","25.3","2.51","","","","",""
