"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"301","8076","伍豐","26.9","+0.3","+1.13","26W23","06/05","31","-0.02","29.2","+0.25","26.8","+0.6"
"302","1416","廣豐","11.05","+0.15","+1.38","26W23","06/05","52","+0.06","50.2","+0.08","49.3","+0.6"
"303","2637","慧洋-KY","78.3","+2.3","+3.03","26W23","06/05","79.6","+0.4","77.5","+0.01","76.4","+0.59"
"304","1442","名軒","26.9","-1.1","-3.93","26W23","06/05","83.3","+0.12","80.3","+0.06","77.6","+0.59"
"305","6213","聯茂","248","-6","-2.36","26W23","06/05","55","0","52.6","+0.07","51.4","+0.58"
"306","5530","龍巖","49.15","-0.25","-0.51","26W23","06/05","81.2","+0.63","80.3","+0.81","79.6","+0.58"
"307","1618","合機","42.15","-1.25","-2.88","26W23","06/05","55.5","-0.11","54.2","+1.03","53.7","+0.58"
"308","00695B","富邦美債7-10","35.04","+0.08","+0.23","26W23","06/05","71","+0.84","71","+2.86","66.3","+0.58"
"309","2880","華南金","35.65","+0.3","+0.85","26W23","06/05","79.9","+0.61","79.3","+0.61","78.6","+0.58"
"310","2887H","台新新光庚特二","40.9","0","0","26W23","06/05","67","+0.12","64.6","+0.12","63.4","+0.58"
"311","6024","群益期","60.4","-0.2","-0.33","26W23","06/05","65.5","+0.22","65","+0.22","63.9","+0.57"
"312","2892","第一金","30.65","+0.1","+0.33","26W23","06/05","67.5","+0.52","66.3","+0.56","65.4","+0.57"
"313","00895","富邦未來車","49.03","-0.43","-0.87","26W23","06/05","10.7","+0.41","9.86","-0.05","9.33","+0.57"
"314","00948B","中信優息投資級債","9.49","+0.01","+0.11","26W23","06/05","78.3","+0.52","77.3","+0.57","76.6","+0.57"
"315","3029","零壹","105","0","0","26W23","06/05","39.3","+0.99","38.5","+1.03","34.9","+0.56"
"316","5014","建錩","10.95","0","0","26W23","06/05","32.8","-0.01","30.1","-0.44","26.7","+0.56"
"317","3380","明泰","34.15","+0.85","+2.55","26W23","06/05","67.3","+0.94","66.9","+1.04","66.1","+0.56"
"318","1733","五鼎","29.1","+0.4","+1.39","26W23","06/05","38.2","+0.51","36","+0.51","31.3","+0.56"
"319","3058","立德","9.11","-0.21","-2.25","26W23","06/05","19.9","+0.11","18.2","+0.16","16.9","+0.56"
"320","00936","台新永續高息中小","20.37","-0.05","-0.24","26W23","06/05","14.2","+0.55","14.2","+0.55","14.2","+0.55"
"321","1904","正隆","22.75","-0.4","-1.73","26W23","06/05","64.2","+0.68","62.8","+0.72","61.5","+0.55"
"322","4707","磐亞","19.85","+0.85","+4.47","26W23","06/05","67.9","+0.89","66.1","+0.99","63.9","+0.55"
"323","2027","大成鋼","42.55","+0.05","+0.12","26W23","06/05","71.8","+0.66","70.8","+0.57","69.9","+0.54"
"324","2528","皇普","22.05","-0.3","-1.34","26W23","06/05","81.3","+0.11","80.1","+0.12","79.1","+0.54"
"325","2408","南亞科","340","+7","+2.1","26W23","06/05","82.1","+0.55","81.5","+0.59","80.8","+0.54"
"326","6113","亞矽","27.15","+0.9","+3.43","26W23","06/05","52.1","-0.79","52.1","+0.53","52.1","+0.53"
"327","8044","網家","29.55","-0.65","-2.15","26W23","06/05","59.3","+0.04","58.1","+0.07","55.8","+0.53"
