"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"177","3706","神達","81.2","-0.9","-1.1","05/14","31","51.7","46","39.2","32.7","28.6","28.8","27.4","23.8","23.1","22.5","28.1"
"178","2371","大同","29","-1","-3.33","05/14","47","45.8","45.8","41.8","39","38.2","38.4","30.2","30.9","27.8","22.3","31.2"
"179","1535","中宇","49.4","0","0","05/14","41.2","43.6","45.8","45.1","39.1","31.1","27.2","21.9","19.4","23.9","15.8","22.3"
"180","1402","遠東新","26.75","0","0","05/14","72.2","66.3","45.7","47.7","55.2","63.5","59.2","54.9","54.7","53.7","46.6","55.4"
"181","2362","藍天","39.1","+0.3","+0.77","05/14","24.2","47","45.7","40.4","33.3","36.1","35.9","35.8","36.6","26.3","25.9","37.4"
"182","2617","台航","29.15","0","0","05/14","48.8","40.7","45.4","49.6","39.9","42","36.1","32.4","31.3","29.7","18.9","34.4"
"183","3017","奇鋐","2555","-30","-1.16","05/14","51.4","43.8","45.4","45.6","42","42.6","41","37.5","33.2","31.6","21.8","37.6"
"184","8150","南茂","83.9","-1.6","-1.87","05/14","44.6","45.7","45.4","42.3","36.6","32.1","23.6","11.4","7.03","5.44","1.97","22.4"
"185","7799","禾榮科","322","-6.5","-1.98","05/14","50.8","49.6","45.4","38.7","31.9","29.6","22.9","6.76","","","","17.9"
"186","5876","上海商銀","40.3","0","0","05/14","48","48.8","45.2","38.7","48.6","56","63.7","54.9","54.4","57.7","","59.6"
"187","6112","邁達特","42.35","-0.15","-0.35","05/14","52.6","51.6","45.2","49.2","40.5","31.8","29.1","31","21.9","20.3","18.6","29.4"
"188","6873","泓德能源","87.1","-2.9","-3.22","05/14","31.6","40.2","45.2","41.3","32.9","34.7","20.5","11.1","4.88","1.25","","19.3"
"189","3131","弘塑","2935","-90","-2.98","05/14","53.9","50.5","45","42.1","45.6","42.2","38","35.1","32.8","29.8","20.7","35.4"
"190","3324","雙鴻","1015","-50","-4.69","05/14","54.6","50.3","45","42","38.4","30.6","32.1","31.6","28.2","24.9","15.3","31.4"
"191","2524","京城","34.25","-1.25","-3.52","05/14","55.1","45","45","39.2","35.6","35.7","36.8","33","33.4","26.7","22.6","34.6"
"192","6754","匯僑設計","44.45","-0.7","-1.55","05/14","63.6","41.6","45","31.7","31.2","30.7","25","18.3","22.8","17.3","","19"
"193","5521","工信","10.6","-0.55","-4.93","05/14","24.9","37.9","44.8","35.6","38.8","38.8","32.2","29.5","29","27.2","20.7","32.7"
"194","6415","矽力*-KY","503","+35.5","+7.59","05/14","37.9","41.3","44.8","44.8","41.6","39.4","43","47.7","52.1","53.1","54.7","43"
"195","3231","緯創","138","-2.5","-1.78","05/14","67","60.9","44.8","49.3","42.1","36.6","38.8","38.2","35.9","31.4","35.5","40.1"
"196","6464","台數科","76.5","0","0","05/14","35.6","37.6","44.8","32","20.1","17.5","23","9.82","9.3","10.7","10.1","22.4"
"197","6722","輝創","38.5","-0.2","-0.52","05/14","49","49.4","44.7","32.4","18.1","15.9","18.4","","","","",""
"198","6120","達運","12.95","0","0","05/14","59","54","44.7","47.6","40.6","34.6","31.1","29.3","30","25.7","18.5","30.6"
"199","1440","南紡","11.65","-0.2","-1.69","05/14","40.6","43.1","44.7","46.8","49.4","42.5","38","34.6","30.2","26.8","18.6","35.8"
"200","5455","昇益","24.8","-0.65","-2.55","05/14","66.7","45.5","44.7","43.9","44.8","39.3","3.71","5.95","6.09","6.27","4.55","5.65"
"201","1443","立益物流","26.35","-0.45","-1.68","05/14","49.6","39","44.6","38.8","22.8","19.7","22.9","19.4","18.3","13.6","7.26","20.3"
"202","2201","裕隆","27.3","-0.3","-1.09","05/14","56.2","48.9","44.6","36.9","33.6","36.5","37.9","35.8","36.1","29.2","24","39.5"
