項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),563476,509992,10066,9469029,9512447
融券(交易單位),22660,21854,2227,202194,199161
融資金額(仟元),46105143,39734483,2826371,607456271,611000560
