"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2887","台新新光金","23","-0.45","-1.92","05/12","54.8","52.3","51.7","46.1","42.5","33.5","13.6","7.82","4.94","3.6","1.96","10.6"
"2","00755B","群益投資級公用債","32.81","-0.07","-0.21","05/12","49.5","49.6","40.8","44.6","29.1","17.6","7.94","3.97","1.97","0.36","","5.41"
"3","6805","富世達","1850","-145","-7.27","05/12","29.1","19.7","12.6","20","15.8","12.9","8.51","6.85","4.67","","","9.23"
"4","3167","大量","760","+32","+4.4","05/12","3.69","21","20.9","19.8","7.77","8.12","2.41","1.09","0.42","0.31","0.27","2.24"
"5","2606","裕民","63.9","-1.4","-2.14","05/12","44.7","32.8","23.9","17.4","16.3","9.97","8.54","6.55","6.63","4.79","2.77","10.6"
"6","7751","竑騰","1835","+85","+4.86","05/12","16.5","12.2","20.8","17.1","11.8","5.61","2.64","1.37","","","","1.68"
"7","1702","南僑","33.75","-0.4","-1.17","05/12","0","0","15.2","17","24","16.4","7.63","4.68","2","1.64","3.4","5.98"
"8","2882","國泰金","76.4","-2","-2.55","05/12","23.1","22","20.2","15.8","19.2","16.9","10.1","15.1","7.9","4.76","2.37","11.1"
"9","3665","貿聯-KY","2775","-130","-4.48","05/12","11.6","6.73","7.38","15.7","10.6","7.53","7.01","7.51","5.93","5.01","3.76","9.26"
"10","3015","全漢","50.2","-0.9","-1.76","05/12","0","0.18","13.8","15.3","25.9","16.2","7","3.02","1.64","0.95","0.43","4.31"
"11","3653","健策","3920","-95","-2.37","05/12","1.05","2.01","14.3","15.1","13","9.36","6.16","5.24","6.58","7.32","4.45","6.37"
"12","4904","遠傳","95.5","-0.7","-0.73","05/12","12.2","8.68","12.2","15","25.4","17.7","11.7","12.5","17.9","10.2","5.29","12.3"
"13","6005","群益證","31.7","-0.55","-1.71","05/12","12.6","8.4","6.67","14.9","18.9","15.5","10.2","10","17.3","9","4.34","9.87"
"14","2884","玉山金","31.8","-0.5","-1.55","05/12","11.1","7.14","12.4","13.9","17.9","19","9.8","5.37","4.89","4.53","1.84","8.16"
"15","3017","奇鋐","2520","-35","-1.37","05/12","4.63","2.09","2.8","13.7","10.8","6.75","3.29","4.15","2.82","2.92","2.17","4.55"
"16","1532","勤美","20.4","-0.2","-0.97","05/12","0.46","0.55","12.1","13.7","21.2","12.8","6.47","4.24","2.25","0.79","1.24","5.42"
"17","2881","富邦金","93.7","-1.8","-1.88","05/12","16.8","13.6","13.2","13","13.9","14.6","9.5","10.5","6.68","4.21","2.03","12"
"18","6515","穎崴","9950","-140","-1.39","05/12","7.09","6.8","9.97","13","9.27","7.19","7.16","5.32","4.23","4.68","","5.92"
"19","2891","中信金","53.5","-1.8","-3.25","05/12","17.9","15","13.1","12.4","17.6","18.9","10.6","16.3","11.7","6.41","3.06","11.7"
"20","9904","寶成","25.85","+0.05","+0.19","05/12","17.7","11.2","11.6","10.2","9.7","9.17","7.35","7.52","5.04","5.58","3.12","9.46"
"21","2850","新產","133","-3","-2.21","05/12","8.1","4.12","8.31","9.84","6.85","7.51","6.13","6.39","8.01","2.71","1.11","6.49"
"22","2347","聯強","84.9","-1.5","-1.74","05/12","9.64","7.67","9.43","9.75","14.7","11.9","6.35","13","13.5","14.1","7.3","10.1"
"23","1102","亞泥","34.6","-0.05","-0.14","05/12","11.2","5.57","7.46","9.7","13.8","17.5","10.1","9.24","11.6","10.8","6.01","10.1"
"24","3131","弘塑","3140","+50","+1.62","05/12","12.8","18.1","14.2","9.45","12.4","6.76","3.83","3.5","4.08","4.37","4.09","4.18"
