"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"212","1305","華夏","12.5","-0.15","-1.19","05/15","+7.29","+10.8","+5.81","+12.2","+5.59","-0.68","-1.01","-0.87","-0.6","-2.55","-0.79","-0.44"
"213","4540","全球傳動","70.9","+6.4","+9.92","05/15","+24.2","+20.3","+16.2","+12.2","+0.5","+2.78","+3.64","+2.25","+1.45","+0.58","","+2.3"
"214","9921","巨大","75.9","+2.4","+3.27","05/15","+17.3","+8.08","+13","+12.2","+6.33","+3.94","-0.73","+2.27","-0.21","+0.15","+0.08","+2.41"
"215","1582","信錦","99.4","+1.6","+1.64","05/15","+23.2","+16.3","+14.4","+12.2","+4.85","+1.12","+0.48","-1.15","-2.52","-0.24","-0.45","-0.87"
"216","00916","國泰全球品牌50","27.71","-0.14","-0.5","05/15","+28.4","+24.1","+23.2","+12.1","+25.1","+17.4","+5.26","+5.3","+8.49","+0.91","","+5.43"
"217","00912","中信臺灣智慧50","30.45","-0.41","-1.33","05/15","+17","+20.4","+1.91","+12.1","+7.12","+4.34","+1.59","+0.69","+2.87","+0.68","","+0.89"
"218","8042","金山電","98.1","-10.9","-10","05/15","-5.3","+4.95","+18.4","+12","+13","+9.91","+5.99","+1.42","+1.07","+0.86","+0.41","+2.99"
"219","00863B","中信全球電信債","31.89","-0.16","-0.5","05/15","-12.6","-5.38","-2.46","+12","+9.02","+4.54","+2.12","-0.38","-0.39","+40.1","","-0.42"
"220","8040","九暘","84.5","-3.4","-3.87","05/15","+0.78","+15.6","+15.5","+11.9","+4.31","+1.08","+1.28","+0.82","+0.56","+0.04","+0.02","+0.84"
"221","6996","力領科技","183","-6.5","-3.43","05/15","-37.7","+11.6","+6.11","+11.9","+17.2","+6.13","+5.56","+3.63","+1.19","","","+3.49"
"222","2412","中華電","138","+0.5","+0.36","05/15","+26.2","+19.9","+27.4","+11.9","-1.58","-2.67","+11.1","+0.97","+5.07","+1.26","-2.16","+3.76"
"223","1308","亞聚","13","-0.3","-2.26","05/15","+4.77","+15.4","+7.82","+11.9","+7.95","+3.04","-2.47","-1.79","-1.24","-2.4","-0.31","-1.9"
"224","3526","凡甲","374","-12","-3.11","05/15","+10","+22.8","+26.3","+11.9","+7.25","+3.58","+4.95","+5.14","-0.69","+2.7","+0.39","+5.41"
"225","00401A","主動摩根台灣鑫收","12.38","-0.4","-3.13","05/15","+8.03","+11.5","+7.24","+11.9","+11.4","+1.16","","","","","",""
"226","8234","新漢","70.8","+2.7","+3.96","05/15","+17.1","+15.6","+10.7","+11.9","-1.57","-0.95","+0.08","+0.62","-0.27","+0.05","0","-0.69"
"227","00953B","群益優選非投等債","9.55","-0.02","-0.21","05/15","-0.2","+2.07","+12.1","+11.9","+0.18","-1.81","+2.36","+0.5","+1.71","","","+0.75"
"228","00768B","復華20年美債","49.91","-0.34","-0.68","05/15","-23.6","+21.8","+20.9","+11.8","+12.2","+19.5","+24.6","-1.7","+20.1","+18.6","","-13.9"
"229","5903","全家","189.5","+0.5","+0.26","05/15","+10.6","+15.6","+17.4","+11.8","+14.2","+1.5","-11.3","+3.89","-9.04","-6.79","-5.96","+2.36"
"230","2492","華新科","206","-14","-6.36","05/15","+15.1","+24.4","+15","+11.7","+12.4","+9.71","+6.34","+3.62","+2.1","+0.87","+0.05","+4.87"
"231","4739","康普","96.3","-5.2","-5.12","05/15","-3.56","+0.37","+5.56","+11.7","+5.31","-1.44","-0.1","+0.64","+1.44","+1.35","+0.14","+0.78"
"232","5225","東科-KY","70.3","-0.5","-0.71","05/15","-14.3","-12.7","-2.13","+11.7","+6.22","-0.11","-6.76","-3.34","-0.84","-1.26","-0.8","-5.57"
"233","00723B","群益投資級科技債","30.43","-0.16","-0.52","05/15","-18.4","+8.71","+7.14","+11.7","+3.14","+5.79","+2.48","-1.4","-0.1","+42.5","","-3.28"
"234","2357","華碩","641","-38","-5.6","05/15","-12.4","+5.42","+10.4","+11.7","+10.8","+0.52","-4.03","-17.1","-8.76","-2.16","-2.75","-8.91"
"235","3006","晶豪科","251","+13","+5.46","05/15","+12.8","+18.9","+16.4","+11.4","+9.54","+5.4","+2.53","+2.32","+1.97","+1.22","+0.4","+1.48"
"236","4764","雙鍵","291.5","-18.5","-5.97","05/15","+12.4","+11.8","+11","+11.4","-0.2","+1.87","+3.65","+1.79","+1.77","+1.73","","+1.88"
"237","4583","台灣精銳","774","+18","+2.38","05/15","+33.4","+21","+13.1","+11.3","+8.46","+5.84","+1.23","+1.07","-1.03","+0.24","","+2.44"
"238","6224","聚鼎","71.7","-1.9","-2.58","05/15","+25.5","+20.3","+13.8","+11.2","+5.81","+4.65","+2.53","+2.57","-1.06","+0.61","-0.17","+2.33"
"239","6270","倍微","25.85","-0.5","-1.9","05/15","-0.5","+18.3","+15.7","+11.2","+3.29","+0.53","+0.61","-0.15","-0.34","-0.12","+0.01","-0.12"
"240","4131","浩泰","35.3","-0.05","-0.14","05/15","-3.92","+6.96","+5.44","+11.2","+13.7","+19.1","+10.2","+5.36","+4.36","+1.72","+0.64","+6.18"
"241","6968","萬達寵物","43.25","-0.25","-0.57","05/15","0","+0.78","-0.63","+11.2","+10.7","+3.03","+2.49","+4.96","+0.58","","","+0.53"
"242","2392","正崴","33.8","-0.6","-1.74","05/15","+16.7","+16","+16","+11.1","+14.1","+4","+0.93","+0.19","-2.84","-1.04","-0.28","+0.47"
"243","6277","宏正","71.9","+0.5","+0.7","05/15","+6.52","+7.55","+7.97","+11","+15.2","+14.1","+7.5","+7.48","+3.6","-4.37","-2.02","+6.59"
