單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"9,459,407,986","12,914,587,689","-3,455,179,703"
自營商(避險),"33,472,270,345","32,415,085,799","1,057,184,546"
投信,"36,314,032,925","19,321,831,726","16,992,201,199"
外資及陸資(不含外資自營商),"400,290,633,930","382,946,641,329","17,343,992,601"
外資自營商,0,0,0
合計,"479,536,345,186","447,598,146,543","31,938,198,643"
