"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"301","3339","泰谷","45.4","-3.45","-7.06","26W18","04/30","1.71","+882","+5.44","1.29","+165","+1.29","1.29","+165","+1.29"
"302","00741B","富邦全球非投等債","37.15","+0.02","+0.05","26W18","04/30","0.66","+184","+2.89","0.66","+184","+2.89","0.66","+184","+2.89"
"303","6120","達運","14.35","-0.95","-6.21","26W18","04/30","34.6","-3,071","-0.88","33.7","-1,800","-0.53","32.7","-1,738","-0.53"
"304","2108","南帝","29.3","-2.85","-8.86","26W18","04/30","33.5","-2,889","-0.86","32.7","-244","-0.07","31.8","-1,099","-0.34"
"305","00752","中信中國50","22.66","-0.35","-1.52","26W18","04/30","11.9","-108","-0.09","11.6","-769","-0.66","11.3","-754","-0.66"
"306","2104","國際中橡","10.55","-0.35","-3.21","26W18","04/30","41.4","-1,553","-0.37","38.7","-779","-0.2","36.8","-1,617","-0.44"
"307","3515","華擎","243.5","-6","-2.4","26W18","04/30","8.32","+40.6","+0.05","8.25","+24","+0.03","7.97","+24","+0.03"
"308","6703","軒郁","108","-2","-1.82","26W18","04/30","1.43","0","0","1.37","0","0","1.27","0","0"
"309","1326","台化","48.75","-4.05","-7.67","26W18","04/30","476","+24,559","+0.52","472","+25,301","+0.54","467","+23,716","+0.51"
"310","2462","良得電","24.2","-0.75","-3.01","26W18","04/30","8.06","+32","+0.04","7.73","-9","-0.01","7.55","0","0"
"311","3236","千如","53","-0.9","-1.67","26W18","04/30","3.05","+19.1","+0.06","3.05","+19.1","+0.06","2.88","+19.1","+0.07"
"312","00651R","復華香港反1","5.41","+0.1","+1.88","26W18","04/30","2.04","+307","+1.53","1.76","+307","+1.77","1.76","+307","+1.77"
