排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2303,聯電,133.5,8.5,6.8,06/12,-11778,-24033,-38659,-84666,-305781,-337862,-238493.0,-532602.0,-844383.0,-338208.0
2,2609,陽明,52.4,1.3,2.54,06/12,-7239,-13182,-24339,-75858,-117077,-116037,-45975.0,-141842.0,-88323.0,-83957.0
3,3481,群創,48.55,1.6,3.41,06/12,-1853,-6689,-10120,-71763,-107408,-12551,-28436.0,418089.0,430479.0,278599.0
4,00981A,主動統一台股增長,30.6,0.89,3.0,06/12,-11751,-15065,-22066,-23064,-8856,117628,177487.0,284102.0,321244.0,284886.0
5,00940,元大台灣價值高息,12.22,0.16,1.33,06/12,-1211,-4240,-4240,-20118,-36150,-40498,6695.0,25682.0,20768.0,29613.0
6,1314,中石化,7.84,0.08,1.03,06/12,-878,-701,-3423,-16821,-23536,-12774,68588.0,35203.0,34831.0,33027.0
7,5880,合庫金,24.05,0.2,0.84,06/12,306,-6075,-8732,-15592,-14865,31920,94828.0,113144.0,87049.0,118887.0
8,2887,台新新光金,30.2,1.45,5.04,06/12,-4846,-14058,-20638,-14658,-2080,43382,132247.0,210661.0,-1034144.0,43226.0
9,5347,世界,169.5,8.0,4.95,06/12,-137,-68,-10743,-14461,-22214,-16273,2903.0,-15734.0,-5666.0,-15818.0
10,2801,彰銀,22.6,0.25,1.12,06/12,-109,-712,-1967,-13213,-3798,30973,34950.0,42459.0,22680.0,33476.0
11,2356,英業達,66.2,0.8,1.22,06/12,-807,-4909,-7090,-12957,-14491,-29720,-106086.0,-35558.0,-61257.0,-66041.0
12,9105,泰金寶-DR,9.53,0.29,3.14,06/12,-881,-6545,-8559,-12020,-17140,-31653,-26681.0,-38175.0,-8402.0,-34985.0
13,00988A,主動統一全球創新,20.88,1.03,5.19,06/12,-581,-4892,-6197,-10941,-60257,-2129,29585.0,46002.0,,39605.0
14,00882,中信中國高股息,16.06,0.18,1.13,06/12,936,936,936,-10731,-10731,-7631,-8033.0,-7458.0,-26507.0,-10182.0
15,00991A,主動復華未來50,19.05,0.46,2.47,06/12,-5775,-9581,-10070,-9880,-17285,-16312,52653.0,,,81334.0
16,6176,瑞儀,91.3,-0.4,-0.44,06/12,-2165,-3392,-5028,-9357,-19060,-13514,17282.0,5822.0,11367.0,13503.0
17,2882,國泰金,100.5,0.0,0.0,06/12,-5965,-10813,-10167,-8998,-33488,-103271,19187.0,-151678.0,-187673.0,-49832.0
18,1216,統一,76.5,0.9,1.19,06/12,-4199,-5910,-7026,-8344,-10371,-7390,50491.0,127719.0,176957.0,93357.0
