"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6669","緯穎","5580","-210","-3.63","05/13","-5","-2,641","-17.2","-1.42","+18","+7,459","13.3","4.01","-1","-52","-1.8","-0.03","-2","-583","-8.22","-0.31"
"3711","日月光投控","548","-7","-1.26","05/13","-2","-6,301","-12.1","-0.14","+14","+21,961","5.68","0.5","-1","-344","-1.61","-0.01","-1","-1,583","-7.42","-0.04"
"8155","博智","424","+4","+0.95","05/13","+1","+42","2.46","0.07","+12","+2,355","4.26","3.88","+2","+75","2.12","0.12","+2","+201","5.69","0.33"
"3583","辛耘","966","+14","+1.47","05/13","-2","-716","-5.59","-0.89","+10","+2,160","5.38","2.69","-2","-136","-1.06","-0.17","-2","-620","-4.84","-0.77"
"2383","台光電","4930","+30","+0.61","05/13","+3","+770","10.5","0.21","+9","+1,283","5.12","0.36","+1","+5","0.25","0","+3","+1,408","19.2","0.39"
"3443","創意","5330","-240","-4.31","05/13","+1","+721","26.3","0.54","+9","+2,016","8.21","1.5","-4","-329","-3.08","-0.25","+1","+611","22.2","0.46"
"4966","譜瑞-KY","809","+48","+6.31","05/13","+2","+3,478","12.5","4.41","+9","+5,076","10.3","6.43","+1","+125","1.07","0.16","+5","+9,438","21.6","12"
"1785","光洋科","154","-4.5","-2.84","05/13","+1","+3,166","13.2","0.53","+8","+1,030","0.27","0.17","-4","-453","-0.3","-0.08","+1","+3,178","13.2","0.53"
"2327","國巨*","420","+0.5","+0.12","05/13","-3","-15,362","-9.13","-0.74","+8","+24,204","5.3","1.17","+5","+2,529","0.8","0.12","+2","+2,591","2.22","0.13"
"2344","華邦電","122","+0.5","+0.41","05/13","+3","+49,145","8.01","1.09","+8","+38,106","2.16","0.85","-2","-440","-0.1","-0.01","+3","+68,072","11.1","1.51"
"2408","南亞科","321","0","0","05/13","-1","-5,670","-5.34","-0.18","+8","+37,225","2.95","1.2","+3","+2,741","0.63","0.09","-1","-2,337","-2.2","-0.08"
"8210","勤誠","1520","-30","-1.94","05/13","-2","-1,278","-14.9","-1.02","+8","+4,792","13.4","3.82","-2","-143","-1.67","-0.11","+1","+29","0.81","0.02"
"2303","聯電","98.4","-6.1","-5.84","05/13","-1","-46,068","-13.1","-0.37","+7","+63,323","3.35","0.5","-1","-5,452","-1.54","-0.04","-1","-33,180","-9.4","-0.26"
"5009","榮剛","37.85","-0.2","-0.53","05/13","-2","-6,652","-27.3","-1.1","+6","+2,256","3.2","0.37","+1","+48","0.74","0.01","-2","-6,428","-26.4","-1.07"
"5269","祥碩","1430","-95","-6.23","05/13","-1","-1,542","-23.5","-2.06","+6","+288","1.28","0.39","-1","-145","-2.2","-0.19","-1","-1,683","-25.6","-2.25"
"6415","矽力*-KY","467.5","-9","-1.89","05/13","-4","-1,004","-3.44","-0.26","+6","+981","2.83","0.25","-2","-65","-0.36","-0.02","-1","-54","-0.77","-0.01"
"4958","臻鼎-KY","442.5","+35.5","+8.72","05/13","+1","+23,972","32.9","2.51","+5","+2,860","1.16","0.3","+3","+1,091","0.71","0.11","+1","+25,745","35.4","2.69"
"00935","野村臺灣新科技50","54.3","-1.3","-2.34","05/13","-2","-2,361","-8.19","-0.42","+4","+817","1.42","0.15","-5","-16,635","-23.3","-2.97","-5","-16,727","-23.5","-2.99"
"2492","華新科","200","+11.5","+6.1","05/13","+1","+4,478","7.89","0.92","+4","+4,166","2.48","0.86","-1","-258","-0.46","-0.05","+3","+14,446","11.3","2.97"
"3017","奇鋐","2585","+65","+2.58","05/13","+1","+63","1.01","0.02","+4","+2,970","12.7","0.77","+1","+7","0.11","0","+1","+1,416","22.6","0.36"
"6640","均華","1425","-50","-3.39","05/13","-1","-83","-13.7","-0.29","+4","+41","2.59","0.14","-1","-5","-0.75","-0.02","-1","-74","-12.3","-0.26"
"2049","上銀","364.5","-3","-0.82","05/13","-1","-550","-5.23","-0.16","+3","+888","2.42","0.25","-2","-125","-0.51","-0.04","-1","-453","-4.32","-0.13"
"2345","智邦","2435","-90","-3.56","05/13","-2","-1,678","-16.9","-0.3","+3","+1,277","6.8","0.23","-3","-104","-0.55","-0.02","-2","-1,135","-11.4","-0.2"
"2363","矽統","59.9","-3.3","-5.22","05/13","-2","-285","-0.47","-0.06","+3","+81","0.09","0.02","-1","-443","-2.45","-0.09","-1","-667","-3.68","-0.13"
"2401","凌陽","24.95","-1","-3.85","05/13","-1","-1,155","-18","-0.2","+3","+30","0.13","0.01","-2","-215","-1.54","-0.04","-1","-1,215","-18.9","-0.21"
"3036","文曄","284","+8.5","+3.09","05/13","-7","-23,141","-16.8","-1.82","+3","+19,671","21.2","1.55","-3","-1,035","-1.11","-0.08","+1","+2,406","8.77","0.19"
"3037","欣興","892","+17","+1.94","05/13","+3","+5,409","6.35","0.34","+3","+4,676","5.49","0.3","-2","-429","-0.76","-0.03","+3","+9,754","11.5","0.62"
"3228","金麗科","211","-15.5","-6.84","05/13","+1","+324","19.7","0.45","+3","+4","0.09","0.01","-1","-8","-0.47","-0.01","+1","+317","19.3","0.44"
"3706","神達","82.1","-3.8","-4.42","05/13","-1","-14,960","-50.4","-1.13","+3","+60","0.09","0","-4","-1,015","-1.26","-0.08","-1","-15,444","-52.1","-1.16"
"4919","新唐","166","-15","-8.29","05/13","-2","-7,621","-9.69","-1.82","+3","+10","0.01","0","-2","-1,631","-2.08","-0.39","-2","-9,246","-11.8","-2.2"
