"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"175","5607","遠雄港","51.3","-0.5","-0.97","06/02","+12.7","+25.5","+33.1","+27","+23.9","+16.8","-1.01","+5.48","+5.57","+0.86","+0.21","+5.6"
"176","3115","富榮綱","8.88","+0.25","+2.9","06/02","+24","+19.7","+23.2","+27","+21.1","+10.5","+4.08","+0.07","-2.65","-1.78","+2.17","+3.19"
"177","6281","全國電","51.5","+0.6","+1.18","06/02","+45","+24","+22.1","+26.9","+19.5","+9.02","+0.73","-0.52","-1.23","+0.2","-4.96","-0.68"
"178","6136","富爾特","26.15","+0.1","+0.38","06/02","+30.8","+37.8","+39","+26.7","+15.3","+4.07","-2.37","-1.57","-1.53","-0.66","-0.11","-2.29"
"179","00771","元大US高息特別股","15.83","+0.05","+0.32","06/02","+80.1","+6.39","+21.2","+26.6","-20.8","-24.1","-9.17","-11.9","-4.35","+1.4","","-14.8"
"180","00850","元大臺灣ESG永續","91.05","+0.3","+0.33","06/02","+14.2","+32.6","+38.2","+26.5","+27.3","+17.4","+17","+21.8","+20","-5.88","","+21.6"
"181","6026","福邦證","17.8","+0.5","+2.89","06/02","+37","+25.7","+29.8","+26.5","+18.7","+7.52","+7.57","+6.27","+5.74","+1.7","+0.73","+6.39"
"182","00655L","國泰中國A50正2","38.21","+1.39","+3.78","06/02","+20.1","+3.44","+25.8","+26.3","+19.2","+21.3","+22.8","+13.7","+13.3","+2.5","-0.29","+15.3"
"183","1817","凱撒衛","39.45","-0.1","-0.25","06/02","+26","+42.3","+36.3","+26.2","+12.4","-0.56","-0.8","-1.28","-4.25","-0.31","-0.37","-0.75"
"184","6771","平和環保-創","42","-0.2","-0.47","06/02","+9.74","+25.3","+26.5","+26.1","+11.7","+0.43","+2","0","+0.49","","","+1.94"
"185","9908","大台北","29.25","-0.05","-0.17","06/02","+28","+35.8","+36.4","+26.1","+14.2","+10.6","-0.53","+1.25","+1.07","+0.87","+0.25","+1.11"
"186","0055","元大MSCI金融","36.59","+0.69","+1.92","06/02","+46.4","+40.3","+45.9","+26","+14.5","+8.01","-2.98","-0.49","+7.94","+8.02","+3.3","-4.44"
"187","2444","兆勁","13.2","+0.7","+5.6","06/02","+23.7","+36.5","+34.7","+26","+16.2","+9.37","+4.73","+2.54","+0.52","+0.34","+0.07","+2.83"
"188","6183","關貿","91","-0.5","-0.55","06/02","+13.1","+17.1","+27.3","+26","+16.2","+12.3","+0.91","+2.64","+0.76","+0.95","+0.22","+3.19"
"189","3171","炎洲流通","72.7","+3.2","+4.6","06/02","+48.9","+40.1","+38","+25.9","+18.6","+2.74","-1.43","-1.95","-0.39","-0.16","-0.57","-2.33"
"190","6805","富世達","2190","+70","+3.3","06/02","+24.8","+35.1","+36.3","+25.8","+18","+0.94","-1.38","-1.16","+0.72","","","-1.5"
"191","009819","中信數據及電力","11.05","+0.26","+2.41","06/02","-1.61","-2.99","+16.8","+25.8","+35.6","+8.71","","","","","",""
"192","00726B","國泰新興投等債","32.83","+0.13","+0.4","06/02","-3.48","+17.5","+25.3","+25.8","+18","+15.8","+52.7","+33.8","+10.5","-6.3","","+37.8"
"193","020039","元大加權N","14.5","+0.05","+0.35","06/02","+53.8","+54.8","+31.5","+25.8","+30","+19.1","+39.5","+28.7","+35","","","+27.2"
"194","00908","富邦入息REITs+","14.44","+0.01","+0.07","06/02","+56.3","+38.6","+20.2","+25.7","+31.9","+32.8","+18.3","+16.2","+5.05","+4.5","","+17.1"
"195","00636","國泰中國A50","29.31","+0.58","+2.02","06/02","+47.6","+14","+26","+25.5","+28.2","+28.1","+39.2","+28.6","+20.7","+8.7","+3.17","+30.7"
"196","009810","玉山全球藍籌100","20.96","+0.07","+0.34","06/02","+24.1","+30.4","+34.3","+25.5","+11.1","+10.4","+18.6","+19","","","","+16.8"
"197","6219","富旺","12.3","+0.2","+1.65","06/02","+54.7","+46.2","+40","+25.4","+3.29","+9.32","+2.06","+1.27","-0.55","-0.17","+0.02","+0.72"
"198","8927","北基","19.55","+0.65","+3.44","06/02","+9.18","+27.8","+29.7","+25.3","+17.2","+3.54","-0.26","+0.92","+0.65","+0.13","+0.09","+0.44"
"199","2739","寒舍","35.35","0","0","06/02","+26.1","+25.5","+32.2","+25.3","+13","+6.2","-2.56","-0.49","-2.13","-0.26","+0.26","-2.08"
"200","006208","富邦台50","244.55","+0.65","+0.27","06/02","+5.74","+14.6","+28.8","+25.3","+29.5","+25.9","+9.19","+14.2","+16.8","-18","-21.5","+14.7"
"201","4726","永昕","26.95","-0.05","-0.19","06/02","+40.4","+30.3","+34.2","+25.3","+6.29","-1.51","+1.75","-0.91","+1.66","+0.45","+0.03","+0.18"
"202","2890","永豐金","31","+0.55","+1.81","06/02","+45","+48.1","+36.7","+25.2","+3.76","+8.01","+4.93","+5.99","+5.77","+1.73","+1.26","+6.23"
"203","00700","富邦恒生國企","17.39","+0.51","+3.02","06/02","+76.9","+21.8","+26.4","+25.1","+12.2","+14.2","+38.5","+30.2","+18.6","-2.04","","+31.4"
"204","020030","統一智慧電動車N","19.3","0","0","06/02","","+95.1","+86.7","+25","+52.6","+12.1","+27.6","+44.3","+53.3","+74.1","","+41.6"
"205","7610","聯友金屬-創","1685","+70","+4.33","06/02","+26","+23.7","+23","+25","+8.5","-2.56","-1.89","+1.42","","","","+0.87"
"206","4933","友輝","77.9","+1.5","+1.96","06/02","+23.2","+13","+19.2","+24.9","+16.8","+8.97","+1.76","+1.83","-5.98","+0.69","+0.33","+2.42"
"207","6505","台塑化","54.5","+1.2","+2.25","06/02","+27","+31.7","+30.2","+24.8","+3.62","+2.75","-0.85","+0.43","+2.86","-1.35","-2.68","+0.71"
"208","6492","生華科","43.9","-1.25","-2.77","06/02","-0.05","+22.9","+21","+24.8","+18","+10","+6.65","+4.09","+2.45","+0.76","","+3.53"
"209","00885","富邦越南","18.54","-0.13","-0.7","06/02","+32","+7.71","+27.7","+24.7","+26.4","+40.9","+28.7","+23.8","+28.7","+18.1","","+22.3"
"210","00648R","元大S&P500反1","3.95","+0.02","+0.51","06/02","+11.9","+30.1","+45.8","+24.5","+30.1","-8.4","+6.75","+10.2","+1.18","+4.37","+0.38","+14"
"211","1341","富林-KY","62.2","+0.2","+0.32","06/02","+30.8","+23.1","+25","+24.4","+17.1","+13.5","+4.15","+5.68","+1.2","+0.63","","+6.22"
"212","7732","金興精密","36.1","+0.05","+0.14","06/02","+7.12","+34","+32.3","+24.4","+16.6","+9.61","+6.86","+3.46","+1.86","","","+5.19"
"213","00989A","主動摩根美國科技","18.35","+0.13","+0.71","06/02","+35.1","+35.7","+37.6","+24.4","+17.4","+24.8","+35.8","+25.6","","","","+24.8"
"214","3218","大學光","138","-2","-1.43","06/02","-8.08","+21.2","+31.2","+24.3","+18.6","+1.86","-0.04","-2.14","-8.02","-11.6","+0.02","-1.75"
"215","6592","和潤企業","62.3","+0.9","+1.47","06/02","+23.4","+33.7","+30.1","+24.2","+21.8","+6.63","+3.66","+0.12","+0.48","-1.77","","+0.95"
"216","00683L","期元大美元指正2","21.21","+0.05","+0.24","06/02","-5.88","-16.4","-7.46","+24.2","+52","+21.7","+15.5","+8.17","+0.46","+17.6","","+11.1"
"217","020029","元大ESG高股息N","18.26","-0.13","-0.71","06/02","+3.45","+36.1","+41.6","+24.2","+43.6","+57.4","+73","+71","+70.7","+42.2","","+71.7"
"218","1612","宏泰","37.6","-0.05","-0.13","06/02","+16.2","+26.8","+28.1","+24","+19.6","+17.6","+6.85","+1.86","+4.38","+0.9","+0.61","+4.49"
"219","1456","怡華","12.6","+0.1","+0.8","06/02","+20.8","+35.9","+32.2","+24","+16.6","+3.01","+1.15","+1.61","+0.28","+0.26","-0.36","+2.1"
"220","00893","國泰智能電動車","47.06","-0.57","-1.2","06/02","+17.2","+11.8","+23.3","+23.9","+26.7","+23.4","+31.3","+28.6","+29.5","+30.4","","+30.7"
"221","8442","威宏-KY","40.4","+0.85","+2.15","06/02","-9.33","+7.08","+21.5","+23.8","+22","+2.32","+0.45","-0.89","-0.39","-0.01","","-0.23"
"222","6794","向榮生技","82.8","+0.1","+0.12","06/02","+2.08","+13.6","+15","+23.8","+7.98","-1.01","-1.89","+0.26","-0.3","","","-0.25"
"223","00783","富邦中証500","29.51","+0.18","+0.61","06/02","-6.09","+41.8","+19.7","+23.8","+24.9","+15.9","+11.5","+7.84","+6.11","+0.79","","+6.94"
"224","2012","春雨","14.5","0","0","06/02","+24.8","+27.9","+27.9","+23.8","+7.81","+4.47","+0.28","+2.36","+0.03","+0.44","-0.47","+3.52"
"225","4532","瑞智","24.1","-0.2","-0.82","06/02","-3.98","+28.1","+27.6","+23.8","+20.2","+12.8","-3.88","+0.51","-13.6","+1.18","+0.48","+0.24"
"226","00851","台新全球AI","73.35","+1.15","+1.59","06/02","-34.7","+25.6","+22.6","+23.7","+3.32","+19.8","+20.6","+17.7","+4.02","-4.19","","+17.2"
