"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"153","00935","野村臺灣新科技50","57.5","-2.4","-4.01","26W18","04/30","10.5","+2,398","+2.34","10.1","+990","+0.99","10.1","+990","+0.99"
"154","1608","華榮","33.7","-2.4","-6.65","26W18","04/30","39.7","-1,304","-0.33","39","-54.3","-0.01","38.3","-92.1","-0.02"
"155","9958","世紀鋼","115","-6","-4.96","26W18","04/30","12.8","-750","-0.58","11.8","-1,531","-1.28","11.5","+246","+0.21"
"156","3376","新日興","236.5","-0.5","-0.21","26W18","04/30","9.05","-3,986","-4.22","8.5","-2,599","-2.97","8.04","-1,652","-2.01"
"157","00957B","兆豐US優選投等債","13.48","-0.05","-0.37","26W18","04/30","11.2","-1,570","-1.38","10.9","-911","-0.83","10.2","+4.48","0"
"158","4924","欣厚-KY","12","-0.75","-5.88","26W18","04/30","2.42","-90","-0.37","2.23","-90","-0.4","2.04","-90","-0.44"
"159","6416","瑞祺電通","82.4","-5","-5.72","26W18","04/30","2.99","+23","+0.08","2.77","-794","-2.78","2.49","0","0"
"160","8921","沈氏","18.4","+0.45","+2.51","26W18","04/30","3.56","-6","-0.02","3.17","-6","-0.02","2.9","0","0"
"161","9951","皇田","52.5","-0.4","-0.76","26W18","04/30","3.08","0","0","2.73","0","0","2.73","0","0"
"162","2474","可成","220","-10.5","-4.56","26W18","04/30","42.6","-1,291","-0.3","41.6","+2,874","+0.7","40.5","-419","-0.1"
"163","3675","德微","346","-38","-9.9","26W18","04/30","3.07","+666","+2.22","2.94","0","0","2.94","0","0"
"164","3704","合勤控","46.7","-1","-2.1","26W18","04/30","22.2","-3,372","-1.5","21.5","-2,551","-1.17","21.1","-859","-0.41"
"165","1714","和桐","12.65","+1.15","+10","26W18","04/30","59","-1,569","-0.27","57","-949","-0.17","55.2","-1,964","-0.35"
"166","8034","榮群","23.35","-1","-4.11","26W18","04/30","0.85","-748","-8.11","0.77","-112","-1.43","0.49","-1,087","-18"
"167","1786","科妍","60.6","+5.5","+9.98","26W18","04/30","3.45","-524","-1.49","3.33","+92.1","+0.28","3.23","+12.1","+0.04"
"168","00681R","元大美債20反1","21.2","+0.13","+0.62","26W18","04/30","0.7","+4","+0.06","0.7","+4","+0.06","0.7","+4","+0.06"
"169","3058","立德","9.47","-0.44","-4.44","26W18","04/30","3.9","+6.33","+0.02","3.57","-38","-0.11","3.29","0","0"
"170","3027","盛達","20.9","-1.8","-7.93","26W18","04/30","5.13","-658","-1.27","4.64","+3","+0.01","4.45","0","0"
"171","3535","晶彩科","123","-7.5","-5.75","26W18","04/30","1.98","-66.9","-0.34","1.85","-53.8","-0.29","1.75","-50","-0.28"
"172","3543","州巧","33.9","-1.05","-3","26W18","04/30","4.92","-2,710","-5.23","4.44","-2,026","-4.37","3.92","-301","-0.76"
"173","3060","銘異","28.9","-1.9","-6.17","26W18","04/30","1.73","-3,135","-15.4","1.51","-2,004","-11.7","1.41","-2,965","-17.4"
"174","3625","西勝","15.1","-0.6","-3.82","26W18","04/30","4.69","+50","+0.11","4.27","+20","+0.05","4.02","+20","+0.05"
"175","2103","台橡","21.15","-0.55","-2.53","26W18","04/30","41.6","+2,350","+0.57","40.4","+1,210","+0.3","39.5","+372","+0.09"
"176","1718","中纖","10","+0.15","+1.52","26W18","04/30","89.1","-490","-0.05","86.3","-447","-0.05","83.8","+375","+0.04"
"177","00981B","第一金優選非投債","9.14","-0.01","-0.11","26W18","04/30","57","+1,097","+0.19","51.6","+1,805","+0.35","46.2","-1,136","-0.25"
"178","2337","旺宏","143.5","-6.5","-4.33","26W18","04/30","107","+116,420","+12.2","104","+112,388","+12.1","103","+108,654","+11.8"
"179","00912","中信臺灣智慧50","32.05","-0.78","-2.38","26W18","04/30","1.19","+546","+4.83","1.12","+546","+5.12","1.12","+1,429","+14.6"
"180","1611","中電","13.5","-0.6","-4.26","26W18","04/30","16.2","+576","+0.36","15.6","+432","+0.28","14.8","+432","+0.29"
"181","2731","雄獅","172","-1.5","-0.86","26W18","04/30","4","-548","-1.35","3.43","-1,212","-3.42","3.16","-1,131","-3.45"
"182","2912","統一超","222","-10","-4.31","26W18","04/30","85.8","-2,676","-0.31","83.5","-1,501","-0.18","82.7","+218","+0.03"
"183","00989A","主動摩根美國科技","17.22","-0.91","-5.02","26W18","04/30","1.56","-3,363","-17.8","1.49","-3,363","-18.5","1.39","-3,415","-19.7"
"184","006203","元大MSCI台灣","183.35","-5.15","-2.73","26W18","04/30","0.72","+22","+0.31","0.72","+22","+0.31","0.62","+22","+0.36"
"185","8436","大江","118.5","-4","-3.27","26W18","04/30","3.93","-1,370","-3.37","3.51","+2","+0.01","3.41","+2","+0.01"
"186","3363","上詮","829","-79","-8.7","26W18","04/30","4.76","-1,641","-3.33","4.25","-1,735","-3.92","4.16","+970","+2.38"
"187","1605","華新","35.8","-3.75","-9.48","26W18","04/30","304","-3,985","-0.13","302","-2,586","-0.09","299","-4,419","-0.15"
"188","8096","擎亞","119.5","-9","-7","26W18","04/30","6.95","+760","+1.1","6.53","-119","-0.18","6.35","+1,785","+2.89"
"189","2031","新光鋼","41.45","-1.9","-4.38","26W18","04/30","16.8","-579","-0.34","16.3","+1,336","+0.83","15.6","-401","-0.26"
"190","2603","長榮","224","-8","-3.45","26W18","04/30","144","+7,263","+0.51","140","+8,183","+0.59","136","+9,869","+0.73"
"191","009812","野村日本東證","11.89","-0.29","-2.38","26W18","04/30","3.56","+1,781","+5.26","3.35","+1,731","+5.45","3.17","+2,541","+8.7"
"192","3508","位速","18.7","-0.85","-4.35","26W18","04/30","3.92","+94","+0.24","3.71","+94","+0.25","3.43","+94","+0.27"
"193","6214","精誠","140.5","-4","-2.77","26W18","04/30","14.3","-797","-0.55","13.2","-1,963","-1.46","12.3","-52","-0.04"
"194","3713","新晶投控","16.1","-0.35","-2.13","26W18","04/30","4.07","+20","+0.05","3.99","+20","+0.05","3.73","0","0"
"195","6182","合晶","80","-5.5","-6.43","26W18","04/30","12.1","-8,940","-6.9","11.4","-10,926","-8.75","11","-7,829","-6.67"
"196","1316","上曜","10.45","-0.15","-1.42","26W18","04/30","13.2","-3,206","-2.37","11.8","-3,441","-2.83","10.7","-4,517","-4.04"
"197","00984A","主動安聯台灣高息","15.64","-0.69","-4.23","26W18","04/30","10.4","+5,276","+5.35","9.71","+5,383","+5.87","9.22","+2,387","+2.66"
"198","00635U","期元大S&P黃金","45.03","-1.4","-3.02","26W18","04/30","7.71","-13,617","-15","7.42","-13,011","-14.9","7.15","-12,870","-15.3"
"199","1809","中釉","53.7","-5.9","-9.9","26W18","04/30","8.19","+15","+0.02","7.89","+1","0","7.8","+1","0"
"200","00926","凱基全球菁英55","24.76","-0.21","-0.84","26W18","04/30","3.33","+1,020","+3.16","3.21","+376","+1.19","3.21","+376","+1.19"
"201","6598","ABC-KY","24.5","0","0","26W18","04/30","4.78","-18","-0.04","4.49","-18","-0.04","4.12","-18","-0.04"
"202","6432","今展科","65.2","-2.1","-3.12","26W18","04/30","1.04","0","0","0.9","0","0","0.54","0","0"
"203","6509","聚和","49.85","-1.35","-2.64","26W18","04/30","5.34","-459","-0.85","4.78","-610","-1.26","4.22","+197","+0.47"
"204","6609","瀧澤科","44.1","-1.8","-3.92","26W18","04/30","3.95","-612","-1.53","3.95","+18","+0.05","3.86","+1","0"
"205","8081","致新","260.5","-20","-7.13","26W18","04/30","3.02","-617","-2","2.69","+110","+0.41","2.08","+71","+0.34"
"206","3466","德晉","32.4","-0.65","-1.97","26W18","04/30","3.4","+156","+0.46","2.88","+45.9","+0.16","2.61","+53.9","+0.21"
"207","00945B","凱基美國非投等債","14.43","+0.02","+0.14","26W18","04/30","30","-1,406","-0.47","28.4","+72.2","+0.03","27","-868","-0.32"
"208","00684R","期元大美元指反1","15.05","-0.12","-0.79","26W18","04/30","0.74","+4.05","+0.05","0.67","+4.05","+0.06","0.48","+4.05","+0.08"
"209","5289","宜鼎","1810","+55","+3.13","26W18","04/30","3.48","+1,715","+5.18","3.12","+1,834","+6.25","2.5","-15.9","-0.06"
"210","3653","健策","3820","+200","+5.52","26W18","04/30","9.39","-278","-0.3","9.04","-155","-0.17","8.58","-209","-0.24"
"211","2440","太空梭","17.5","-0.95","-5.15","26W18","04/30","9.57","+768","+0.81","9.36","+60","+0.06","9.36","+60","+0.06"
