排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (萬張),超過 600張 增減 (張),超過 600張 增減 (%),持股 超過 800張 (萬張),超過 800張 增減 (張),超過 800張 增減 (%),持股 超過 1千張 (萬張),超過 1千張 增減 (張),超過 1千張 增減 (%)
227,6109,亞元,11.3,-0.2,-1.74,26W23,06/05,4.13,87.0,0.21,3.84,817.0,2.17,3.36,-17.0,-0.05
228,8084,巨虹,47.7,-1.95,-3.93,26W23,06/05,4.16,825.0,2.02,3.89,825.0,2.17,3.71,-4.0,-0.01
229,6156,松上,18.65,-0.7,-3.62,26W23,06/05,4.22,130.0,0.31,4.07,861.0,2.16,3.99,-0.21,0.0
230,8443,阿瘦,11.35,-0.05,-0.44,26W23,06/05,4.4,119.0,0.27,4.27,902.0,2.16,3.91,0.0,0.0
231,6841,長佳智能,63.0,2.3,3.79,26W23,06/05,4.4,662.0,1.53,3.84,809.0,2.15,3.67,0.0,0.0
232,6861,睿生光電,341.5,-10.0,-2.84,26W23,06/05,2.24,-208.0,-0.92,2.17,450.0,2.12,2.17,450.0,2.12
233,2481,強茂,148.5,-16.5,-10.0,26W23,06/05,24.6,3844.0,1.59,23.8,4927.0,2.12,22.8,4985.0,2.24
234,00964,中信亞太高股息,14.15,-0.4,-2.75,26W23,06/05,1.88,1082.0,6.09,1.53,311.0,2.08,1.44,1086.0,8.14
235,1338,廣華-KY,16.55,-0.9,-5.16,26W23,06/05,3.31,-42.0,-0.13,3.03,613.0,2.07,2.69,-221.0,-0.82
236,4167,松瑞藥,20.35,-0.3,-1.45,26W23,06/05,11.5,2263.0,2.01,10.8,2183.0,2.06,10.3,394.0,0.39
237,2618,長榮航,36.4,-1.3,-3.45,26W23,06/05,394.0,73852.0,1.91,387.0,78212.0,2.06,383.0,78251.0,2.09
238,6442,光聖,1970.0,-85.0,-4.14,26W23,06/05,4.22,675.0,1.63,3.59,723.0,2.06,2.96,1711.0,6.13
239,6669,緯穎,5275.0,-385.0,-6.8,26W23,06/05,11.2,1449.0,1.31,10.6,2115.0,2.04,10.1,155.0,0.15
240,3680,家登,501.0,-19.0,-3.65,26W23,06/05,5.11,377.0,0.74,4.89,971.0,2.02,4.46,-509.0,-1.13
241,00795B,中信美國公債20年,26.63,-0.11,-0.41,26W23,06/05,93.9,18367.0,2.0,92.3,18324.0,2.02,90.8,19224.0,2.16
242,5371,中光電,71.0,-2.5,-3.4,26W23,06/05,16.3,3257.0,2.04,15.9,3150.0,2.02,15.3,-455.0,-0.3
243,00981A,主動統一台股增長,29.89,-0.92,-2.99,26W23,06/05,172.0,31569.0,1.86,162.0,31675.0,2.0,154.0,28556.0,1.89
244,2387,精元,41.65,-0.8,-1.88,26W23,06/05,11.1,2120.0,1.94,10.9,2120.0,1.99,10.4,3979.0,3.98
245,6214,精誠,140.5,-4.0,-2.77,26W23,06/05,14.9,2800.0,1.92,13.8,2676.0,1.98,13.1,3697.0,2.91
246,6225,天瀚,23.65,0.05,0.21,26W23,06/05,1.6,298.0,1.9,1.53,298.0,1.98,1.53,1253.0,8.89
247,3511,矽瑪,24.35,-1.15,-4.51,26W23,06/05,4.35,-422.0,-0.96,4.35,841.0,1.97,4.09,0.0,0.0
248,4552,力達-KY,21.0,0.45,2.19,26W23,06/05,5.49,254.0,0.46,5.08,981.0,1.97,4.99,69.0,0.14
249,6199,天品,94.0,3.9,4.33,26W23,06/05,4.71,183.0,0.39,4.56,875.0,1.96,4.48,0.0,0.0
250,3008,大立光,3535.0,-145.0,-3.94,26W23,06/05,6.47,-1231.0,-1.87,5.81,1107.0,1.94,5.45,2944.0,5.71
251,1618,合機,40.85,-1.15,-2.74,26W23,06/05,10.7,-221.0,-0.21,10.4,1991.0,1.94,10.4,1125.0,1.1
252,6432,今展科,65.2,-2.1,-3.12,26W23,06/05,1.08,177.0,1.66,0.94,177.0,1.93,0.66,177.0,2.77
253,00684R,期元大美元指反1,15.05,-0.12,-0.79,26W23,06/05,0.77,106.0,1.39,0.7,131.0,1.91,0.51,131.0,2.64
254,6945,圓祥生技,104.0,-1.0,-0.95,26W23,06/05,5.72,1020.0,1.82,5.51,1020.0,1.88,5.16,1020.0,2.02
255,4763,材料*-KY,42.35,-1.2,-2.76,26W23,06/05,57.9,10308.0,1.81,56.7,10493.0,1.88,55.6,8220.0,1.5
256,00945B,凱基美國非投等債,14.43,0.02,0.14,26W23,06/05,31.3,5672.0,1.84,29.6,5471.0,1.88,27.9,7269.0,2.67
257,6209,今國光,80.0,-7.9,-8.99,26W23,06/05,7.97,-792.0,-0.98,7.13,1303.0,1.86,6.67,1200.0,1.83
258,8403,盛弘,19.5,-0.45,-2.26,26W23,06/05,4.96,58.0,0.12,4.61,842.0,1.86,4.44,0.0,0.0
259,6873,泓德能源,87.0,-6.0,-6.45,26W23,06/05,8.23,139.0,0.17,7.83,1425.0,1.85,7.65,496.0,0.65
260,6451,訊芯-KY,600.0,-66.0,-9.91,26W23,06/05,8.46,1369.0,1.64,8.18,1477.0,1.84,7.9,-353.0,-0.44
261,1611,中電,13.5,-0.6,-4.26,26W23,06/05,16.5,3501.0,2.17,16.0,2881.0,1.84,15.1,4681.0,3.19
262,8064,東捷,152.0,-14.0,-8.43,26W23,06/05,8.39,1460.0,1.77,8.05,1444.0,1.83,7.68,1455.0,1.93
263,00943,兆豐電子高息等權,20.85,-1.24,-5.61,26W23,06/05,1.49,257.0,1.75,1.42,255.0,1.83,1.33,199.0,1.52
264,3081,聯亞,2495.0,-160.0,-6.03,26W23,06/05,3.76,703.0,1.91,3.34,598.0,1.82,2.91,665.0,2.34
265,00924,復華S&P500成長,31.89,-0.71,-2.18,26W23,06/05,10.3,983.0,0.96,10.0,1777.0,1.81,9.55,152.0,0.16
266,1314,中石化,7.94,-0.15,-1.85,26W23,06/05,135.0,19330.0,1.46,125.0,22225.0,1.81,118.0,14558.0,1.25
267,6224,聚鼎,76.7,-7.5,-8.91,26W23,06/05,2.98,379.0,1.29,2.63,459.0,1.77,2.1,-2051.0,-8.9
268,3592,瑞鼎,255.0,-16.5,-6.08,26W23,06/05,2.47,391.0,1.61,2.24,391.0,1.77,2.06,391.0,1.94
269,6719,力智,219.5,-19.0,-7.97,26W23,06/05,5.14,44.2,0.09,4.85,842.0,1.77,4.67,0.0,0.0
270,2492,華新科,400.0,-16.0,-3.85,26W23,06/05,34.8,4626.0,1.35,34.4,5975.0,1.77,33.8,5925.0,1.79
271,3305,昇貿,145.0,-11.0,-7.05,26W23,06/05,6.87,-1598.0,-2.27,6.66,1155.0,1.77,6.39,477.0,0.75
272,6443,元晶,36.15,-3.75,-9.4,26W23,06/05,8.78,-41.7,-0.05,8.29,1434.0,1.76,8.11,1520.0,1.91
273,4716,大立,16.8,0.0,0.0,26W23,06/05,3.18,344.0,1.09,2.49,431.0,1.76,2.3,1190.0,5.45
274,5009,榮剛,34.6,-2.65,-7.11,26W23,06/05,28.3,5509.0,1.98,27.6,4755.0,1.75,27.1,5485.0,2.06
275,4306,炎洲,14.95,0.0,0.0,26W23,06/05,35.6,7948.0,2.28,34.4,5813.0,1.72,33.6,5001.0,1.51
276,8072,陞泰,28.95,-0.45,-1.53,26W23,06/05,4.8,807.0,1.71,4.8,807.0,1.71,4.63,0.0,0.0
277,00733,富邦臺灣中小,69.75,-3.25,-4.45,26W23,06/05,1.28,185.0,1.47,1.22,204.0,1.7,1.22,204.0,1.7
278,9939,宏全,126.0,-1.5,-1.18,26W23,06/05,17.0,2055.0,1.23,15.8,2632.0,1.7,14.8,796.0,0.54
279,3339,泰谷,45.4,-3.45,-7.06,26W23,06/05,1.76,1616.0,10.1,1.27,210.0,1.68,1.17,161.0,1.39
280,2476,鉅祥,118.0,-2.0,-1.67,26W23,06/05,13.0,1090.0,0.85,12.7,2090.0,1.67,12.1,-2211.0,-1.8
281,3131,弘塑,3030.0,-120.0,-3.81,26W23,06/05,1.35,110.0,0.82,1.29,210.0,1.66,1.2,1139.0,10.5
282,8477,創業家,18.5,-0.9,-4.64,26W23,06/05,5.01,4.0,0.01,4.95,804.0,1.65,4.87,0.0,0.0
283,00937B,群益ESG投等債20+,14.85,-0.06,-0.4,26W23,06/05,975.0,136919.0,1.42,932.0,150747.0,1.64,900.0,154190.0,1.74
284,6469,大樹,74.0,-1.7,-2.25,26W23,06/05,6.75,374.0,0.56,6.49,1046.0,1.64,6.31,107.0,0.17
285,3049,精金,15.15,-0.75,-4.72,26W23,06/05,37.4,6164.0,1.67,36.5,5830.0,1.63,35.9,7779.0,2.22
286,2390,云辰,11.85,-0.25,-2.07,26W23,06/05,6.76,255.0,0.38,6.64,1048.0,1.6,6.37,-669.0,-1.04
287,4560,強信-KY,31.6,-1.2,-3.66,26W23,06/05,5.86,112.0,0.19,5.78,911.0,1.6,5.69,0.0,0.0
288,9938,百和,45.0,-0.55,-1.21,26W23,06/05,14.5,1472.0,1.02,13.8,2168.0,1.59,13.2,279.0,0.21
289,3380,明泰,34.45,-3.05,-8.13,26W23,06/05,36.4,5081.0,1.41,36.2,5629.0,1.58,35.8,3019.0,0.85
290,3176,基亞,30.95,-1.1,-3.43,26W23,06/05,4.4,-89.0,-0.2,4.27,661.0,1.57,3.99,-1109.0,-2.7
291,00674R,期元大S&P黃金反1,28.67,0.86,3.09,26W23,06/05,0.68,105.0,1.56,0.68,105.0,1.56,0.68,105.0,1.56
292,2014,中鴻,17.65,-1.1,-5.87,26W23,06/05,69.2,8355.0,1.22,68.0,10393.0,1.55,67.1,9611.0,1.45
293,1734,杏輝,31.35,-0.1,-0.32,26W23,06/05,8.38,1270.0,1.54,7.89,1189.0,1.53,7.53,1199.0,1.62
294,2032,新鋼,17.9,-0.4,-2.19,26W23,06/05,7.0,348.0,0.5,6.63,998.0,1.53,6.36,-20.3,-0.03
295,4707,磐亞,19.25,-0.75,-3.75,26W23,06/05,27.4,3573.0,1.32,26.7,3996.0,1.52,25.8,2224.0,0.87
296,3078,僑威,55.7,-1.8,-3.13,26W23,06/05,8.2,2767.0,3.49,7.27,1086.0,1.52,6.63,319.0,0.48
297,3051,力特,27.6,-0.9,-3.16,26W23,06/05,4.82,-958.0,-1.95,4.47,663.0,1.5,4.2,-1067.0,-2.48
298,009806,台新標普500,13.0,-0.23,-1.74,26W23,06/05,0.86,118.0,1.39,0.8,118.0,1.5,0.8,118.0,1.5
299,8131,福懋科,63.8,-5.1,-7.4,26W23,06/05,32.0,3318.0,1.05,31.7,4664.0,1.49,31.6,4676.0,1.5
300,00787B,元大10年IG醫療債,32.58,-0.17,-0.52,26W23,06/05,0.37,54.0,1.47,0.37,54.0,1.47,0.2,0.0,0.0
