"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"134","2105","正新","32.85","+0.45","+1.39","07/13","+0.14","+0.2","+0.25","+0.64","+1.62","+1.4","-4.63","-2.83","-4.85","-7.97","-7.5","-2.61"
"135","8183","精星","34.9","+1.65","+4.96","07/13","+0.48","+0.52","+0.63","+0.64","+0.47","+0.68","-0.43","-0.27","-0.38","-0.18","-0.19","-0.13"
"136","6716","應廣","98","-4.5","-4.39","07/13","-0.26","+0.33","+0.31","+0.63","+0.66","+0.75","+1.52","+2.71","+2.17","+2.65","","+2.72"
"137","8021","尖點","508","-13","-2.5","07/13","+0.03","+0.08","+0.5","+0.63","+0.33","+0.84","+3.52","+6.74","+2.04","+6.88","+6.84","+6.85"
"138","2889","國票金","15.85","+0.05","+0.32","07/13","+0.01","+0.13","+0.36","+0.62","+0.55","+0.72","+0.6","-0.04","-1.6","-0.47","-5.55","+0.15"
"139","3416","融程電","185","+3.5","+1.93","07/13","+0.21","+0.14","+0.37","+0.62","+1.68","+1.56","+1.3","+1.13","+1.05","-2.92","+1.9","+1.02"
"140","2324","仁寶","36.65","+0.05","+0.14","07/13","-0.05","+0.18","+0.28","+0.62","+1.28","-0.55","+1.52","-0.07","-6.95","-14.2","-21.3","-0.28"
"141","4746","台耀","53.8","-1","-1.82","07/13","-0.02","-0.03","-0.04","+0.62","+1.89","+1.77","-2.06","-2.57","-1.53","-1.99","-5.9","-2.7"
"142","1909","榮成","10.25","-0.05","-0.49","07/13","-0.02","-0.24","-0.01","+0.61","+1.13","+1.35","+0.08","-0.33","-0.74","-2.82","-6.49","-0.54"
"143","8105","凌巨","18.9","-1.35","-6.67","07/13","-0.19","+0.07","+0.35","+0.6","+1.1","-0.12","+0.61","+1.98","+0.63","+2.72","+1.53","+0.63"
"144","6538","倉和","149.5","+13.5","+9.93","07/13","+0.39","+0.81","+0.66","+0.6","-0.18","-0.57","+2.89","+2.65","+3.97","-6.81","","+2.97"
"145","1595","川寶","67","-4","-5.63","07/13","+0.35","+0.6","+0.7","+0.6","+0.74","+0.27","-1.24","+0.7","-0.84","-0.51","0","+1.16"
"146","00857B","永豐20年美公債","23.12","-0.06","-0.26","07/13","+0.21","+0.19","+0.32","+0.59","+1.44","+3.91","+12.9","+26.4","+40.4","+70.7","","+29.9"
"147","009811","統一美國50","13.08","+0.03","+0.23","07/13","+0.27","+0.64","+0.61","+0.59","+1.07","+1.98","+7.96","+19.4","","","","+20"
"148","2103","台橡","23.3","+0.25","+1.08","07/13","+0.04","-0.09","-0.22","+0.59","+1.24","+1.76","+3.96","+3.47","-0.18","-2.08","-6.01","+3.6"
"149","3088","艾訊","139.5","-4.5","-3.12","07/13","-0.1","-0.25","+0.54","+0.58","+1.42","+3.38","+9.42","+10.2","+4.58","+3.9","+0.19","+9.94"
"150","2302","麗正","43.55","-2.8","-6.04","07/13","+0.85","+0.55","+0.74","+0.58","+0.02","-0.9","-0.45","+0.49","-1.07","+0.37","-5.4","+0.8"
"151","7828","創新服務","1975","-140","-6.62","07/13","+0.16","+0.23","+0.4","+0.58","+1.11","+1.6","","","","","",""
"152","00736","國泰新興市場","31.61","+0.18","+0.57","07/13","-0.02","+0.42","+0.45","+0.58","+4.98","+8.37","+8.37","+8.37","+8.39","-4.59","","+8.37"
"153","8039","台虹","169","+15","+9.74","07/13","-0.12","+1.43","+1.23","+0.57","+1.59","+1","-1.05","+1.41","-1.73","+0.61","+0.43","-1.66"
"154","5009","榮剛","34.95","+1.85","+5.59","07/13","+0.4","+0.35","+0.25","+0.57","+1.45","+0.3","+1.73","+1.12","-0.42","-7.61","-2.95","+1.46"
"155","8028","昇陽半導體","303","-9.5","-3.04","07/13","-0.77","-0.49","-0.52","+0.57","+2.9","-0.75","+6.32","+2.18","+4.05","+7.12","","+5.48"
"156","6265","方土昶","54.1","+1.4","+2.66","07/13","+0.27","+0.36","+0.4","+0.57","+0.53","-2.89","+0.11","-3.06","-1.4","-1","+0.79","-2.72"
"157","6811","宏碁資訊","220","-6","-2.65","07/13","-0.1","-0.02","+0.22","+0.56","+1.04","+0.45","+1.74","+0.75","+0.03","+0.33","","+0.59"
"158","009817","國泰日本不動產","9.05","+0.02","+0.22","07/13","0","+0.35","+0.44","+0.55","+1.54","+3.24","+14.2","","","","",""
"159","3413","京鼎","334","-0.5","-0.15","07/13","+0.07","-0.15","-0.58","+0.54","+6.24","+7.91","+11.5","+12.5","+0.43","+7.08","+19.9","+11"
"160","00896","中信綠能及電動車","27.3","-0.02","-0.07","07/13","+0.02","0","+0.05","+0.54","+1.65","+2.48","+1.48","+3.55","+7.42","+7.54","","+6.49"
"161","6204","艾華","93.5","-5","-5.08","07/13","+0.58","+0.61","+0.6","+0.54","+0.14","-1.05","-0.87","-1.3","-0.65","-0.72","-0.31","-0.16"
"162","6188","廣明","77.7","-0.8","-1.02","07/13","+0.04","+0.02","+0.08","+0.54","+2.52","+2.15","+4.17","+3.53","-1.34","-1.73","+1.37","+1.81"
"163","00763U","期街口道瓊銅","33","+0.41","+1.26","07/13","+0.31","+0.32","+0.42","+0.54","-0.59","-1.07","+6.91","+19.4","+20.6","+34.7","","+20"
"164","4590","富田-創","93.4","+3","+3.32","07/13","+0.41","+0.32","+0.22","+0.54","+1.4","+1.41","+2.81","","","","",""
"165","8071","能率網通","28.85","-1.45","-4.79","07/13","+0.32","-0.14","-3.09","+0.54","-0.4","-0.83","-0.05","+0.52","+0.1","-0.66","-0.17","+0.8"
"166","009824","群益美國科技巨頭","10.1","+0.05","+0.5","07/13","+0.51","+0.53","+0.53","+0.53","+0.54","","","","","","",""
"167","00753L","中信中國50正2","8.98","-0.01","-0.11","07/13","-0.01","-0.18","+0.59","+0.53","+1.24","+1.49","-0.95","-1.55","+11.2","+24.3","","-0.66"
"168","2368","金像電","1045","-30","-2.79","07/13","+0.23","+0.6","+0.63","+0.53","+0.73","+1.27","+1.89","+4.91","+3.05","+6.3","+21","+4.2"
"169","4167","松瑞藥","20.65","-0.3","-1.43","07/13","+0.01","+0.01","+0.05","+0.52","+1.18","+0.9","+0.92","+1.89","+0.2","+1.28","+3.72","+1.74"
"170","3035","智原","213","-3","-1.39","07/13","+0.04","+0.07","+1.19","+0.52","+1.35","+5.8","+8.21","+7.45","-1.03","-15.1","+3.49","+7.64"
"171","4728","雙美","381","+4","+1.06","07/13","+0.51","+0.51","+0.51","+0.51","+0.52","+0.51","+1.15","+2","+2.2","+5.55","+19.3","+1.99"
"172","3047","訊舟","16.15","-0.5","-3","07/13","-0.02","-0.04","-0.09","+0.51","+1.05","+0.31","+1.38","+2.72","-1.41","-1.51","-5.18","+2.98"
"173","2101","南港","34.55","+0.55","+1.62","07/13","+0.09","+0.16","+0.13","+0.51","+0.78","+0.92","+1.79","+1.75","+0.94","+0.3","+1.89","+1.56"
"174","4114","健喬","33.3","-0.05","-0.15","07/13","+0.03","+0.09","+0.08","+0.51","+0.81","+0.94","+0.03","-1.11","-1.5","+1.48","+2.14","-1.18"
