單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"12,538,480,913","12,711,247,070","-172,766,157"
自營商(避險),"42,557,383,558","36,446,141,084","6,111,242,474"
投信,"74,247,565,455","59,626,128,762","14,621,436,693"
外資及陸資(不含外資自營商),"469,659,225,904","437,283,626,098","32,375,599,806"
外資自營商,0,0,0
合計,"599,002,655,830","546,067,143,014","52,935,512,816"
