排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1,2923,鼎固-KY,市,36.25,0.45,1.26,610,07/20,300,0,16,316,1731.0,99.5,＋・＋
2,8482,商億-KY,市,48.75,0.95,1.99,17,07/20,10,0,2,12,98.6,91.7,＋・＋
3,8455,大拓-KY,櫃,24.8,0.45,1.85,5,07/20,0,0,0,0,22.2,87.9,・・・
4,6230,尼得科超眾,市,110.0,-3.0,-2.65,72,07/20,-1,0,3,3,75.1,87.0,－・＋
5,6890,來億-KY,市,171.0,-2.0,-1.16,309,07/20,44,0,13,57,215.0,86.1,＋・＋
6,4560,強信-KY,市,32.0,0.2,0.63,145,07/20,-10,0,1,-9,57.6,84.6,－・＋
7,2762,世界健身-KY,市,85.5,1.6,1.91,111,07/20,49,0,3,52,92.8,82.5,＋・＋
8,1590,亞德客-KY,市,1335.0,70.0,5.53,1342,07/20,-375,156,27,-193,162.0,80.9,－＋＋
9,6415,矽力*-KY,市,427.5,-7.5,-1.72,6790,07/20,-494,212,-52,-334,312.0,80.1,－＋－
10,1341,富林-KY,市,58.6,0.0,0.0,3,07/20,1,0,1,2,42.2,79.9,＋・＋
11,006203,元大MSCI台灣,市,181.0,0.25,0.14,65,07/20,-17,0,2,-15,8.04,78.6,－・＋
12,6965,中傑-KY,市,79.2,0.2,0.25,88,07/20,13,0,2,15,121.0,77.3,＋・＋
13,3711,日月光投控,市,597.0,-17.0,-2.77,30646,07/20,-4001,2114,1054,-833,3452.0,77.2,－＋＋
14,5276,達輝-KY,櫃,19.2,0.6,3.23,9,07/20,0,0,0,0,30.4,77.0,・・・
15,6629,泰金-KY,櫃,105.0,0.0,0.0,24,07/20,-11,0,0,-11,29.4,76.7,－・・
16,6924,榮惠-KY創,市,104.5,-8.5,-7.52,60,07/20,8,0,10,18,15.6,75.8,＋・＋
17,6666,羅麗芬-KY,市,44.7,-0.2,-0.45,62,07/20,-1,0,1,0,35.7,75.3,－・＋
18,2239,英利-KY,市,19.95,0.1,0.5,74,07/20,10,0,9,19,88.6,75.2,＋・＋
