證券代號,證券名稱,交易別,成交價,成交股數,成交金額
1102,亞泥,配對交易,32.63,"600,000","19,578,000"
1312A,國喬特,配對交易,19.40,"678,000","13,153,200"
1423,利華,配對交易,32.80,"673,000","22,074,400"
1560,中砂,配對交易,716.50,"29,000","20,778,500"
2308,台達電,配對交易,"1,913.00","10,000","19,130,000"
2308,台達電,配對交易,"1,911.61","166,000","317,327,260"
2327,國巨*,配對交易,713.00,"6,850,000","4,884,050,000"
2330,台積電,配對交易,"2,440.00","398,000","971,120,000"
2330,台積電,配對交易,"2,431.83","11,796","28,685,867"
2330,台積電,配對交易,"2,431.81","8,204","19,950,569"
2330,台積電,配對交易,"2,417.89","16,000","38,686,240"
2330,台積電,配對交易,"2,407.31","142,000","341,838,020"
2344,華邦電,配對交易,171.00,"736,000","125,856,000"
2345,智邦,配對交易,"2,282.40","63,500","144,932,400"
2345,智邦,配對交易,"2,282.39","63,500","144,931,765"
2345,智邦,配對交易,"2,275.00","15,000","34,125,000"
2345,智邦,配對交易,"2,223.88","9,000","20,014,920"
2360,致茂,配對交易,"2,124.26","15,000","31,863,900"
2379,瑞昱,配對交易,746.50,"26,000","19,409,000"
2379,瑞昱,配對交易,742.46,"43,680","32,430,653"
2379,瑞昱,配對交易,742.44,"52,320","38,844,461"
2383,台光電,配對交易,"5,172.50","8,000","41,380,000"
2883,凱基金,配對交易,30.59,"533,570","16,321,906"
2883,凱基金,配對交易,30.54,"657,430","20,077,912"
2891,中信金,配對交易,65.72,"350,000","23,002,000"
3017,奇鋐,配對交易,"2,484.55","10,000","24,845,500"
3017,奇鋐,配對交易,"2,278.41","100,000","227,841,000"
3017,奇鋐,配對交易,"2,265.00","8,000","18,120,000"
3023,信邦,配對交易,316.16,"97,560","30,844,570"
3023,信邦,配對交易,316.15,"173,440","54,833,056"
3034,聯詠,配對交易,501.00,"31,000","15,531,000"
3037,欣興,配對交易,907.00,"2,325,000","2,108,775,000"
3443,創意,配對交易,"4,338.98","4,000","17,355,920"
3653,健策,配對交易,"3,595.44","7,000","25,168,080"
總計,,,,"14,911,000","9,912,876,099"
