排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
291,1419,新紡,65.9,3.3,5.27,05/25,28.9,36.8,35.2,43.8,37.5,37.9,41.1,32.7,23.3,21.2,14.0,34.8
292,2832,台產,52.9,-0.3,-0.56,05/25,28.9,33.0,35.2,28.1,26.4,27.3,37.0,38.8,33.4,26.1,20.3,39.4
293,1436,華友聯,44.6,-0.85,-1.87,05/25,40.8,45.7,35.2,33.7,33.6,32.2,32.4,30.8,31.2,29.0,22.1,31.7
294,3086,華義*,35.8,-1.1,-2.98,05/25,39.0,37.2,35.1,36.7,38.7,33.6,27.0,28.0,27.0,21.1,13.5,27.3
295,1616,億泰,22.05,0.0,0.0,05/25,33.1,32.0,35.1,36.7,31.2,30.9,35.4,34.2,27.0,22.4,17.7,33.7
296,2481,強茂,134.0,0.5,0.37,05/25,30.4,31.5,35.0,33.8,30.6,31.2,32.1,30.1,28.0,27.4,18.8,30.6
297,5519,隆大,32.3,-0.35,-1.07,05/25,22.1,39.5,35.0,36.6,39.6,34.1,32.0,30.3,30.0,29.6,18.0,32.1
298,3303,岱稜,49.8,0.45,0.91,05/25,42.5,39.9,34.9,34.3,27.1,24.1,22.7,23.9,24.6,20.0,14.4,23.6
299,8109,博大,124.0,-1.0,-0.8,05/25,35.0,25.8,34.9,29.9,31.4,30.7,20.9,12.8,5.75,2.38,1.22,18.4
300,9935,慶豐富,18.7,0.1,0.54,05/25,39.7,37.6,34.9,28.5,29.7,27.4,17.1,9.34,4.21,0.61,0.16,14.0
