"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3450","聯鈞","422","-19","-4.31","05/14","+0.03","+0.71","+4.63","+9.13","+7.73","+4.01","+21.8","+18.6","+7.28","+17.6","-13.9","+19.1"
"2","2481","強茂","115.5","-5.5","-4.55","05/14","+0.79","+1.5","+5.03","+7.07","+9.28","+6.64","+11.5","+15.7","+16.2","+18.9","+1.85","+22.5"
"3","3048","益登","51","+4.55","+9.8","05/14","+3.02","+3.29","+4.76","+6.63","+7","+9.33","+9.52","+9.6","+3.96","+7.28","+7.2","+9.76"
"4","009820","元大納斯達克精選","10.04","+0.02","+0.2","05/14","+1.75","+2.93","+4.68","+6.51","+6.68","","","","","","",""
"5","6173","信昌電","172","+13","+8.18","05/14","+0.17","+0.58","+0.98","+6.32","+7.71","+12.5","+12.8","+15.9","+13.6","+14.5","+14.6","+15.6"
"6","8147","正淩","182","+16.5","+9.97","05/14","+1.95","+1.95","+4.91","+6.13","+4.52","+2.29","+3.09","+2.36","+2.97","+2.34","+2.59","+2.17"
"7","00984B","大華優利美A債15","16.27","+0.02","+0.12","05/14","+1.53","+2.04","+2.65","+5.99","+9.98","+20","+27.5","+24.1","+29.8","","","+27.4"
"8","3006","晶豪科","238","+21.5","+9.93","05/14","+2.18","+2.43","+3.2","+5.87","+8.58","+8.1","+8.46","+16.7","+22.1","+25.8","+26.8","+7.76"
"9","4966","譜瑞-KY","819","+10","+1.24","05/14","+0.26","+1.23","+4.67","+5.54","+4.61","+3.19","-0.4","-11.1","-17","-36.3","-16","-6.5"
"10","00733","富邦臺灣中小","69.05","+0.65","+0.95","05/14","+0.12","+0.17","+0.59","+5.29","+8.91","+13","+26.3","+36.8","+48.3","+23.7","","+36.4"
"11","8042","金山電","109","+3","+2.83","05/14","+0.25","+1.48","+1.52","+4.83","+8.31","+8.59","+8.88","+9.62","+8.73","+8.62","+7.62","+10.8"
"12","6265","方土昶","46.2","+3.45","+8.07","05/14","+4.07","+3.8","+3.07","+4.51","-0.75","+2.14","+0.09","-2.91","+0.39","+1.25","+2.67","-0.83"
"13","3498","陽程","135.5","+12","+9.72","05/14","+0.4","+2.96","+4.35","+4.25","+4.35","+4.49","+10.3","+8.74","+6.51","+8.01","+10.1","+6.83"
"14","3707","漢磊","80","+7.2","+9.89","05/14","+4.11","+2.98","+4.33","+4.1","+4.69","+7.04","+8.49","+9.31","+7.58","+6.49","+5.49","+8.03"
"15","4931","新盛力","198.5","+1.5","+0.76","05/14","-2.69","-2.53","+1.23","+3.9","+2.89","+2.83","-1.39","+0.37","-2.34","+4.43","","-14"
"16","00859B","群益0-1年美債","40.96","+0.02","+0.05","05/14","+0.67","+0.92","+3.01","+3.86","+5.43","+9.09","+29","+58.9","+56.4","+69.9","","+52.8"
"17","8069","元太","226","+11","+5.12","05/14","+0.73","+2.11","+3.74","+3.75","+3.7","+3.01","+3.46","+2.56","+2.62","+3.95","+2.51","+1.68"
"18","2492","華新科","220","+20","+10","05/14","+1.73","+2.66","+2.22","+3.67","+7.21","+8.32","+10.2","+11.5","+11","+7.14","+1.55","+12.9"
"19","00689R","國泰20年美債反1","22.15","+0.06","+0.27","05/14","0","+0.01","+2.92","+3.64","+5.17","+5.05","+12.4","+16.9","+23.2","+25.6","","+17.5"
"20","8390","金益鼎","111","-3","-2.63","05/14","+0.31","+0.41","+1.73","+3.53","+4.17","+4.05","+4.59","+12.6","+3.89","+4.37","+4.27","+5.18"
"21","00738U","期元大道瓊白銀","70.35","+0.6","+0.86","05/14","+0.2","+0.93","+1.23","+3.45","+3.6","+3.85","+2.6","-2.68","-2.3","-0.07","","-1.75"
"22","3042","晶技","149.5","+3","+2.05","05/14","+1.21","+1.93","+2.3","+3.41","+2.84","+5.27","+8.28","+10.1","+11.8","+9.32","-4.98","+9.78"
"23","2455","全新","358.5","-15.5","-4.14","05/14","+0.45","+0.94","+1.93","+3.36","+5.04","+5.93","+2.37","-2.05","-2.04","-1.21","+3.56","-1.91"
"24","3624","光頡","73.2","+6.6","+9.91","05/14","-0.07","+0.71","+2.35","+3.32","+2.53","+2.73","+4.6","+5.39","+3.19","+5.56","+1.98","+4.01"
"25","2363","矽統","63","+3.1","+5.18","05/14","+1.38","+1.33","+1.32","+3.31","+3.88","+4.39","+6","+6.9","-0.84","+7.34","+7.01","+6.53"
"26","00983A","主動中信ARK創新","11.71","-0.08","-0.68","05/14","+0.13","+1.88","+3.03","+3.3","+8","+12","+12.2","+11.4","","","","+13"
"27","6206","飛捷","136.5","-2","-1.44","05/14","-0.55","-0.2","+2.13","+3.28","+3.85","+4.29","+5.75","+7.56","-7.75","+0.89","-12.3","+5.74"
"28","3305","昇貿","126","-4.5","-3.45","05/14","-0.62","-1.8","+1.99","+3.23","+2.97","+4.17","+5.76","+5.21","-0.92","+3.3","-0.97","+5.24"
"29","3033","威健","46.4","+3.45","+8.03","05/14","+1.1","+0.51","+1.73","+3.06","+5.78","+9.28","+13.4","+14","+9.01","+10.6","+13.6","+12.2"
"30","8028","昇陽半導體","261.5","+23.5","+9.87","05/14","+3.54","+3.19","+3.23","+3.01","+1.78","+7.98","+11.5","+9.29","+8.22","+8.43","","+5.35"
"31","6509","聚和","47.05","+0.4","+0.86","05/14","+1.08","+1.3","+3.11","+2.99","+3.49","+3.86","-0.97","+1.01","+1.24","+3.06","+1.79","+0.37"
"32","4739","康普","101.5","+0.5","+0.5","05/14","+0.2","+1.19","+3.54","+2.82","+2.74","-1.38","-0.04","+2.16","+6.25","+8.38","+7.15","+2.15"
"33","00966B","統一ESG投等債15+","13.88","+0.03","+0.22","05/14","+0.82","+1.12","+1.65","+2.74","+3.58","+6.27","+8.51","+7.62","+5.63","","","+7.94"
