"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"1","00715L","期街口布蘭特正2","57.1","+2","+3.63","26W22","05/29","2.75","-13,676","-33.2","2.31","-15,379","-40","2.14","-15,246","-41.6"
"2","8093","保銳","18.25","0","0","26W22","05/29","1.72","0","0","1.72","0","0","1.62","0","0"
"3","00916","國泰全球品牌50","30","0","0","26W22","05/29","1.2","+609","+5.36","1.2","+609","+5.36","0.93","+609","+7.01"
"4","00962","台新AI優息動能","14.68","-0.89","-5.72","26W22","05/29","1.26","+236","+1.91","1.26","+895","+7.65","1.06","+895","+9.23"
"5","00988A","主動統一全球創新","20.25","-1.21","-5.64","26W22","05/29","31.1","-189,905","-37.9","26.8","-198,684","-42.6","23.8","-208,405","-46.7"
"6","4967","十銓","277.5","-1.5","-0.54","26W22","05/29","1.66","-10.2","-0.06","1.51","-769","-4.86","1.26","-2,402","-16.1"
"7","00907","永豐優息存股","15.73","-0.57","-3.5","26W22","05/29","1.97","+2,275","+13","1.97","+2,275","+13","1.79","+2,279","+14.6"
"8","00991A","主動復華未來50","18.69","-0.53","-2.76","26W22","05/29","43.4","-53,915","-11","40.4","-54,495","-11.9","36.9","-52,653","-12.5"
"9","4513","福裕","15.45","+0.2","+1.31","26W22","05/29","4.83","+22","+0.05","4.83","+22","+0.05","4.74","+22","+0.05"
"10","4939","亞電","65.6","+5.9","+9.88","26W22","05/29","2.33","+4,200","+22","2.05","+2,783","+15.7","1.8","+2,930","+19.4"
"11","3234","光環","124","-1","-0.8","26W22","05/29","2.91","+938","+3.33","2.38","+956","+4.19","2.11","-819","-3.74"
"12","00685L","群益臺灣加權正2","266.85","-24.7","-8.47","26W22","05/29","0.36","-1,417","-28.5","0.29","-2,084","-41.9","0.29","-2,084","-41.9"
"13","00960","野村全球航運龍頭","17.55","-0.01","-0.06","26W22","05/29","0.66","-300","-4.34","0.66","-300","-4.34","0.58","-299","-4.92"
"14","3118","進階","33.65","-0.45","-1.32","26W22","05/29","0.95","+7","+0.07","0.58","0","0","0.39","0","0"
"15","009810","玉山全球藍籌100","20.43","-0.33","-1.59","26W22","05/29","0.38","-244","-5.98","0.38","+1,147","+42.6","0.29","+209","+7.76"
"16","3043","科風","23.85","+1.5","+6.71","26W22","05/29","0.54","0","0","0.54","0","0","0.44","0","0"
"17","00930","永豐ESG低碳高息","23.65","-1.36","-5.44","26W22","05/29","1.51","+2,795","+22.7","1.31","+2,941","+28.9","1.22","+3,747","+44.5"
"18","6207","雷科","130.5","-14","-9.69","26W22","05/29","1.54","-1,952","-11.3","1.26","-3,322","-20.8","1.09","-3,209","-22.8"
"19","6485","點序","101","-11","-9.82","26W22","05/29","1.36","+258","+1.94","1.07","-2,002","-15.8","0.88","-1,153","-11.5"
"20","00896","中信綠能及電動車","27.77","-1.19","-4.11","26W22","05/29","1.76","-4,342","-19.7","1.42","-5,751","-28.9","1.33","-4,084","-23.5"
"21","1514","亞力","125","-10","-7.41","26W22","05/29","11.6","+2,549","+2.25","10.4","+3,923","+3.91","9.97","+2,049","+2.1"
"22","00939","統一台灣高息動能","20.14","-0.75","-3.59","26W22","05/29","7.66","-9,556","-11.1","7","-9,545","-12","6.06","-9,453","-13.5"
"23","8088","品安","58.1","-4.7","-7.48","26W22","05/29","1.06","+430","+4.22","1.06","+430","+4.22","0.98","+602","+6.54"
"24","6104","創惟","99","-4","-3.88","26W22","05/29","1.44","+618","+4.47","1.24","+3,507","+39.4","0.81","+72.9","+0.91"
"25","009809","富邦淨零ESG50","16.47","-0.71","-4.13","26W22","05/29","0.95","+444","+4.91","0.87","+443","+5.33","0.7","-430","-5.8"
"26","00731","復華富時高息低波","81.95","-2.2","-2.61","26W22","05/29","0.52","+787","+18","0.31","+799","+35.1","0.31","+1,605","+109"
"27","00647L","元大S&P500正2","130.55","-5.25","-3.87","26W22","05/29","0.15","+19.5","+1.3","0.15","+19.5","+1.3","0.15","+19.5","+1.3"
"28","3324","雙鴻","1095","-15","-1.35","26W22","05/29","3.88","-645","-1.64","3.24","-1,427","-4.21","2.59","-1,478","-5.4"
"29","00642U","期元大S&P石油","29.89","+0.47","+1.6","26W22","05/29","3.65","-7,316","-16.7","3.36","-7,525","-18.3","3.36","-6,695","-16.6"
"30","3289","宜特","172","-10.5","-5.75","26W22","05/29","1.84","+1,182","+6.85","1.56","+1,121","+7.73","0.9","+1,034","+13"
"31","6126","信音","38.3","-4.2","-9.88","26W22","05/29","4.69","+1,883","+4.19","4.2","+2,268","+5.71","3.93","+2,239","+6.04"
"32","00989B","台新美國非投等債","10.01","0","0","26W22","05/29","2.31","-3,883","-14.4","2.24","-3,883","-14.8","1.95","-2,889","-12.9"
"33","3491","昇達科","1785","-150","-7.75","26W22","05/29","1.88","+490","+2.68","1.21","+399","+3.42","0.83","+305","+3.81"
"34","00877","復華中國5G","42.37","-1.91","-4.31","26W22","05/29","2.31","+4,523","+24.3","2.11","+6,163","+41.4","1.67","+6,169","+58.6"
"35","00403A","主動統一升級50","10.13","-0.28","-2.69","26W22","05/29","247","+292,266","+13.4","221","+306,699","+16.1","191","+338,888","+21.5"
"36","9103","美德醫療-DR","6.06","+0.21","+3.59","26W22","05/29","1.53","+1,297","+9.27","0.98","+626","+6.81","0.8","+1,566","+24.4"
"37","6805","富世達","1895","-55","-2.82","26W22","05/29","3.52","-786","-2.18","3.23","+718","+2.27","2.95","-2,125","-6.72"
"38","3260","威剛","403","-18.5","-4.39","26W22","05/29","9.71","-9,523","-8.93","9.5","-8,418","-8.14","8.76","-7,541","-7.92"
"39","3615","安可","54.2","-6","-9.97","26W22","05/29","1.84","-1,412","-7.14","1.77","-80","-0.45","1.68","0","0"
"40","00892","富邦台灣半導體","41.87","-1.78","-4.08","26W22","05/29","4.29","+2,339","+5.76","3.82","+3,693","+10.7","3.52","+4,659","+15.3"
"41","2406","國碩","32","-2.65","-7.65","26W22","05/29","12.1","+2,646","+2.23","11.7","+3,423","+3.02","10.9","+3,513","+3.33"
"42","3689","湧德","127.5","-14","-9.89","26W22","05/29","2.14","+4,478","+26.4","1.81","+3,191","+21.4","1.53","+4,091","+36.4"
"43","2349","錸德","13.3","-0.7","-5","26W22","05/29","17.5","+8,948","+5.4","16","+9,554","+6.33","14.4","+9,788","+7.27"
"44","4739","康普","118.5","+0.5","+0.42","26W22","05/29","4.89","+2,584","+5.58","4.28","+3,555","+9.05","4.02","+904","+2.3"
"45","5475","德宏","255.5","-25","-8.91","26W22","05/29","4.4","-2,857","-6.1","3.99","-4,811","-10.8","3.89","-3,991","-9.3"
