"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6139","亞翔","679","-35","-4.9","05/11","-3","-3,109","-23.8","-1.32","+6","+273","1.23","0.12","+2","+59","0.6","0.03","-2","-2,994","-30.6","-1.27"
"6526","達發","750","-3","-0.4","05/11","-1","-474","-13.1","-0.28","+6","+899","3.44","0.54","+1","+14","0.4","0.01","-1","-455","-12.6","-0.27"
"6789","采鈺","600","-3","-0.5","05/11","+3","+1,896","6.7","0.6","+6","+244","0.36","0.08","-2","-22","-0.11","-0.01","+3","+2,023","7.15","0.64"
"8210","勤誠","1555","+140","+9.89","05/11","+2","+1,072","10.9","0.86","+6","+3,648","13.4","2.91","+1","+39","1.05","0.03","+2","+2,999","30.5","2.39"
"2303","聯電","95","+3.7","+4.05","05/11","+1","+23,943","13.4","0.19","+5","+35,556","3.08","0.28","+1","+247","0.14","0","+1","+26,311","14.7","0.21"
"2395","研華","478.5","+2","+0.42","05/11","+24","+24,519","24.9","2.84","+5","+139","0.37","0.02","+1","+30","0.54","0","+20","+20,185","22.9","2.34"
"2618","長榮航","35.85","+0.2","+0.56","05/11","-2","-4,678","-8.06","-0.09","+5","+4,735","2.98","0.09","-2","-618","-1.06","-0.01","-2","-3,194","-5.5","-0.06"
"6138","茂達","285","+24.5","+9.4","05/11","+1","+451","19","0.6","+5","+11","0.12","0.01","+1","+47","2","0.06","+1","+501","21.1","0.66"
"2493","揚博","129.5","-2","-1.52","05/11","-6","-2,534","-10","-2","+4","+5","0.03","0","-3","-169","-1.4","-0.13","-7","-2,540","-9.58","-2"
"3533","嘉澤","2845","+145","+5.37","05/11","-1","-332","-15.9","-0.3","+4","+524","6.23","0.47","+1","+28","1.33","0.02","-1","-210","-10","-0.19"
"3661","世芯-KY","5375","+485","+9.92","05/11","+2","+504","11.2","0.62","+4","+496","4.55","0.61","+2","+105","2.32","0.13","+2","+727","16.1","0.89"
"5009","榮剛","40.15","+3.65","+10","05/11","+1","+4,781","25.7","0.79","+4","+1,420","3.07","0.24","+6","+2,103","3.64","0.35","+1","+5,629","30.2","0.93"
"5269","祥碩","1390","-20","-1.42","05/11","-1","-36","-0.97","-0.05","+4","+126","1.21","0.17","-1","-18","-0.48","-0.02","+2","+164","2.28","0.22"
"5347","世界","174.5","+7","+4.18","05/11","-3","-12,977","-8.55","-0.69","+4","+6,697","3.23","0.36","+1","+732","1.5","0.04","-3","-9,398","-6.19","-0.5"
"5880","合庫金","23","-0.05","-0.22","05/11","-2","-5,056","-16.6","-0.03","+4","+679","1","0","-1","-22","-0.15","0","-2","-4,711","-15.5","-0.03"
"6415","矽力*-KY","468","+42.5","+9.99","05/11","-2","-588","-5.19","-0.15","+4","+524","3.12","0.14","+1","+173","1.91","0.04","-1","-12","-0.14","0"
"6781","AES-KY","1320","+90","+7.32","05/11","-1","-354","-8.12","-0.41","+4","+29","0.23","0.03","+4","+202","1.6","0.24","-1","-235","-5.39","-0.28"
"2002","中鋼","18.6","-0.15","-0.8","05/11","-2","-32,855","-38.1","-0.21","+3","+96","0.07","0","-1","-207","-0.42","0","-2","-32,771","-38","-0.21"
"2382","廣達","343.5","+3","+0.88","05/11","+2","+2,802","8.78","0.07","+3","+901","1.63","0.02","-2","-357","-1.12","-0.01","+2","+3,117","9.77","0.08"
