代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
3702,大聯大,110.5,0.5,0.45,05/18,2,2967,14.7,0.18,-5,-9207,-14.2,-0.55,-2,-384,-1.9,-0.02,2,1530,7.59,0.09
3717,聯嘉投控,22.45,0.3,1.35,05/18,2,655,17.1,0.32,0,0,0.0,0.0,-1,-45,-1.66,-0.02,2,637,16.6,0.31
4111,濟生,30.3,0.15,0.5,05/18,2,20,7.99,0.03,0,0,0.0,0.0,0,0,0.0,0.0,2,20,7.99,0.03
4119,旭富,41.6,1.2,2.97,05/18,2,48,8.88,0.04,0,0,0.0,0.0,-3,-6,-0.66,0.0,2,43,7.95,0.04
4127,天良,43.0,3.9,9.97,05/18,2,151,3.68,0.33,0,0,0.0,0.0,1,2,0.15,0.0,2,153,3.73,0.33
4160,訊聯基因,41.55,-0.3,-0.72,05/18,2,20,7.18,0.08,0,0,0.0,0.0,0,0,0.0,0.0,2,20,7.18,0.08
4303,信立,47.3,0.3,0.64,05/18,2,318,16.6,0.34,0,0,0.0,0.0,-3,-12,-0.35,-0.01,2,308,16.1,0.33
4306,炎洲,13.6,0.3,2.26,05/18,2,1811,44.8,0.27,0,0,0.0,0.0,-1,-8,-0.31,0.0,2,1803,44.6,0.27
4441,振大環球,204.5,-1.5,-0.73,05/18,2,5,3.8,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,5,3.8,0.01
4502,健信,15.9,-0.2,-1.24,05/18,2,32,44.9,0.06,0,0,0.0,0.0,0,0,0.0,0.0,2,30,42.1,0.05
4513,福裕,14.5,0.1,0.69,05/18,2,344,36.2,0.3,0,0,0.0,0.0,-1,0,0.0,0.0,2,348,36.6,0.3
4530,宏易,25.3,-0.9,-3.44,05/18,2,5,14.1,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,5,14.1,0.01
4550,長佳,25.2,0.5,2.02,05/18,2,3,3.0,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,3,3.0,0.01
4561,健椿,49.85,1.75,3.64,05/18,2,35,4.12,0.06,0,0,0.0,0.0,0,0,0.0,0.0,1,16,3.31,0.03
4768,晶呈科技,424.5,-6.0,-1.39,05/18,2,323,11.6,0.68,0,0,0.0,0.0,-1,-51,-4.45,-0.11,2,279,10.0,0.59
4771,望隼,186.5,1.5,0.81,05/18,2,53,15.8,0.09,0,0,0.0,0.0,-1,-2,-1.28,0.0,-1,-1,-0.64,0.0
4919,新唐,148.5,-6.0,-3.88,05/18,2,1796,4.49,0.43,0,0,0.0,0.0,1,337,1.98,0.08,2,2089,5.22,0.5
4973,廣穎,120.5,3.5,2.99,05/18,2,779,6.29,1.19,0,0,0.0,0.0,2,44,0.36,0.07,2,824,6.65,1.26
5014,建錩,10.3,0.15,1.48,05/18,2,99,19.4,0.05,0,0,0.0,0.0,0,0,0.0,0.0,2,99,19.4,0.05
5211,蒙恬,19.5,-0.25,-1.27,05/18,2,2,1.48,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,2,1.48,0.01
5222,全訊,123.5,-2.0,-1.59,05/18,2,93,9.59,0.1,-1,-2,-0.45,0.0,-6,-89,-2.0,-0.1,2,80,8.28,0.09
