排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
39,1402,遠東新,27.8,0.25,0.91,07/16,0.02,0.06,0.07,0.26,0.46,2.34,2.11,1.18,0.04,-1.64,4.57,1.03
40,1477,聚陽,219.5,2.5,1.15,07/16,0.01,0.02,0.1,0.26,0.92,-2.1,-3.34,-3.61,-6.08,-4.39,3.79,-4.0
41,6488,環球晶,1370.0,-105.0,-7.12,07/16,0.05,0.08,0.34,0.25,0.63,0.69,3.09,4.36,8.01,7.88,8.06,6.91
42,6548,長科*,77.5,-2.9,-3.61,07/16,0.08,0.08,0.17,0.25,0.69,0.34,1.13,1.03,3.33,3.32,,2.28
43,2637,慧洋-KY,82.5,-1.4,-1.67,07/16,0.0,0.01,0.03,0.24,0.2,0.09,-2.07,-2.98,-4.67,-0.86,6.1,-3.67
44,6770,力積電,76.5,0.4,0.53,07/16,0.26,0.26,0.25,0.22,0.17,0.29,0.4,0.16,0.58,-0.29,,0.26
45,00646,元大S&P500,76.85,0.3,0.39,07/16,0.03,0.18,0.2,0.22,0.24,0.28,0.5,0.96,0.66,0.66,0.66,1.0
46,3526,凡甲,312.5,3.5,1.13,07/16,0.0,0.0,0.17,0.21,0.21,-0.56,0.47,0.01,-0.2,2.47,-2.19,0.07
47,5347,世界,187.5,1.0,0.54,07/16,0.14,0.26,0.22,0.21,-0.1,1.95,-0.65,-3.35,-8.86,8.72,9.63,-5.22
48,8114,振樺電,194.0,-1.5,-0.77,07/16,0.0,0.0,0.21,0.21,0.2,0.39,1.96,2.05,1.81,1.73,1.83,2.92
49,00935,野村臺灣新科技50,57.95,-0.5,-0.86,07/16,0.07,0.09,0.14,0.21,0.23,0.22,0.85,2.9,2.9,,,2.9
50,2887,台新新光金,36.15,0.0,0.0,07/16,0.04,0.07,0.11,0.21,0.19,0.32,0.22,1.85,7.66,11.5,11.6,1.98
51,2382,廣達,352.0,-13.5,-3.69,07/16,-0.04,0.02,0.11,0.2,0.46,0.99,8.29,8.21,6.77,5.64,9.84,8.25
52,2451,創見,247.5,-5.5,-2.17,07/16,0.05,0.04,0.09,0.19,0.39,0.6,-4.52,-4.48,-10.0,0.35,-2.19,-6.09
53,2006,東和鋼鐵,72.4,0.6,0.84,07/16,0.05,0.1,0.1,0.19,0.26,-3.93,-4.06,-5.13,-6.75,-4.83,-0.94,-5.37
54,6223,旺矽,6220.0,-110.0,-1.74,07/16,-0.02,-0.01,0.02,0.18,0.61,0.96,2.19,2.83,3.32,17.3,14.9,1.52
55,6213,聯茂,325.0,-10.0,-2.99,07/16,-0.01,0.0,0.02,0.17,1.19,2.21,1.42,2.43,1.8,2.42,2.1,2.09
56,8016,矽創,295.0,-7.0,-2.32,07/16,-0.01,-0.02,0.05,0.17,0.34,-0.27,0.69,0.09,0.52,1.45,-1.13,-1.11
