排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
198,6667,信紘科,櫃,06/02,,269.5,-9.0,-3.23,965,260.0,278.5,276.0,277.5,265.0,4.49,19.6,5.81,,,,,
199,6881,潤德,櫃,06/02,,268.5,1.5,0.56,24,6.26,267.0,259.5,268.5,259.5,3.37,12.9,4.15,,,,,
200,3006,晶豪科,市,06/02,,267.5,17.5,7.0,40170,10581.0,250.0,254.0,272.0,249.5,9.0,32.1,5.83,,,,,
201,1264,德麥,櫃,06/02,,267.0,0.0,0.0,67,18.0,267.0,268.0,269.0,265.0,1.5,12.9,2.96,,,,,
202,8454,富邦媒,市,06/02,,265.5,24.0,9.94,5770,1467.0,241.5,237.0,265.5,231.0,14.3,25.3,6.8,,,,,
203,7765,中華資安,市,06/02,,261.5,-9.5,-3.51,167,43.9,271.0,266.5,271.5,259.5,4.43,23.6,4.84,,,,,
204,6426,統新,市,06/02,,259.0,-8.0,-3.0,1361,358.0,267.0,271.0,277.0,250.5,9.93,498.0,10.69,,,,,
205,6613,朋億*,櫃,06/02,,257.5,-3.5,-1.34,217,56.1,261.0,261.0,263.5,255.5,3.07,18.1,3.92,,,,,
206,8271,宇瞻,市,06/02,,257.5,9.0,3.62,11769,3011.0,248.5,251.0,264.5,248.0,6.64,12.5,5.23,,,,,
207,3374,精材,櫃,06/02,,254.5,-6.0,-2.3,11942,3040.0,260.5,261.5,262.5,246.5,6.14,49.3,6.81,,,,,
208,8114,振樺電,市,06/02,,254.5,-5.0,-1.93,2337,584.0,259.5,260.0,262.0,239.5,8.67,16.9,2.56,,,,,
209,2486,一詮,市,06/02,,253.5,-13.0,-4.88,10774,2793.0,266.5,268.5,276.0,248.0,10.5,488.0,11.25,,,,,
210,8091,翔名,櫃,06/02,,252.0,-13.5,-5.08,662,169.0,265.5,264.0,264.0,248.0,6.03,34.7,3.64,,,,,
211,4770,上品,市,06/02,,251.5,-3.0,-1.18,649,164.0,254.5,255.0,259.0,249.0,3.93,24.9,2.49,,,,,
212,6271,同欣電,市,06/02,,249.5,2.0,0.81,3642,901.0,247.5,251.5,253.5,240.0,5.45,36.9,1.97,,,,,
