"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"901","2923","鼎固-KY","22.65","-2.35","-9.4","26W21","05/22","173","+30.6","0","173","-10","0","173","-10","0"
"902","1470","大統新創","22.6","+0.2","+0.89","26W21","05/22","6.99","+205","+0.29","6.66","+205","+0.31","6.13","+205","+0.34"
"903","5533","皇鼎","13.75","-0.25","-1.79","26W21","05/22","21.6","+6.14","0","20.9","+6.14","0","20.2","-14.9","-0.01"
"904","6171","大城地產","23.3","-0.95","-3.92","26W21","05/22","8.45","+16","+0.02","8.3","+16","+0.02","7.93","+16","+0.02"
"905","2910","統領","21.6","-0.45","-2.04","26W21","05/22","16.8","+7","0","16.5","+7","0","16.4","+7","0"
"906","00707R","期元大S&P日圓反1","32.2","0","0","26W21","05/22","0.46","-41","-0.88","0.46","-41","-0.88","0.46","-41","-0.88"
"907","5903","全家","188.5","-0.5","-0.26","26W21","05/22","20.2","+602","+0.3","20","+1","0","19.9","+1","0"
"908","4726","永昕","26.6","-0.75","-2.74","26W21","05/22","11.2","+36","+0.03","10.8","+3","0","10.3","0","0"
"909","1451","年興","16.5","-0.3","-1.79","26W21","05/22","11.8","+95","+0.08","11.6","+95","+0.08","11.1","-908","-0.81"
"910","5478","智冠","104","0","0","26W21","05/22","12.2","-12","-0.01","12","-12","-0.01","11.4","-12","-0.01"
"911","8463","潤泰材","21.8","-0.6","-2.68","26W21","05/22","12","+14","+0.01","11.8","+13","+0.01","11.4","-6","-0.01"
"912","2524","京城","34.1","-2.15","-5.93","26W21","05/22","33.7","+62","+0.02","33.7","+62","+0.02","33.6","+62","+0.02"
"913","00723B","群益投資級科技債","30.86","-0.16","-0.52","26W21","05/22","152","-491","-0.03","152","-491","-0.03","152","+476","+0.03"
"914","3522","御嵿","11.5","-0.2","-1.71","26W21","05/22","5.82","+0.41","0","5.54","+0.41","0","5.45","+11.4","+0.02"
