排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
268,3015,全漢,74.8,6.8,10.0,07/06,2.03,5.81,7.01,9.31,-4.8,-4.56,-9.31,2.56,-3.32,2.53
269,3163,波若威,799.0,-19.0,-2.32,07/06,9.11,9.11,8.71,9.3,4.05,59.7,283.0,99.9,-39.2,147.0
270,4564,元翎,19.15,0.9,4.93,07/06,4.79,6.65,8.19,9.28,7.88,1.16,4.35,-20.5,73.0,-22.5
271,3669,圓展,36.35,0.7,1.96,07/06,1.12,3.83,7.54,9.27,-22.8,-30.3,-4.91,112.0,110.0,124.0
272,2329,華泰,54.6,1.6,3.02,07/06,1.73,4.29,5.04,9.21,8.87,6.71,8.78,28.0,52.8,60.3
273,6698,旭暉應材,42.05,0.85,2.06,07/06,0.92,5.15,7.82,9.21,-10.6,-18.4,44.1,113.0,110.0,128.0
274,6482,弘煜科,27.9,-0.4,-1.41,07/06,0.0,0.0,0.0,9.09,9.09,33.3,300.0,1100.0,,1100.0
275,6953,家碩,237.5,-1.0,-0.42,07/06,0.0,-3.03,1.59,9.09,26.3,42.2,159.0,134.0,200.0,137.0
276,5211,蒙恬,22.3,-0.3,-1.33,07/06,0.0,0.0,8.96,8.96,8.96,14.1,15.9,-28.4,-1.35,-28.4
277,2250,IKKA-KY,69.4,-2.1,-2.94,07/06,0.0,3.78,6.61,8.94,11.4,16.3,-13.6,-38.3,-1.72,-40.0
278,2504,國產,32.35,-0.35,-1.07,07/06,2.6,3.25,5.63,8.87,21.4,32.6,221.0,479.0,41.8,298.0
279,3362,先進光,169.5,-17.5,-9.36,07/06,1.59,1.89,2.7,8.78,12.0,12.5,18.9,46.9,23.6,48.0
280,8210,勤誠,1290.0,-15.0,-1.15,07/06,1.26,2.18,2.88,8.76,9.29,21.3,58.1,168.0,18.4,237.0
281,8227,巨有科技,201.0,-7.0,-3.37,07/06,1.32,2.96,6.49,8.71,7.18,-28.8,-13.2,-6.89,14.0,-1.8
282,1409,新纖,30.25,-0.75,-2.42,07/06,5.62,13.6,11.0,8.69,77.5,82.9,122.0,37.5,108.0,43.0
283,4722,國精化,268.0,-9.0,-3.25,07/06,3.09,5.65,7.11,8.68,-20.7,-23.8,-36.1,-69.3,-45.6,-69.5
284,4967,十銓,261.0,1.0,0.38,07/06,0.2,0.24,1.0,8.67,6.76,9.26,41.7,112.0,27.5,105.0
285,1712,興農,39.9,-0.25,-0.62,07/06,1.41,2.18,4.71,8.65,14.0,28.7,240.0,274.0,168.0,274.0
286,7791,皇家可口,62.7,0.0,0.0,07/06,0.53,1.07,-1.05,8.62,53.7,361.0,,,,
287,6270,倍微,38.05,1.45,3.96,07/06,6.65,4.36,4.52,8.61,1.49,16.7,-0.73,641.0,925.0,641.0
288,6732,昇佳電子,209.0,19.0,10.0,07/06,6.46,9.14,8.27,8.59,21.0,24.2,-11.9,20.5,161.0,18.8
289,00990A,主動元大AI新經濟,19.32,-0.44,-2.23,07/06,7.08,11.8,8.04,8.57,-17.1,-39.0,-3.73,-86.0,,-82.8
290,6739,竹陞科技,1315.0,15.0,1.15,07/06,8.2,12.5,9.58,8.54,19.1,11.7,230.0,22.9,94.9,25.6
291,1605,華新,36.55,0.3,0.83,07/06,0.64,1.94,2.79,8.45,20.7,10.1,-8.21,-46.6,92.5,-45.9
292,2376,技嘉,336.5,-2.0,-0.59,07/06,2.67,4.01,5.98,8.45,15.4,2.97,0.89,42.3,125.0,49.2
293,3706,神達,90.0,-1.0,-1.1,07/06,1.98,5.9,6.44,8.42,13.9,14.1,18.4,-1.95,66.7,-2.83
294,3380,明泰,35.4,-0.6,-1.67,07/06,2.81,12.2,12.7,8.37,10.0,15.1,9.24,-19.4,43.8,-20.1
295,2327,國巨*,1005.0,-40.0,-3.83,07/06,-1.35,1.46,1.7,8.27,-3.45,-49.7,-19.8,-70.6,-25.1,-66.9
296,5251,天鉞電,32.65,1.0,3.16,07/06,2.25,2.61,4.42,8.26,17.3,20.2,21.9,1.03,100.0,0.68
297,1103,嘉泥,13.75,0.1,0.73,07/06,0.38,0.77,4.58,8.25,9.0,-0.69,-7.3,-3.2,-40.4,-4.08
298,3498,陽程,124.0,0.0,0.0,07/06,-2.54,1.53,9.07,8.24,25.9,23.4,12.8,-5.22,-17.6,-7.08
299,1519,華城,773.0,0.0,0.0,07/06,0.02,0.31,0.55,8.22,13.0,26.9,469.0,201.0,97.4,224.0
300,2031,新光鋼,38.9,-0.15,-0.38,07/06,0.43,0.75,1.11,8.21,3.28,5.44,9.0,39.7,-51.2,42.7
