"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00870B","元大15年EM主權債","28.25","-0.08","-0.28","05/12","-90.1","-78.1","-30.5","+88.5","+14","+9.66","+98.5","+97.5","+95.6","+75.7","","+98.1"
"2","00717","富邦美國特別股","15.15","0","0","05/12","+94.7","+90.4","+90.8","+86.5","+87.7","+83.2","+72.7","+64.7","+54.5","+41.7","","+65.6"
"3","00746B","富邦A級公司債","35.31","-0.04","-0.11","05/12","+83.9","+85.7","+81.2","+80.2","+71.5","+63.7","+52.7","+58.1","+57.5","+44.2","","+55.5"
"4","00942B","台新美A公司債20+","14.28","-0.01","-0.07","05/12","+79.5","+80.9","+76.6","+74.3","+66.2","+59","+79.5","+65.4","+54.2","","","+68.7"
"5","910322","康師傅-DR","24.85","0","0","05/12","+63","+60.7","+79.1","+70.8","+54.1","+45.6","+55.4","+72.7","+43.9","-5.12","+3.99","+69.2"
"6","00943","兆豐電子高息等權","19.47","+0.14","+0.72","05/12","+70","+50.9","+49.5","+67.8","+68.8","+66.3","+47.6","+28.2","+15.9","","","+33.8"
"7","00984B","大華優利美A債15","16.26","-0.02","-0.12","05/12","+44.5","+75","+73","+66.3","+50.2","+47.9","+14.1","+7.54","+5.3","","","+10"
"8","00714","群益道瓊美國地產","21.58","+0.15","+0.7","05/12","+95.3","+94.8","+86.9","+65.6","+33.4","+26.6","+15.6","+11.7","+4.37","+1.29","","+15.2"
"9","00740B","富邦全球投等債","38.53","-0.03","-0.08","05/12","+82.5","+77","+64.5","+59.9","+54.5","+43.7","+30.3","+39.6","+30.2","+14.7","","+34.3"
"10","9937","全國","56.4","-0.2","-0.35","05/12","-11.4","-1.72","+36.1","+57.3","+38.2","+42","+0.45","+0.13","+0.06","-3.12","-8.04","+0.92"
