"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"1","00715L","期街口布蘭特正2","57.1","+2","+3.63","26W20","05/15","4.14","+2,665","+6.89","3.99","+4,088","+11.4","3.83","+3,459","+9.93"
"2","8093","保銳","18.25","0","0","26W20","05/15","1.72","0","0","1.72","0","0","1.62","0","0"
"3","00916","國泰全球品牌50","30","0","0","26W20","05/15","1.04","-552","-5.04","1.04","-552","-5.04","0.77","+380","+5.18"
"4","00962","台新AI優息動能","14.68","-0.89","-5.72","26W20","05/15","1.16","-1,357","-10.5","1.16","-592","-4.87","0.96","+326","+3.53"
"5","00988A","主動統一全球創新","20.25","-1.21","-5.64","26W20","05/15","37.2","+89,978","+31.9","33.5","+81,796","+32.3","31.5","+80,604","+34.3"
"6","4967","十銓","277.5","-1.5","-0.54","26W20","05/15","1.91","-2,559","-11.8","1.78","-1,313","-6.87","1.6","-297","-1.82"
"7","00907","永豐優息存股","15.73","-0.57","-3.5","26W20","05/15","1.83","+1,244","+7.29","1.83","+1,244","+7.29","1.64","+2,134","+14.9"
"8","00991A","主動復華未來50","18.69","-0.53","-2.76","26W20","05/15","42.4","-18,275","-4.13","39.6","-22,771","-5.44","35.3","-21,316","-5.69"
"9","4513","福裕","15.45","+0.2","+1.31","26W20","05/15","4.83","-200","-0.41","4.83","-200","-0.41","4.74","-196","-0.41"
"10","4939","亞電","65.6","+5.9","+9.88","26W20","05/15","2.03","+238","+1.18","1.76","-1,018","-5.47","1.51","-1,003","-6.22"
"11","3234","光環","124","-1","-0.8","26W20","05/15","2.82","+723","+2.63","2.28","+79","+0.35","2.19","+79","+0.36"
"12","00685L","群益臺灣加權正2","266.85","-24.7","-8.47","26W20","05/15","0.49","-164","-3.27","0.49","-164","-3.27","0.49","-164","-3.27"
"13","00960","野村全球航運龍頭","17.55","-0.01","-0.06","26W20","05/15","0.59","-3,203","-35.3","0.59","-3,203","-35.3","0.59","-3,203","-35.3"
"14","3118","進階","33.65","-0.45","-1.32","26W20","05/15","0.95","0","0","0.58","0","0","0.39","0","0"
"15","009810","玉山全球藍籌100","20.43","-0.33","-1.59","26W20","05/15","0.35","+51.6","+1.48","0.29","+62","+2.17","0.29","+62","+2.17"
"16","3043","科風","23.85","+1.5","+6.71","26W20","05/15","0.54","+6","+0.11","0.54","+6","+0.11","0.44","0","0"
"17","00930","永豐ESG低碳高息","23.65","-1.36","-5.44","26W20","05/15","2.3","+1,415","+6.55","2.16","+639","+3.05","1.99","+1,710","+9.4"
"18","6207","雷科","130.5","-14","-9.69","26W20","05/15","1.29","+816","+6.75","1.16","+184","+1.61","1.07","+184","+1.75"
"19","6485","點序","101","-11","-9.82","26W20","05/15","1.08","+1,817","+20.3","1.01","+1,817","+21.8","1.01","+1,817","+21.8"
"20","00896","中信綠能及電動車","27.77","-1.19","-4.11","26W20","05/15","2.4","-94.2","-0.39","2.13","-226","-1.05","1.96","-204","-1.03"
"21","1514","亞力","125","-10","-7.41","26W20","05/15","11.3","-2,281","-1.98","10.2","-4,394","-4.13","9.77","-3,559","-3.51"
"22","00939","統一台灣高息動能","20.14","-0.75","-3.59","26W20","05/15","12.5","+10,842","+9.46","11.8","+8,828","+8.08","10.9","+10,571","+10.8"
"23","8088","品安","58.1","-4.7","-7.48","26W20","05/15","0.99","+818","+8.99","0.99","+818","+8.99","0.81","-1,032","-11.3"
"24","6104","創惟","99","-4","-3.88","26W20","05/15","1.32","+1,162","+9.68","0.9","+421","+4.93","0.81","+421","+5.48"
"25","009809","富邦淨零ESG50","16.47","-0.71","-4.13","26W20","05/15","1","+800","+8.73","0.92","+800","+9.51","0.83","+800","+10.6"
"26","00731","復華富時高息低波","81.95","-2.2","-2.61","26W20","05/15","0.53","-508","-8.71","0.4","-1,201","-23.2","0.4","-366","-8.42"
"27","00647L","元大S&P500正2","130.55","-5.25","-3.87","26W20","05/15","0.14","+119","+9.58","0.14","+119","+9.58","0.14","+119","+9.58"
"28","3324","雙鴻","1095","-15","-1.35","26W20","05/15","4.1","+916","+2.29","3.48","-1,732","-4.75","2.91","-1,772","-5.74"
"29","00642U","期元大S&P石油","29.89","+0.47","+1.6","26W20","05/15","4.55","-3,419","-6.98","4.43","-4,053","-8.39","4.15","-5,043","-10.8"
"30","3289","宜特","172","-10.5","-5.75","26W20","05/15","1.76","+969","+5.81","1.48","+879","+6.3","0.91","-1,067","-10.5"
"31","6126","信音","38.3","-4.2","-9.88","26W20","05/15","4.27","+1,077","+2.59","3.85","+244","+0.64","3.77","+1,158","+3.17"
"32","00989B","台新美國非投等債","10.01","0","0","26W20","05/15","2.54","+2,766","+12.2","2.47","+2,766","+12.6","2.17","+2,766","+14.6"
"33","3491","昇達科","1785","-150","-7.75","26W20","05/15","1.71","+551","+3.32","0.99","-72.4","-0.72","0.81","-205","-2.48"
"34","00877","復華中國5G","42.37","-1.91","-4.31","26W20","05/15","1.85","-869","-4.48","1.37","-1,642","-10.7","0.93","-2,468","-21"
"35","00403A","主動統一升級50","10.13","-0.28","-2.69","26W20","05/15","154","","","132","","","105","",""
"36","9103","美德醫療-DR","6.06","+0.21","+3.59","26W20","05/15","1.31","-1,379","-9.51","0.82","-2,068","-20.1","0.64","-1,168","-15.4"
"37","6805","富世達","1895","-55","-2.82","26W20","05/15","3.64","-606","-1.64","3.3","-643","-1.91","3.2","-1,628","-4.84"
"38","3260","威剛","403","-18.5","-4.39","26W20","05/15","11","-6,429","-5.52","10.8","-5,085","-4.5","10.4","-428","-0.41"
"39","3615","安可","54.2","-6","-9.97","26W20","05/15","2.18","+163","+0.75","2.04","+162","+0.8","1.95","+162","+0.84"
"40","00892","富邦台灣半導體","41.87","-1.78","-4.08","26W20","05/15","3.96","+2,113","+5.64","3.47","+1,339","+4.02","2.99","+390","+1.32"
"41","2406","國碩","32","-2.65","-7.65","26W20","05/15","12.2","+240","+0.2","11.5","-122","-0.11","11","+703","+0.64"
"42","3689","湧德","127.5","-14","-9.89","26W20","05/15","1.7","+785","+4.85","1.57","+818","+5.49","1.12","0","0"
"43","2349","錸德","13.3","-0.7","-5","26W20","05/15","16.1","+474","+0.29","14.4","-573","-0.4","13","-752","-0.58"
"44","4739","康普","118.5","+0.5","+0.42","26W20","05/15","4.64","+2,590","+5.91","4.23","+3,703","+9.59","3.78","+1,028","+2.8"
"45","5475","德宏","255.5","-25","-8.91","26W20","05/15","4.69","+190","+0.41","4.49","+188","+0.42","4.21","+1,036","+2.52"
"46","2399","映泰","44.65","-4.1","-8.41","26W20","05/15","4.22","-153","-0.36","4.08","+1,370","+3.47","3.64","+1,370","+3.92"
"47","00661","元大日經225","82.05","-3.9","-4.54","26W20","05/15","0.35","-666","-15.9","0.29","-666","-18.7","0.12","-666","-36"
"48","00984B","大華優利美A債15","16.3","-0.07","-0.43","26W20","05/15","5.82","-11,843","-16.9","5","-11,926","-19.3","4.44","-11,926","-21.2"
"49","8112","至上","84.7","-7.9","-8.53","26W20","05/15","20.9","-25,504","-10.9","20.5","-24,699","-10.8","19.4","-27,122","-12.3"
"50","00864B","中信美國公債0-1","45.91","+0.15","+0.33","26W20","05/15","3.09","-61,366","-66.5","2.94","-61,438","-67.6","2.66","-60,354","-69.4"
"51","00701","國泰股利精選30","34.87","-1.11","-3.09","26W20","05/15","1.35","+287","+2.18","1.35","+287","+2.18","1.35","+1,252","+10.3"
"52","1528","恩德","26","-1.8","-6.47","26W20","05/15","5.8","-5,730","-8.99","5.59","-6,479","-10.4","5.41","-4,835","-8.2"
"53","00783","富邦中証500","28.06","-1.42","-4.82","26W20","05/15","0.28","-1.33","-0.05","0.14","-33.3","-2.29","0.14","-33.3","-2.29"
"54","00830","國泰費城半導體","87.9","-6.05","-6.44","26W20","05/15","15.2","-1,883","-1.22","14.7","-2,547","-1.7","13.7","-4,414","-3.12"
"55","00632R","元大台灣50反1","10.77","+0.4","+3.86","26W20","05/15","85.3","-33,271","-3.75","74","-41,745","-5.34","66.5","-41,502","-5.87"
"56","3131","弘塑","3030","-120","-3.81","26W20","05/15","1.22","+262","+2.19","1.15","+203","+1.8","1.06","+2,060","+24.2"
"57","3338","泰碩","77.3","-1.3","-1.65","26W20","05/15","2.31","+187","+0.81","2.16","+195","+0.91","1.99","+1,102","+5.85"
"58","00928","中信上櫃ESG30","36.12","-1.89","-4.97","26W20","05/15","1.29","+1,527","+13.4","1.01","-1,303","-11.5","1.01","-482","-4.57"
"59","3011","今皓","14.55","-0.25","-1.69","26W20","05/15","3.75","-459","-1.21","3.56","-369","-1.02","3.29","-247","-0.74"
