"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00988A","主動統一全球創新","19.52","-0.51","-2.55","119,264","05/15","+2,776","+8,020","+20,055","+29,697","+30,666","+16,830","+30,756","+27,372","","+30,802"
"2","00631L","元大台灣50正2","31.26","-0.7","-2.19","260,115","05/15","+1,531","+2,156","+1,373","+1,886","+2,638","+4,610","+14,713","+13,762","+12,605","+15,108"
"3","4919","新唐","154.5","-5.5","-3.44","22,939","05/15","+1,042","+960","+2,118","+1,698","+2,401","+3,689","+4,068","+4,074","+4,034","+4,140"
"4","2303","聯電","110","+2","+1.85","413,941","05/15","+120","+1,407","+150","+1,627","+2,671","+3,934","+757","+3,615","+308","+3,527"
"5","2441","超豐","106.5","+5.5","+5.45","37,141","05/15","+78","+313","+1,816","+1,622","+1,971","+2,118","+1,911","+2,125","+2,128","+2,048"
"6","00981A","主動統一台股增長","28.42","-1.02","-3.46","462,470","05/15","+1,345","+1,287","+858","+1,175","+1,556","+4,348","+4,193","+4,924","","+3,055"
"7","3149","正達","57.4","+3.5","+6.49","28,811","05/15","+794","+1,033","+1,113","+1,137","+1,130","+1,190","+1,045","+1,088","-3,383","+1,103"
"8","2353","宏碁","27.7","-0.3","-1.07","22,918","05/15","-18","-30","+1,001","+1,057","+1,054","+981","-90","+831","+839","+218"
"9","2344","華邦電","129.5","-4.5","-3.36","348,302","05/15","-897","-39","-86","+1,032","+1,318","+1,409","-9,622","-14,012","-597","-26,000"
"10","8070","長華*","45.15","-0.45","-0.99","2,833","05/15","+362","+1,010","+995","+995","+1,000","+650","+1,007","+981","+917","+997"
"11","4123","晟德","38.3","-1.15","-2.92","4,069","05/15","-82","+616","+626","+965","+1,196","+841","+299","+1,393","+1,426","+1,129"
"12","2887","台新新光金","23.8","+0.7","+3.03","119,640","05/15","+889","+889","+893","+920","+920","+901","-13,072","-321","-23,597","-8,374"
"13","2492","華新科","206","-14","-6.36","12,675","05/15","-157","+223","+345","+829","+943","+874","+833","+384","+983","+673"
"14","2337","旺宏","162.5","-6.5","-3.85","129,725","05/15","-276","-569","+840","+775","-903","+2,650","-12,160","-6,757","-305","-3,887"
"15","00403A","主動統一升級50","10","-0.24","-2.34","1,856,315","05/15","-2,480","-9,868","-6,335","+665","","","","","",""
"16","6116","彩晶","10.25","-0.15","-1.44","104,759","05/15","-427","-295","-21","+654","+833","+795","+412","+828","+741","+669"
"17","5464","霖宏","57.1","-2.4","-4.03","1,423","05/15","+136","+153","+369","+607","+744","+744","+744","+744","+743","+742"
"18","3033","威健","47.9","+1.5","+3.23","30,563","05/15","+535","+648","+594","+603","+905","+1,071","+913","+885","+824","+945"
"19","8028","昇陽半導體","287.5","+26","+9.94","37,639","05/15","+368","+527","+537","+556","+325","+82","+511","-1,590","-567","-908"
"20","3645","達邁","106","-6","-5.36","23,146","05/15","+474","+368","+462","+521","+590","+298","+559","+514","+526","+582"
"21","6432","今展科","51.1","+1.5","+3.02","4,732","05/15","+73","+101","+201","+504","+758","+839","+794","+488","+896","+654"
"22","00632R","元大台灣50反1","11.46","+0.14","+1.24","149,414","05/15","-130","-77","+381","+487","+323","-146","+621","+1,194","+466","+667"
"23","1514","亞力","116.5","0","0","5,144","05/15","+4","0","+450","+451","+463","+473","+293","+382","+90","+361"
"24","3702","大聯大","110","-1","-0.9","8,843","05/15","+216","+184","+242","+448","+651","+60","+649","+576","+711","+672"
"25","8926","台汽電","61.1","+3.5","+6.08","17,577","05/15","+234","+284","+339","+397","+428","+415","+593","+596","+582","+608"
"26","2368","金像電","1290","-140","-9.79","7,371","05/15","+278","+296","+316","+378","+356","+243","-915","-732","-434","-1,398"
"27","3036","文曄","270","-1.5","-0.55","15,103","05/15","+105","+102","+278","+371","+390","-532","+393","+383","+151","+438"
"28","6207","雷科","77.2","+7","+9.97","9,070","05/15","+71","+288","+293","+368","+495","+668","+579","+518","+724","+616"
"29","4960","誠美材","34.25","+0.6","+1.78","11,321","05/15","+93","-58","+221","+363","+490","-159","+488","+469","+491","+495"
"30","3006","晶豪科","251","+13","+5.46","42,082","05/15","+216","+347","+300","+358","+461","+645","-317","-738","+685","-1,765"
"31","1727","中華化","87.4","+7.9","+9.94","21,498","05/15","+210","+270","+307","+355","-201","+495","+386","+367","+607","-24"
"32","8091","翔名","237","+21.5","+9.98","2,903","05/15","+206","+243","+285","+346","+283","+455","+454","+455","+455","+455"
"33","6147","頎邦","205","+18.5","+9.92","82,576","05/15","+532","+497","+450","+342","+452","+622","+1,230","+1,189","+1,232","+1,217"
"34","00715L","期街口布蘭特正2","64.2","+0.45","+0.71","5,708","05/15","+62","+89","+242","+339","-2,186","-317","-1,315","+2,888","-19,741","+2,513"
"35","00642U","期元大S&P石油","31","+0.31","+1.01","6,009","05/15","+70","+169","+236","+328","-455","+585","+3,477","+3,579","+3,571","+3,582"
"36","8150","南茂","80.9","-3","-3.58","23,694","05/15","-21","-53","-113","+326","+478","+419","+469","-390","+603","+364"
"37","6451","訊芯-KY","577","+52","+9.9","6,260","05/15","+160","+339","+435","+315","+602","-1,468","+505","+575","+550","+567"
"38","3357","臺慶科","220","-11.5","-4.97","13,240","05/15","+33","+177","+247","+308","+358","+492","+325","+356","+451","+108"
"39","00673R","期元大S&P原油反1","11.85","-0.12","-1","14,908","05/15","-11","+310","+306","+300","-14,149","-1,056","+401","+626","+530","+541"
"40","8043","蜜望實","113","+10","+9.71","9,804","05/15","+172","+192","+246","+279","+321","+316","-963","-1,515","+398","-1,531"
"41","3712","永崴投控","16.2","-1.75","-9.75","402","05/15","+11","+199","+199","+264","+265","+263","+296","-167","+248","+247"
"42","00991A","主動復華未來50","17.65","-0.9","-4.85","242,099","05/15","+60","+247","+219","+260","+218","+284","+383","","","+437"
"43","2498","宏達電","45.3","+1.2","+2.72","71,302","05/15","+320","+350","+308","+251","+165","+861","-425","-4,849","+129","-2,179"
"44","6215","和椿","130.5","+11.5","+9.66","14,049","05/15","+99","+95","+81","+243","+229","+340","-4","-116","-1,598","-2"
"45","8039","台虹","144","-5.5","-3.68","43,279","05/15","+39","+154","+171","+231","+191","+61","-57","+216","+279","-711"
"46","8042","金山電","98.1","-10.9","-10","1,904","05/15","-91","-568","+208","+231","+572","+571","+422","+491","+580","+181"
"47","5483","中美晶","140.5","-12","-7.87","18,782","05/15","+246","+251","+198","+230","+273","+317","+303","+321","+266","+350"
"48","4923","力士","36.65","-1.95","-5.05","501","05/15","-12","+43","+209","+228","+237","+166","+256","+256","+256","+256"
"49","1402","遠東新","26.45","-0.3","-1.12","25,008","05/15","+214","+214","+213","+216","+206","+225","+157","+150","+213","+163"
"50","4971","IET-KY","705","-78","-9.96","2,775","05/15","+110","+131","+180","+215","+190","+49","-298","+18","+145","-627"
"51","1815","富喬","102.5","-4","-3.76","23,524","05/15","+177","+197","+184","+212","+207","-461","-2,217","-9,346","-2,033","-4,565"
"52","2485","兆赫","68.3","-2.4","-3.39","42,823","05/15","+118","+166","+139","+205","+508","-758","+316","+825","+1,272","+45"
"53","6664","群翊","417.5","-46","-9.92","3,407","05/15","+179","+175","+188","+187","+173","+184","+192","+181","+191","+187"
"54","3691","碩禾","152.5","+13.5","+9.71","5,168","05/15","+57","+10","+70","+179","+244","+239","+211","+161","+163","+192"
"55","3673","TPK-KY","64.7","+0.4","+0.62","20,845","05/15","+33","+110","+187","+178","+191","-57","+364","+343","+360","+357"
"56","6173","信昌電","155","-17","-9.88","3,038","05/15","-194","-239","-762","+171","+367","+326","+34","-26","+492","-429"
"57","3081","聯亞","2655","-290","-9.85","3,145","05/15","+147","+158","+149","+170","+169","+131","-146","+199","-697","-208"
"58","3498","陽程","149","+13.5","+9.96","7,586","05/15","+57","+69","+81","+170","+137","+238","+133","+69","+177","+106"
"59","3388","崇越電","97.2","-10.8","-10","5,041","05/15","+12","+33","+102","+169","+283","+2,127","+2,128","+2,128","+2,128","+2,128"
"60","6829","千附精密","198","-4.5","-2.22","2,153","05/15","+208","+189","+196","+162","+169","+203","+276","+270","+136","+274"
"61","00887","永豐中國科技50大","16.08","-0.54","-3.25","14,117","05/15","-1","0","+16","+153","+155","+563","+515","-430","+732","+267"
"62","3305","昇貿","138.5","+12.5","+9.92","21,193","05/15","+126","+111","+116","+153","+151","+127","+2","-141","+152","-1"
"63","4526","東台","37.05","+1.5","+4.22","13,194","05/15","+111","+142","+67","+153","+118","+204","+25","-455","-493","-113"
"64","6547","高端疫苗","47.9","-1.1","-2.24","2,333","05/15","+57","+112","+117","+153","+289","+284","+724","+685","+656","+696"
"65","6770","力積電","62.8","+0.6","+0.96","356,822","05/15","-56","+453","+236","+153","+211","+16","+1,608","-13,100","+1,608","-14,436"
"66","6414","樺漢","319.5","-35.5","-10","4,739","05/15","+75","+61","+42","+145","+188","+24","+234","+216","+254","+209"
"67","3583","辛耘","888","-41","-4.41","3,560","05/15","-10","-15","-11","+138","+132","+157","+741","+721","+639","+739"
"68","2481","強茂","117.5","+2","+1.73","46,935","05/15","+26","-38","+19","+130","+73","+394","+41","-145","+311","-18"
"69","4956","光鋐","42","-0.9","-2.1","3,202","05/15","+2","+7","+77","+130","+140","-362","-91","+94","+101","+31"
"70","2367","燿華","61.8","-3.2","-4.92","46,279","05/15","-22","+155","-46","+127","+141","+1,897","-1,104","+1,827","+1,725","+1,723"
"71","3088","艾訊","131","+2","+1.55","2,270","05/15","+14","+26","+51","+123","+280","+294","+295","+295","+272","+290"
"72","5228","鈺鎧","49.15","-1.05","-2.09","3,603","05/15","+87","+84","+113","+122","+122","+122","+121","+122","+122","+122"
"73","2324","仁寶","28.65","-1.6","-5.29","119,388","05/15","+114","+51","+96","+119","-81","-38","-143","-275","+19","-266"
"74","3504","揚明光","77.3","+5.9","+8.26","10,387","05/15","+87","+100","+100","+119","+117","+119","+22","-30","+93","+26"
"75","6239","力成","248","+19","+8.3","56,526","05/15","+76","+66","+101","+115","+138","+98","-104","+95","+57","+112"
"76","3363","上詮","841","-61","-6.76","5,947","05/15","+48","+64","+65","+112","+112","+42","+68","-1,327","-936","-1,522"
"77","8105","凌巨","15.7","-0.3","-1.88","13,267","05/15","-47","-81","+84","+112","+111","+112","-55","+42","+72","-54"
"78","3048","益登","56.1","+5.1","+10","24,416","05/15","+59","+99","+95","+111","+111","+101","+101","+3","+131","-81"
"79","5351","鈺創","87.5","-4","-4.37","40,015","05/15","-142","-97","+3","+109","+97","+233","+80","-210","+252","-344"
"80","8069","元太","210","-16","-7.08","9,357","05/15","-346","-142","0","+108","+130","+128","+135","+105","-91","+97"
"81","00663L","國泰臺灣加權正2","89.8","-2.25","-2.44","10,056","05/15","+86","+176","+97","+103","-138","-756","+39","+287","+2,041","-610"
"82","1314","中石化","6.72","-0.19","-2.75","25,850","05/15","-2","+97","+101","+100","+97","+35","+32","-498","+37","-56"
"83","2388","威盛","75.4","-0.4","-0.53","21,209","05/15","+1","+29","+54","+100","-279","+358","+303","+73","+121","+204"
"84","2542","興富發","43.75","+0.6","+1.39","17,357","05/15","0","-22","+95","+100","-180","+264","+113","+166","+251","-16"
"85","3236","千如","38.9","-1.3","-3.23","20,187","05/15","-20","-21","+97","+100","+108","+77","+4","-74","+108","-143"
"86","3294","英濟","36.5","+3.3","+9.94","2,990","05/15","+61","+111","+93","+100","+117","+63","+3","-454","+125","-120"
"87","4722","國精化","264.5","+6.5","+2.52","6,202","05/15","+59","+87","-3","+99","+243","+254","-24","-470","+285","-540"
"88","3209","全科","68","+4.5","+7.09","10,296","05/15","+18","+21","-16","+98","+83","+111","+97","+105","+67","+113"
"89","6175","立敦","73.9","+4.9","+7.1","20,871","05/15","+100","+99","+104","+98","+110","+128","+85","-57","+128","-2"
"90","5425","台半","72","-0.7","-0.96","14,528","05/15","+11","-26","-87","+96","+206","+279","+249","+183","+265","+211"
"91","00633L","富邦上証正2","52.65","-1.5","-2.77","3,339","05/15","-16","+36","+40","+90","-242","-287","-170","-1,357","-270","-1,110"
"92","1603","華電","30","-2.05","-6.4","2,325","05/15","+88","+88","+88","+88","+87","+88","+83","+83","+86","+82"
"93","2377","微星","112","-5","-4.27","44,029","05/15","-222","-63","+59","+88","+83","+188","+26","+26","+182","+2"
"94","6217","中探針","300","-24.5","-7.55","11,665","05/15","+25","+19","+119","+87","+133","+21","-22","-324","+190","-8"
"95","6163","華電網","54.8","-5.7","-9.42","6,040","05/15","+172","+259","+225","+86","+63","+20","-117","+134","+253","-1,992"
"96","3090","日電貿","142","+12.5","+9.65","14,967","05/15","+56","+66","+69","+83","+93","+81","+50","+47","+11","+15"
"97","3490","單井","36.9","+1.25","+3.51","8,334","05/15","+83","+87","+87","+83","+76","+80","+86","+84","+87","+86"
