單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"18,236,238,136","11,816,555,285","6,419,682,851"
自營商(避險),"38,140,621,771","34,434,200,975","3,706,420,796"
投信,"31,021,732,881","19,540,277,200","11,481,455,681"
外資及陸資(不含外資自營商),"382,849,786,228","384,265,175,000","-1,415,388,772"
外資自營商,0,0,0
合計,"470,248,379,016","450,056,208,460","20,192,170,556"
