"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"601","3164","景岳","16.3","-0.2","-1.21","26W21","05/22","4.36","-760","-1.71","4.01","-19","-0.05","3.42","+10","+0.03"
"602","3265","台星科","172","-8","-4.44","26W21","05/22","8.19","-1,059","-1.28","7.92","-632","-0.79","7.75","+1,130","+1.48"
"603","9912","偉聯","12.55","0","0","26W21","05/22","3.2","+144","+0.45","3.07","+144","+0.47","3.07","+144","+0.47"
"604","1233","天仁","27.4","-0.3","-1.08","26W21","05/22","6.33","+67","+0.11","6.2","+67","+0.11","6.1","+67","+0.11"
"605","2542","興富發","41.9","-1.1","-2.56","26W21","05/22","131","+4,758","+0.36","128","+8,582","+0.67","126","+4,144","+0.33"
"606","2538","基泰","10","-0.1","-0.99","26W21","05/22","32.2","+139","+0.04","30.7","+1,776","+0.58","29.8","-24","-0.01"
"607","1472","三洋實業","89.1","-1","-1.11","26W21","05/22","3.89","0","0","3.73","0","0","3.63","0","0"
"608","1709","和益","20","-0.2","-0.99","26W21","05/22","27.8","+448","+0.16","26.2","+1,122","+0.43","24.9","+309","+0.12"
"609","4183","福永生技","13.75","-0.05","-0.36","26W21","05/22","1.23","0","0","1.1","0","0","1.01","0","0"
"610","8935","邦泰","23.8","+0.05","+0.21","26W21","05/22","5.42","+377","+0.7","5.28","+1,149","+2.22","4.84","+1,147","+2.43"
"611","7768","頌勝科技","399","-7.5","-1.85","26W21","05/22","4.33","+663","+1.56","4.14","+56","+0.14","3.85","+56","+0.15"
"612","6965","中傑-KY","81.7","0","0","26W21","05/22","14.3","+132","+0.09","14.1","+132","+0.09","14.1","+132","+0.09"
"613","6534","正瀚-創","88.7","-2","-2.21","26W21","05/22","8.11","+205","+0.25","7.83","+205","+0.26","7.74","+205","+0.27"
"614","2911","麗嬰房","8.51","-0.29","-3.3","26W21","05/22","4.5","+65","+0.14","4.44","+65","+0.15","4.26","+32","+0.08"
"615","8255","朋程","163","-12","-6.86","26W21","05/22","5.26","-476","-0.9","5.12","-477","-0.92","5.04","-477","-0.94"
"616","1536","和大","48.65","-1.85","-3.66","26W21","05/22","8.84","-2,309","-2.55","8.35","-1,227","-1.45","8","-1,265","-1.56"
"617","2646","星宇航空","20.05","-0.45","-2.2","26W21","05/22","192","+1,829","+0.1","191","+1,979","+0.1","190","+3,659","+0.19"
"618","2201","裕隆","27.4","-1.3","-4.53","26W21","05/22","66.1","-244","-0.04","64.6","-3,233","-0.5","63.3","+111","+0.02"
"619","6469","大樹","74","-1.7","-2.25","26W21","05/22","6.75","+224","+0.33","6.43","-449","-0.69","6.34","-449","-0.7"
"620","6461","益得","15.8","-0.4","-2.47","26W21","05/22","10.5","-570","-0.54","9.94","+21","+0.02","9.59","+21","+0.02"
"621","1229","聯華","40.95","-1.05","-2.5","26W21","05/22","114","-1,633","-0.14","113","-2,388","-0.21","111","-3,628","-0.32"
"622","6949","沛爾生醫-創","677","+19","+2.89","26W21","05/22","4.57","+88.8","+0.19","4.37","+63","+0.14","4.19","+63","+0.15"
"623","6508","惠光","23.45","-0.6","-2.49","26W21","05/22","5.21","+80","+0.15","5.14","+75","+0.15","5.14","+75","+0.15"
"624","9935","慶豐富","19","-0.3","-1.55","26W21","05/22","10.1","+635","+0.63","9.33","-35","-0.04","8.9","-35","-0.04"
