證券代號,證券名稱,交易別,成交價,成交股數,成交金額
6994,富威電力,逐筆交易,50.00,"800,000","40,000,000"
1216,統一,配對交易,74.63,"250,000","18,657,500"
1216,統一,配對交易,74.50,"1,051,000","78,299,500"
2002,中鋼,配對交易,19.10,"5,048,000","96,416,800"
2101,南港,配對交易,33.25,"1,760,173","58,525,752"
2101,南港,配對交易,32.45,"4,305,000","139,697,250"
2303,聯電,配對交易,145.50,"11,493,000","1,672,231,500"
2308,台達電,配對交易,"2,150.00","1,520,000","3,268,000,000"
2327,國巨*,配對交易,"1,067.50","83,000","88,602,500"
2327,國巨*,配對交易,"1,054.04","18,000","18,972,720"
2327,國巨*,配對交易,"1,045.13","99,750","104,251,718"
2327,國巨*,配對交易,"1,045.11","50,250","52,516,778"
2330,台積電,配對交易,"2,475.91","8,000","19,807,280"
2330,台積電,配對交易,"2,410.00","1,436,000","3,460,760,000"
2330,台積電,配對交易,"2,404.80","14,445","34,737,336"
2330,台積電,配對交易,"2,404.78","12,555","30,192,013"
2357,華碩,配對交易,799.00,"1,000,000","799,000,000"
2454,聯發科,配對交易,"4,390.00","4,000","17,560,000"
2610,華航,配對交易,22.00,"2,700,000","59,400,000"
2633,台灣高鐵,配對交易,26.15,"786,000","20,553,900"
2812,台中銀,配對交易,19.80,"1,500,000","29,700,000"
2881,富邦金,配對交易,138.70,"1,180,000","163,666,000"
2912,統一超,配對交易,223.50,"90,540","20,235,690"
3036,文曄,配對交易,202.00,"1,330,000","268,660,000"
3661,世芯-KY,配對交易,"4,320.00","80,000","345,600,000"
3711,日月光投控,配對交易,613.68,"481,000","295,180,080"
4919,新唐,配對交易,191.50,"305,000","58,407,500"
4958,臻鼎-KY,配對交易,639.00,"989,000","631,971,000"
5007,三星,配對交易,58.00,"700,000","40,600,000"
6214,精誠,配對交易,154.00,"98,000","15,092,000"
6214,精誠,配對交易,153.50,"98,000","15,043,000"
7610,聯友金屬-創,配對交易,"2,315.00","360,000","833,400,000"
7769,鴻勁,配對交易,"6,978.41","4,000","27,913,640"
7769,鴻勁,配對交易,"6,975.00","10,000","69,750,000"
9904,寶成,配對交易,26.15,"1,900,000","49,685,000"
總計,,,,"41,564,713","12,943,086,456"
