排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
112,2426,鼎元,77.6,-7.5,-8.81,06/26,0.52,-11.9,-13.7,-25.0,-14.9,82.8,433.0,442.0,236.0,385.0
113,4741,泓瀚,56.4,-3.4,-5.69,06/26,-21.1,-13.6,-12.2,-25.0,-43.1,-41.4,-2.94,-4.29,58.8,-4.29
114,00984D,主動聯博全球非投,10.15,0.01,0.1,06/26,0.0,-24.9,-24.9,-24.9,-6.72,-11.7,227.0,,,
115,1340,勝悅-KY,5.29,-0.08,-1.49,06/26,0.48,0.48,-20.9,-24.8,-25.2,-24.5,13.7,2.2,49.3,2.12
116,6449,鈺邦,340.0,-31.0,-8.36,06/26,-12.0,-11.0,-12.2,-24.6,-28.0,-40.8,-74.4,-77.5,-65.6,-77.8
117,6629,泰金-KY,108.5,-3.0,-2.69,06/26,0.0,0.0,-24.5,-24.5,-29.8,-37.5,-57.9,-62.6,-66.7,-63.0
118,2637,慧洋-KY,71.7,-4.4,-5.78,06/26,7.2,2.0,-10.7,-24.3,-36.6,-77.3,-80.7,-92.2,-96.2,-90.4
119,3624,光頡,139.0,-15.0,-9.74,06/26,-11.6,-13.2,-22.7,-24.3,-26.2,-8.11,-29.5,-61.9,116.0,-61.1
120,3705,永信,53.7,-0.4,-0.74,06/26,-8.79,-11.4,-20.5,-24.2,-24.4,-27.4,-38.5,-48.1,40.4,-48.3
121,1802,台玻,66.0,-3.6,-5.17,06/26,-8.58,-6.91,-11.8,-24.2,-27.7,-13.1,2.15,-18.0,13.6,-20.4
122,8482,商億-KY,50.5,0.0,0.0,06/26,0.0,-5.0,-5.0,-24.0,-24.0,-26.9,-29.6,-57.8,-82.7,-57.8
123,3711,日月光投控,632.0,-9.0,-1.4,06/26,0.81,-4.67,-12.8,-24.0,-25.1,-47.6,30.2,53.3,-60.9,52.9
124,5285,界霖,99.8,-1.7,-1.67,06/26,-1.01,-18.4,-17.1,-23.9,-34.7,-32.2,-40.4,-45.5,-15.9,-46.4
125,2433,互盛電,44.25,-0.55,-1.23,06/26,-15.3,-17.4,-21.0,-23.9,-26.5,-12.6,62.7,141.0,41.9,141.0
126,00990A,主動元大AI新經濟,20.23,-0.95,-4.49,06/26,-8.57,-14.5,-14.5,-23.7,-46.5,-60.6,8.13,-3.71,,-84.2
127,2436,偉詮電,70.8,-5.1,-6.72,06/26,-8.04,-6.09,-13.6,-23.5,-29.2,-32.5,34.9,1.66,94.9,1.01
128,6838,台新藥,23.5,-0.45,-1.88,06/26,-23.5,-23.5,-23.5,-23.5,-23.5,-61.0,-93.8,-97.6,-97.7,-97.6
129,5215,科嘉-KY,42.95,-1.25,-2.83,06/26,-24.1,-25.0,-24.1,-23.5,-27.4,-4.47,96.4,103.0,0.34,103.0
130,6578,達邦蛋白,16.1,0.0,0.0,06/26,0.0,0.0,-23.5,-23.5,-23.5,-22.9,-23.5,-47.2,-8.29,-47.2
131,2801,彰銀,23.4,-0.1,-0.43,06/26,0.05,2.02,-5.68,-23.1,-23.7,-12.4,117.0,92.4,72.8,94.8
132,6411,晶焱,96.9,-5.1,-5.0,06/26,-1.42,-1.42,-23.2,-23.0,-31.4,-29.9,-40.8,-54.4,15.8,-53.8
133,4935,茂林-KY,36.45,-1.4,-3.7,06/26,2.96,-17.1,-15.9,-22.9,-16.6,-2.11,-3.25,16.2,-41.4,16.2
134,3008,大立光,4720.0,-445.0,-8.62,06/26,-5.75,-2.55,-13.5,-22.9,-16.6,-36.4,-55.1,-8.51,272.0,-18.8
135,8096,擎亞,145.0,-10.5,-6.75,06/26,0.26,-0.97,-7.13,-22.9,-31.9,-35.3,-50.0,-74.0,-67.7,-74.0
