契約,到期月份 (週別),契約到期日,履約價,買賣權,開盤價,最高價,最低價,最後 成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷 契約量,最後 最佳買價,最後 最佳賣價,歷史 最高價,歷史 最低價
TXO,202607F1,20260703.0,40100.0,Call,-,-,-,-,6410.0,-,-,0,0,0,0,-,-,-,-
TXO,202607F1,20260703.0,40100.0,Put,2,2,0.2,0.8,0.1,▲+0.1,▲+14.29%,284,18,302,501,-,0.6,55,0.2
TXO,202607F1,20260703.0,40200.0,Call,-,-,-,-,6310.0,-,-,0,0,0,0,-,-,-,-
TXO,202607F1,20260703.0,40200.0,Put,-,-,-,-,0.1,-,-,0,0,0,161,-,0.6,55,3.2
TXO,202607F1,20260703.0,40300.0,Call,-,-,-,-,6210.0,-,-,0,0,0,0,-,6240,-,-
TXO,202607F1,20260703.0,40300.0,Put,0.2,0.2,0.2,0.2,0.1,▼-0.9,▼-81.82%,13,1,14,329,0.1,0.5,65,0.2
TXO,202607F1,20260703.0,40400.0,Call,-,-,-,-,6110.0,-,-,0,0,0,0,-,-,-,-
TXO,202607F1,20260703.0,40400.0,Put,0.6,0.6,0.6,0.6,0.1,▼-0.5,▼-45.45%,0,1,1,363,0.1,0.5,56,0.6
TXO,202607F1,20260703.0,40500.0,Call,-,-,-,-,6010.0,-,-,0,0,0,0,-,-,-,-
TXO,202607F1,20260703.0,40500.0,Put,1,1,0.2,0.2,0.1,▼-1.1,▼-84.62%,7,26,33,443,0.1,0.6,67,0.2
TXO,202607F1,20260703.0,40600.0,Call,-,-,-,-,5910.0,-,-,0,0,0,0,-,5940,-,-
TXO,202607F1,20260703.0,40600.0,Put,-,-,-,-,0.1,-,-,5,0,5,268,0.1,0.5,52,1.7
TXO,202607F1,20260703.0,40700.0,Call,-,-,-,-,5810.0,-,-,0,0,0,0,-,-,-,-
TXO,202607F1,20260703.0,40700.0,Put,1,1,0.4,0.4,0.1,▼-1.1,▼-73.33%,10,33,43,93,0.1,0.6,72,0.4
TXO,202607F1,20260703.0,40800.0,Call,-,-,-,-,5710.0,-,-,0,0,0,0,-,-,-,-
TXO,202607F1,20260703.0,40800.0,Put,-,-,-,-,0.2,-,-,11,0,11,39,0.1,0.6,43,1.3
TXO,202607F1,20260703.0,40900.0,Call,-,-,-,-,5610.0,-,-,0,0,0,0,-,5630,-,-
TXO,202607F1,20260703.0,40900.0,Put,2,2,2,2,0.2,▲+0.4,▲+25.00%,1,1,2,17,0.1,0.6,58,1.5
TXO,202607F1,20260703.0,41000.0,Call,-,-,-,-,5510.0,-,-,0,0,0,0,-,5530,-,-
TXO,202607F1,20260703.0,41000.0,Put,1.3,1.3,0.5,0.9,0.3,▼-0.8,▼-47.06%,49,178,227,222,0.1,0.4,80,0.5
TXO,202607F1,20260703.0,41100.0,Call,-,-,-,-,5410.0,-,-,0,0,0,0,-,5430,-,-
TXO,202607F1,20260703.0,41100.0,Put,1.2,1.2,0.6,0.6,0.3,▼-1.1,▼-64.71%,11,24,35,36,0.1,2.9,63,0.6
TXO,202607F1,20260703.0,41200.0,Call,-,-,-,-,5310.0,-,-,0,0,0,0,-,5330,-,-
TXO,202607F1,20260703.0,41200.0,Put,-,-,-,-,0.3,-,-,2,0,2,21,0.1,0.6,97,2.5
TXO,202607F1,20260703.0,41300.0,Call,-,-,-,-,5210.0,-,-,0,0,0,0,5180,5230,-,-
TXO,202607F1,20260703.0,41300.0,Put,-,-,-,-,0.3,-,-,28,0,28,46,0.1,0.6,58,0.8
TXO,202607F1,20260703.0,41400.0,Call,-,-,-,-,5110.0,-,-,0,0,0,0,-,5130,-,-
TXO,202607F1,20260703.0,41400.0,Put,1,1.9,0.3,0.3,0.3,▼-1.9,▼-86.36%,29,31,60,147,0.1,0.5,262,0.3
TXO,202607F1,20260703.0,41500.0,Call,-,-,-,-,5010.0,-,-,0,0,0,0,-,5030,-,-
TXO,202607F1,20260703.0,41500.0,Put,1.6,1.6,0.7,0.7,0.3,▼-1.7,▼-70.83%,20,23,43,117,0.1,0.6,281,0.7
TXO,202607F1,20260703.0,41600.0,Call,-,-,-,-,4910.0,-,-,0,0,0,0,4880,4930,-,-
TXO,202607F1,20260703.0,41600.0,Put,1.1,1.1,0.3,0.3,0.3,▼-2.3,▼-88.46%,12,22,34,115,0.1,0.5,235,0.3
TXO,202607F1,20260703.0,41700.0,Call,-,-,-,-,4810.0,-,-,0,0,0,0,4780,-,-,-
TXO,202607F1,20260703.0,41700.0,Put,3.3,3.3,0.2,0.2,0.3,▼-2.5,▼-92.59%,11,23,34,141,0.1,0.4,275,0.2
TXO,202607F1,20260703.0,41800.0,Call,-,-,-,-,4710.0,-,-,0,0,0,0,4690,4730,-,-
TXO,202607F1,20260703.0,41800.0,Put,1.1,1.2,0.3,0.3,0.3,▼-2.7,▼-90.00%,93,63,156,239,0.1,0.5,267,0.3
TXO,202607F1,20260703.0,41900.0,Call,-,-,-,-,4610.0,-,-,0,0,0,0,4590,-,-,-
TXO,202607F1,20260703.0,41900.0,Put,1.1,1.2,0.3,0.3,0.3,▼-2.7,▼-90.00%,10,12,22,94,0.1,0.5,277,0.3
TXO,202607F1,20260703.0,42000.0,Call,-,-,-,-,4510.0,-,-,0,0,0,0,4490,4520,-,-
TXO,202607F1,20260703.0,42000.0,Put,5,5.9,0.2,0.2,0.5,▼-3.5,▼-94.59%,199,98,297,553,0.2,0.5,358,0.2
TXO,202607F1,20260703.0,42100.0,Call,-,-,-,-,4410.0,-,-,0,0,0,0,4390,4420,-,-
TXO,202607F1,20260703.0,42100.0,Put,2,2,0.8,0.8,0.8,▼-3.1,▼-79.49%,7,28,35,39,0.4,1.1,366,0.8
TXO,202607F1,20260703.0,42200.0,Call,-,-,-,-,4310.0,-,-,1,0,1,1,4210,-,4840,4840
TXO,202607F1,20260703.0,42200.0,Put,3.2,4,1,1,0.8,▼-3,▼-75.00%,53,13,66,56,0.4,1,340,1
TXO,202607F1,20260703.0,42300.0,Call,-,-,-,-,4210.0,-,-,0,0,0,0,4190,4220,-,-
TXO,202607F1,20260703.0,42300.0,Put,3,3,0.8,0.8,0.8,▼-3.5,▼-81.40%,50,31,81,87,0.7,1,424,0.8
TXO,202607F1,20260703.0,42400.0,Call,-,-,-,-,4110.0,-,-,0,0,0,5,3840,4130,2400,2370
TXO,202607F1,20260703.0,42400.0,Put,3.5,3.5,1.1,2,1.0,▼-2.8,▼-58.33%,48,43,91,65,0.7,2,370,1.1
TXO,202607F1,20260703.0,42500.0,Call,-,-,-,-,4010.0,-,-,0,0,0,0,3750,4020,-,-
TXO,202607F1,20260703.0,42500.0,Put,2.1,3.2,1,1.1,1.1,▼-4.3,▼-79.63%,117,41,158,163,0.9,2,446,1
TXO,202607F1,20260703.0,42600.0,Call,-,-,-,-,3910.0,-,-,0,0,0,0,3650,3930,-,-
TXO,202607F1,20260703.0,42600.0,Put,3.8,3.8,1.1,1.1,1.5,▼-4.7,▼-81.03%,39,58,97,163,0.8,2.6,439,1
TXO,202607F1,20260703.0,42700.0,Call,-,-,-,-,3810.0,-,-,0,0,0,0,3540,3830,-,-
TXO,202607F1,20260703.0,42700.0,Put,1.7,3.6,1.7,1.7,1.7,▼-4.4,▼-72.13%,13,30,43,166,0.7,15,433,1.7
TXO,202607F1,20260703.0,42800.0,Call,-,-,-,-,3710.0,-,-,0,0,0,0,9.5,-,-,-
TXO,202607F1,20260703.0,42800.0,Put,6.8,6.8,1.5,1.7,1.9,▼-5.8,▼-77.33%,41,85,126,165,0.3,3,476,1.5
TXO,202607F1,20260703.0,42900.0,Call,-,-,-,-,3610.0,-,-,0,0,0,0,3350,3630,-,-
TXO,202607F1,20260703.0,42900.0,Put,5,6,1.6,2.6,1.9,▼-5,▼-65.79%,145,100,245,284,1.5,5.9,486,1.6
TXO,202607F1,20260703.0,43000.0,Call,-,-,-,-,3510.0,-,-,0,0,0,1,3250,3520,2140,2140
TXO,202607F1,20260703.0,43000.0,Put,12,12,1.5,1.7,2.0,▼-6.3,▼-78.75%,643,277,920,639,1.4,2.3,555,1.5
TXO,202607F1,20260703.0,43100.0,Call,-,-,-,-,3410.0,-,-,0,0,0,0,3150,3430,-,-
TXO,202607F1,20260703.0,43100.0,Put,6,6,2.2,2.2,2.2,▼-6.7,▼-75.28%,162,107,269,195,1,8,615,2.2
TXO,202607F1,20260703.0,43200.0,Call,-,-,-,-,3310.0,-,-,0,0,0,0,3050,3330,-,-
TXO,202607F1,20260703.0,43200.0,Put,12,12,2.8,2.8,2.4,▼-6.2,▼-68.89%,103,28,131,67,0.5,3,560,2.8
TXO,202607F1,20260703.0,43250.0,Call,-,-,-,-,3260.0,-,-,1,0,1,1,3140,-,3790,3790
TXO,202607F1,20260703.0,43250.0,Put,12,12,3,3,2.5,▼-7,▼-70.00%,57,25,82,65,1.5,3,311,3
TXO,202607F1,20260703.0,43300.0,Call,-,-,-,-,3210.0,-,-,0,0,0,0,2950,3230,-,-
TXO,202607F1,20260703.0,43300.0,Put,12,14,2,2.4,2.6,▼-7.6,▼-76.00%,97,167,264,201,2.1,12,640,2
TXO,202607F1,20260703.0,43350.0,Call,-,-,-,-,3160.0,-,-,0,0,0,0,2900,3180,-,-
TXO,202607F1,20260703.0,43350.0,Put,11,14.5,5,5,2.7,▼-5,▼-50.00%,41,6,47,30,0.5,18,20,5
TXO,202607F1,20260703.0,43400.0,Call,-,-,-,-,3110.0,-,-,0,0,0,0,2850,-,-,-
