排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
277,3030,德律,418.0,-1.5,-0.36,05/25,-82,95,81,-129,-712,-3969,-478.0,-4762.0,-832.0,303.0
278,3047,訊舟,15.55,0.15,0.97,05/25,-119,-149,-168,-128,-422,-777,-2033.0,-4814.0,2265.0,-4136.0
279,00953B,群益優選非投等債,9.56,-0.03,-0.31,05/25,0,-60,-61,-127,452,3313,16774.0,32668.0,43622.0,34873.0
280,2431,聯昌,10.6,-0.05,-0.47,05/25,-2,-100,-109,-126,-167,-388,-2336.0,-2621.0,-2242.0,-2503.0
281,3092,鴻碩,30.3,-0.4,-1.3,05/25,25,62,65,-126,9,247,519.0,1305.0,1551.0,755.0
282,1436,華友聯,44.6,-0.85,-1.87,05/25,16,2,-118,-125,-147,-133,-160.0,-1389.0,29.0,-650.0
283,3501,維熹,40.0,-0.05,-0.12,05/25,3,-1,-121,-125,77,106,-266.0,-136.0,553.0,-129.0
284,9933,中鼎,39.5,0.2,0.51,05/25,-141,-258,-230,-120,-2559,-2619,-23003.0,-31282.0,-4942.0,-27373.0
285,3661,世芯-KY,4900.0,5.0,0.1,05/25,-4,27,-31,-118,77,-1749,-2952.0,253.0,254.0,269.0
286,8383,千附,63.5,4.2,7.08,05/25,27,97,20,-117,-26,331,-200.0,-1518.0,-975.0,-1002.0
287,2605,新興,31.3,0.0,0.0,05/25,0,0,-111,-111,-1060,-1650,3527.0,3769.0,-6782.0,-5543.0
288,00934,中信成長高股息,26.92,0.82,3.14,05/25,-134,-134,-95,-107,-3071,-4625,124.0,618.0,-1640.0,618.0
289,3006,晶豪科,229.0,-8.5,-3.58,05/25,34,-1027,-923,-107,-2808,-2115,373.0,-10617.0,-3602.0,-2448.0
290,6909,創控,54.4,0.7,1.3,05/25,-39,-34,-67,-107,-38,162,1498.0,,,2467.0
291,5009,榮剛,36.75,1.15,3.23,05/25,102,-395,-713,-106,817,-331,1265.0,5429.0,348.0,2490.0
292,00926,凱基全球菁英55,25.45,0.02,0.08,05/25,-64,-64,-64,-102,-126,-465,-679.0,25.0,-2379.0,-562.0
293,2478,大毅,120.0,-7.5,-5.88,05/25,54,17,-342,-102,186,760,-1104.0,-2736.0,1446.0,-3576.0
294,5522,遠雄,69.2,-0.3,-0.43,05/25,54,167,-20,-102,297,1167,4263.0,-15691.0,-12010.0,-926.0
295,00738U,期元大道瓊白銀,62.5,0.7,1.13,05/25,-101,-101,-101,-101,-364,-412,-1296.0,1565.0,-4312.0,574.0
296,3675,德微,334.0,14.5,4.54,05/25,-3,-63,-45,-101,125,119,-830.0,-908.0,475.0,-954.0
297,00983D,主動富邦複合收益,10.03,-0.01,-0.1,05/25,0,0,0,-100,-100,-100,242.0,56.0,,-333.0
298,2453,凌群,57.5,0.3,0.52,05/25,-52,-73,-82,-98,-67,49,-234.0,432.0,767.0,373.0
299,2030,彰源,18.5,1.4,8.19,05/25,23,28,-29,-95,-366,-644,-625.0,1550.0,457.0,1663.0
300,6451,訊芯-KY,576.0,52.0,9.92,05/25,18,-94,-276,-95,-416,712,-288.0,-1013.0,1047.0,-797.0
