"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3026","禾伸堂","330","+30","+10","05/08","+1.29","+1.7","+3.85","+5.03","+5.16","+5.27","+5.31","+5.1","+5.45","+5.65","+4.82","+5.05"
"2","3450","聯鈞","410","+32.5","+8.61","05/08","0","+0.02","+0.87","+3.39","+1.13","+2.9","+3.62","-0.05","-3.19","+4.11","+3.43","+3.18"
"3","8210","勤誠","1415","+125","+9.69","05/08","+0.83","+1.42","+1.93","+2.23","+2.82","+3.61","-3","-3.19","-0.82","+3.86","+2.56","-4.01"
"4","8155","博智","444","-5","-1.11","05/08","+0.4","+0.46","+1.46","+2.14","+3.64","+3.61","+2.5","+2.71","+3.67","-9.51","+4.09","+2.45"
"5","6291","沛亨","468","-14","-2.9","05/08","+0.74","+1.13","+1.73","+1.73","+2.84","+4.04","+4.7","+4.52","+5.14","+5.14","+5.14","+4.74"
"6","2455","全新","337","-5","-1.46","05/08","0","0","+0.01","+1.68","+1.92","+2.82","+3.04","+3.62","+3.43","-5.48","-6.1","+4.37"
"7","5483","中美晶","149","-3","-1.97","05/08","+0.01","+0.26","+1.14","+1.65","+1.05","+0.29","+0.24","-0.62","-2.69","+7.17","+7.54","+0.03"
"8","5289","宜鼎","1600","+25","+1.59","05/08","+0.58","+1.1","+1.42","+1.55","+2.57","+3.85","+2.31","+3.4","-0.47","+1.65","+3.06","+4.72"
"9","8150","南茂","92.7","-5.4","-5.5","05/08","0","+1.54","+1.56","+1.54","+1.54","+1.55","+1.53","+1.59","+0.16","+0.34","+1.36","+1.6"
"10","6274","台燿","1370","-75","-5.19","05/08","+0.08","+0.44","+1.16","+1.48","+1.23","+1.79","-6.56","-1.19","+6.39","+10.4","+5.15","-8.26"
"11","3583","辛耘","788","-9","-1.13","05/08","+0.16","+0.66","+0.91","+1.4","+2.05","+2.7","+3.46","+2.6","+3.38","+3.87","-2.2","+3.46"
"12","3592","瑞鼎","258.5","+16","+6.6","05/08","+0.27","+0.42","+0.66","+1.32","+1.63","+1.57","+1.61","-10.9","-9.07","-0.5","","+0.74"
"13","3443","創意","5210","-240","-4.4","05/08","+0.27","+0.54","+1","+1.25","+0.95","+1.61","+2.4","+4.38","+3.69","-0.43","+8.46","+3.26"
"14","3526","凡甲","395","+17.5","+4.64","05/08","+0.23","+0.22","+0.46","+1.19","+1.91","+1.85","+1.2","+1.61","+0.03","+3.83","+3.49","+1.42"
"15","6715","嘉基","445","-22","-4.71","05/08","+0.77","+0.77","+0.94","+1.12","+1.8","+4.36","+5.47","+5.47","+5.47","+4.54","","+5.47"
"16","4576","大銀微系統","228","-14","-5.79","05/08","+0.07","+0.07","+0.07","+1.01","+1.01","+1.01","+1.02","+0.93","+0.68","+0.97","","+0.93"
"17","5439","高技","388","-19","-4.67","05/08","0","+0.19","+0.97","+1.01","+1.8","+7.09","+2.28","+8.88","+10.9","+9.96","+10.9","+4.19"
