"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6669","緯穎","5200","+320","+6.56","05/08","-2","-198","-3.25","-0.11","+15","+5,586","12","3.01","+1","+55","1.35","0.03","+3","+1,219","13.9","0.66"
"9910","豐泰","73.8","+3.7","+5.28","05/08","-1","-218","-6.08","-0.02","+14","+6,227","16.6","0.63","-3","-42","-0.43","0","+2","+1,320","19.5","0.13"
"2330","台積電","2290","-20","-0.87","05/08","-1","-858","-2.7","0","+11","+16,608","3.1","0.06","+2","+256","0.35","0","+2","+5,986","8.12","0.02"
"3711","日月光投控","516","-24","-4.44","05/08","-4","-15,727","-13.3","-0.36","+11","+13,492","4.33","0.31","-1","-84","-0.35","0","-1","-7,280","-30.7","-0.16"
"3592","瑞鼎","258.5","+16","+6.6","05/08","+2","+496","13.1","0.65","+10","+1,234","12","1.63","+2","+35","0.92","0.05","+2","+848","22.3","1.12"
"1477","聚陽","221.5","+1","+0.45","05/08","-5","-2,052","-14.8","-0.83","+9","+1,702","7.95","0.69","+3","+22","0.27","0.01","-1","-276","-10.5","-0.11"
"2204","中華","54.4","-0.6","-1.09","05/08","-1","-112","-11.8","-0.02","+9","+2,048","19.5","0.37","0","0","0","0","+3","+1,289","37.8","0.23"
"2548","華固","123.5","-1","-0.8","05/08","-2","-317","-6.53","-0.1","+9","+1,991","11.4","0.62","+4","+73","0.78","0.02","+4","+1,461","15.7","0.46"
"2731","雄獅","159.5","-4","-2.45","05/08","-22","-8,975","-42","-9.62","+9","+1,206","14.2","1.29","-1","0","-0.01","0","-4","-1,633","-30.2","-1.75"
"4105","東洋","75.4","+0.9","+1.21","05/08","+2","+320","15.1","0.13","+9","+1,793","21.8","0.72","0","0","0","0","+2","+651","30.8","0.26"
"4746","台耀","54.3","-0.5","-0.91","05/08","-3","-741","-18.2","-0.62","+9","+1,672","13.8","1.39","-3","-11","-0.26","-0.01","-1","-157","-17.1","-0.13"
"5274","信驊","16955","-935","-5.23","05/08","-2","-265","-25.1","-0.7","+9","+216","6.03","0.57","+1","+2","0.52","0.01","-2","-249","-23.6","-0.66"
