排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
40,2886,兆豐金,46.6,0.6,1.3,07/16,-11.0,-6.74,-2.35,5.35,25.0,44.4,20.6,12.9,7.37,4.48,1.78,12.2
41,2313,華通,235.5,-12.5,-5.04,07/16,1.53,2.78,5.94,5.22,3.33,1.48,-0.27,-0.01,0.15,0.0,0.06,0.23
42,6223,旺矽,6220.0,-110.0,-1.74,07/16,-2.9,-0.37,0.96,4.92,7.19,5.47,2.59,1.7,0.84,0.85,0.23,0.82
43,6187,萬潤,1075.0,-5.0,-0.46,07/16,0.62,2.12,1.6,4.83,0.21,-3.33,0.0,1.95,0.5,0.23,-0.02,1.82
44,9946,三發地產,18.3,0.15,0.83,07/16,0.0,0.0,0.0,4.83,5.34,1.93,0.63,0.46,0.33,0.06,0.02,0.44
45,3014,聯陽,131.5,-2.5,-1.87,07/16,15.2,0.03,6.51,4.78,5.11,5.62,2.64,1.76,0.22,0.41,0.18,1.4
46,2912,統一超,245.5,1.0,0.41,07/16,11.9,6.74,6.78,4.73,3.28,8.87,19.4,7.71,5.11,6.0,2.11,6.77
47,5871,中租-KY,120.5,1.5,1.26,07/16,8.22,8.62,6.53,4.66,-2.1,-2.1,10.5,5.3,-2.42,2.04,0.93,3.06
48,8081,致新,254.0,-6.0,-2.31,07/16,3.05,1.74,4.72,4.63,0.81,3.03,1.7,1.34,0.94,0.5,0.09,1.63
49,9910,豐泰,67.8,1.0,1.5,07/16,4.93,3.37,6.56,4.58,-21.1,-12.6,13.7,7.97,6.52,3.35,1.08,7.83
50,4904,遠傳,101.0,4.7,4.88,07/16,-11.9,-13.0,-6.14,4.58,13.0,32.1,20.5,12.4,5.35,6.19,3.61,12.0
51,3264,欣銓,237.5,13.0,5.79,07/16,4.72,3.2,5.67,4.38,-0.16,-3.79,-3.39,0.3,-0.25,0.87,0.45,0.36
52,6890,來億-KY,172.5,-3.5,-1.99,07/16,0.0,2.49,2.55,4.37,2.02,2.87,19.9,12.0,4.4,,,10.7
53,3665,貿聯-KY,1955.0,45.0,2.36,07/16,11.5,10.8,6.41,4.36,4.58,4.07,-2.64,-2.42,-1.31,0.66,0.32,-3.02
54,3008,大立光,4260.0,220.0,5.45,07/16,6.7,2.98,5.05,4.34,0.09,0.49,0.8,0.11,1.13,0.45,0.13,0.65
55,2855,統一證,46.35,-0.55,-1.17,07/16,0.43,-0.2,2.29,4.34,5.17,2.5,11.1,7.13,5.56,2.95,1.36,6.67
56,2851,中再保,36.9,-1.6,-4.16,07/16,0.03,-0.16,1.08,4.31,5.57,1.95,0.42,0.39,0.37,0.1,0.04,0.39
57,2451,創見,247.5,-5.5,-2.17,07/16,5.36,2.05,3.01,3.97,4.11,2.44,-3.72,-1.77,-2.47,0.06,-0.25,-2.06
58,3708,上緯投控,101.5,-1.0,-0.98,07/16,0.87,-0.28,0.0,3.75,1.17,-0.12,0.27,0.42,0.14,-0.05,,0.37
59,8464,億豐,358.5,6.5,1.85,07/16,1.02,-0.37,-0.06,3.74,12.4,22.7,7.42,3.65,1.94,0.76,0.24,3.46
60,2889,國票金,15.85,0.05,0.32,07/16,0.0,-0.54,11.5,3.67,1.9,1.12,0.53,-0.08,-0.14,-0.05,-0.03,-0.09
61,4764,雙鍵,328.5,-36.0,-9.88,07/16,0.0,0.0,4.44,3.6,5.37,3.44,2.89,1.15,0.79,0.77,,1.03
62,4536,拓凱,163.5,0.5,0.31,07/16,0.09,6.06,4.36,3.54,2.19,1.56,-1.53,-1.86,-1.03,0.38,0.08,-1.74
63,2031,新光鋼,40.45,0.2,0.5,07/16,0.0,0.0,0.0,3.46,5.04,2.44,1.88,1.15,0.64,-0.19,0.02,1.06
64,3167,大量,851.0,-41.0,-4.6,07/16,0.69,5.85,3.73,3.46,3.02,2.29,-1.28,0.52,0.38,0.2,0.17,-0.02
65,8069,元太,184.0,-4.5,-2.39,07/16,0.53,-4.27,3.72,3.41,9.41,7.04,3.22,1.94,1.12,0.36,0.07,2.29
66,6177,達麗,48.0,1.1,2.35,07/16,2.89,1.61,5.03,3.39,1.95,5.44,-1.82,-0.77,-1.53,0.14,0.09,-1.88
67,6613,朋億*,365.0,-3.5,-0.95,07/16,0.0,0.0,3.99,3.36,1.97,0.4,-1.15,-0.85,-0.77,0.02,,-0.86
68,6664,群翊,390.0,-4.5,-1.14,07/16,0.0,0.0,5.86,3.28,1.59,0.45,0.09,-0.01,0.01,0.02,,-0.01
69,0050,元大台灣50,106.4,0.1,0.09,07/16,4.7,4.54,3.19,3.12,3.03,2.9,1.78,1.39,0.92,0.95,0.81,1.45
70,2383,台光電,4990.0,-90.0,-1.77,07/16,0.75,4.1,2.89,3.11,3.7,0.87,1.11,1.63,0.51,-0.48,0.04,0.7
71,3189,景碩,770.0,-75.0,-8.88,07/16,-0.41,0.34,0.24,2.87,-0.41,3.73,0.97,0.87,0.62,0.16,0.15,0.94
72,2027,大成鋼,41.0,-0.3,-0.73,07/16,-3.72,2.79,1.82,2.81,3.77,10.2,-2.96,-0.83,0.99,-0.12,0.02,-0.48
73,2351,順德,191.5,-9.0,-4.49,07/16,-0.13,-0.06,0.0,2.72,0.89,1.56,1.02,0.72,0.53,0.03,0.06,0.71
74,4958,臻鼎-KY,578.0,-40.0,-6.47,07/16,-0.07,0.46,1.87,2.71,0.64,2.17,1.58,1.07,0.56,0.14,0.29,0.89
75,2449,京元電子,318.0,11.0,3.58,07/16,1.88,5.78,3.83,2.68,1.94,-2.01,-4.48,-2.49,-0.49,-0.31,-0.33,-2.47
76,00935,野村臺灣新科技50,57.95,-0.5,-0.86,07/16,5.44,3.68,2.48,2.65,1.37,0.55,0.64,1.37,1.05,,,1.33
77,5347,世界,187.5,1.0,0.54,07/16,6.37,6.23,4.16,2.65,-0.7,5.29,-0.48,-1.48,-3.07,1.5,0.87,-2.07
78,6206,飛捷,125.0,-1.0,-0.79,07/16,21.6,11.6,5.43,2.48,1.38,0.64,0.3,0.14,-2.18,0.07,0.04,-0.68
79,2421,建準,135.0,-4.0,-2.88,07/16,0.0,-0.11,-0.06,2.41,2.05,1.32,2.14,0.6,0.3,-0.04,0.05,0.53
80,6026,福邦證,14.7,-0.3,-2.0,07/16,0.0,0.0,0.0,2.35,3.73,4.45,1.22,0.81,0.66,0.26,0.08,0.76
81,6488,環球晶,1370.0,-105.0,-7.12,07/16,3.25,2.07,3.85,2.31,2.97,2.21,2.92,2.65,2.77,1.62,0.36,3.74
82,1216,統一,79.0,0.4,0.51,07/16,5.28,2.94,3.4,2.27,1.89,16.6,7.84,2.43,7.43,7.28,2.71,1.2
83,1476,儒鴻,339.0,8.0,2.42,07/16,0.42,-0.25,0.21,2.14,2.44,6.59,4.35,2.37,1.47,1.07,0.22,2.0
84,6505,台塑化,80.0,7.2,9.89,07/16,2.48,2.77,2.11,2.1,1.49,0.66,-0.12,0.04,-0.24,-0.05,-0.01,0.01
85,4967,十銓,225.5,-5.0,-2.17,07/16,0.0,0.0,0.0,2.08,2.78,1.13,0.08,0.03,0.03,0.01,,0.02
86,2395,研華,530.0,-3.0,-0.56,07/16,11.1,5.14,4.87,2.06,1.75,1.74,0.5,0.59,-0.45,0.2,0.18,0.57
87,6214,精誠,140.0,-1.0,-0.71,07/16,0.0,-0.15,5.89,2.02,1.23,1.24,0.59,0.37,0.05,-0.25,0.04,0.35
88,2530,華建,19.4,0.25,1.31,07/16,-0.38,-0.3,-0.29,1.97,9.16,8.93,1.16,0.23,1.2,0.34,0.15,2.06
89,2408,南亞科,439.0,-42.0,-8.73,07/16,-1.6,1.66,1.68,1.85,-0.2,3.13,1.3,0.29,0.55,0.13,0.22,0.34
90,5536,聖暉*,1265.0,15.0,1.2,07/16,-0.15,0.3,1.74,1.84,-3.5,-4.22,1.13,-1.02,1.25,1.35,0.81,-0.47
91,2472,立隆電,320.0,-21.0,-6.16,07/16,-3.26,-0.88,-2.92,1.77,2.07,3.3,1.92,1.09,0.73,0.57,0.28,0.95
92,6414,樺漢,400.0,5.5,1.39,07/16,3.35,4.71,3.03,1.73,0.87,-9.68,-4.61,-4.11,-1.04,0.22,-0.14,-4.04
93,3034,聯詠,471.5,-0.5,-0.11,07/16,-18.2,-10.3,-2.54,1.71,4.26,-0.19,1.61,-2.37,-5.11,2.36,0.67,-3.04
94,8271,宇瞻,187.5,6.0,3.31,07/16,-0.23,-0.14,-0.08,1.7,3.06,1.52,0.21,0.09,0.03,0.02,0.0,0.06
95,2441,超豐,139.0,2.5,1.83,07/16,1.69,0.67,2.11,1.69,1.75,-4.91,-2.18,-2.56,-0.52,0.25,-0.53,-2.03
96,2345,智邦,2320.0,-20.0,-0.85,07/16,5.43,5.34,2.52,1.65,2.75,0.17,1.38,1.24,0.45,0.73,-0.11,0.9
97,2207,和泰車,493.0,13.0,2.71,07/16,0.83,0.25,1.89,1.63,4.45,-38.4,-13.7,-9.65,-4.89,-1.87,-0.44,-9.33
98,6023,元大期,106.0,0.0,0.0,07/16,0.0,0.05,1.73,1.61,2.06,2.14,0.63,1.03,0.91,0.35,0.14,0.94
99,2308,台達電,1905.0,15.0,0.79,07/16,2.4,1.77,2.48,1.61,0.28,-3.85,-1.19,-0.11,-0.01,0.05,0.2,-0.01
100,6691,洋基工程,754.0,1.0,0.13,07/16,1.58,0.68,2.19,1.6,22.1,16.7,5.42,2.85,1.47,0.38,,2.09
101,8016,矽創,295.0,-7.0,-2.32,07/16,-0.68,-0.66,1.04,1.55,1.36,-0.48,0.47,0.05,0.22,0.21,-0.03,-0.61
102,2356,英業達,60.7,-0.4,-0.65,07/16,-12.6,-5.64,0.01,1.55,6.53,5.58,3.18,1.89,0.95,-0.14,0.17,1.99
103,5306,桂盟,99.2,8.8,9.73,07/16,2.21,1.98,1.74,1.49,1.29,0.94,0.31,0.0,-0.02,-0.08,-0.29,-0.03
104,5903,全家,188.0,-1.5,-0.79,07/16,0.0,0.0,1.3,1.48,5.03,4.98,1.34,-0.31,-7.25,-0.14,-0.56,-7.3
105,6257,矽格,238.0,0.5,0.21,07/16,-0.11,0.11,1.48,1.47,0.56,0.57,-2.94,-1.72,-2.49,0.33,0.17,-1.55
106,3131,弘塑,3255.0,50.0,1.56,07/16,29.8,10.5,-3.85,1.47,-2.19,6.25,0.72,0.23,-0.87,-0.04,-0.04,0.0
107,5469,瀚宇博,73.2,-3.5,-4.56,07/16,-0.06,-0.04,-0.04,1.43,20.8,13.7,4.71,1.83,1.06,0.24,0.18,1.58
108,3026,禾伸堂,766.0,-72.0,-8.59,07/16,0.6,2.31,-1.71,1.39,6.11,6.19,5.71,3.53,2.55,2.28,0.37,3.42
109,4763,材料*-KY,47.45,0.5,1.06,07/16,11.1,5.32,2.72,1.39,0.43,0.29,-4.58,-3.61,-0.5,-0.73,-0.52,-3.88
110,00713,元大台灣高息低波,60.9,0.3,0.5,07/16,0.0,0.0,0.0,1.36,0.85,0.5,0.61,0.26,-0.51,0.09,,0.19
111,3653,健策,3395.0,115.0,3.51,07/16,19.8,10.2,4.81,1.33,-2.09,-3.87,-1.04,0.01,-1.12,-1.23,0.21,-0.65
112,2330,台積電,2470.0,30.0,1.23,07/16,1.74,-0.1,1.66,1.33,1.81,0.69,2.84,1.96,1.26,0.68,0.29,1.96
113,4966,譜瑞-KY,631.0,-5.0,-0.79,07/16,6.92,3.14,1.11,1.32,0.71,-5.37,1.17,0.58,1.35,0.26,0.01,1.2
114,1608,華榮,33.25,-0.3,-0.89,07/16,-0.14,-0.09,-0.07,1.27,2.02,1.57,0.59,0.21,0.16,0.06,0.03,0.16
115,8415,大國鋼,36.1,-0.5,-1.37,07/16,0.0,0.25,0.99,1.25,4.92,4.73,1.1,0.71,0.49,0.12,,1.0
116,2884,玉山金,34.9,0.45,1.31,07/16,0.22,-0.8,1.19,1.18,2.27,9.95,-2.69,-2.54,4.43,3.43,1.28,-1.23
117,5388,中磊,86.6,-2.8,-3.13,07/16,0.0,0.0,1.64,1.13,-0.62,-2.15,-1.58,-0.76,-1.84,-0.22,-0.07,-1.16
118,2845,遠東銀,13.55,0.1,0.74,07/16,6.77,2.42,1.62,1.11,5.23,24.4,10.7,7.3,4.09,0.47,0.73,6.97
119,3624,光頡,108.5,-5.5,-4.82,07/16,0.0,0.0,0.0,1.06,0.86,-0.62,0.34,0.27,0.15,-0.12,0.03,0.22
120,6770,力積電,76.5,0.4,0.53,07/16,2.72,1.89,1.45,0.96,0.45,0.28,0.14,0.03,0.06,-0.02,,0.04
