排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1801,2236,百達-KY,116.5,-0.5,-0.43,26W38,09/18,32.1,-0.67,33.4,-0.78,66.6,0.78
1802,4192,杏國,18.3,0.15,0.83,26W38,09/18,33.4,0.0,33.4,0.0,66.6,0.0
1803,2109,華豐,14.7,-0.1,-0.68,26W38,09/18,30.4,0.0,33.3,0.0,66.7,0.0
1804,3664,安瑞-KY,8.4,0.25,3.07,26W38,09/18,33.3,0.0,33.3,0.0,66.7,0.0
1805,2851,中再保,47.0,0.0,0.0,26W38,09/18,32.3,-0.77,33.3,-0.79,66.7,0.79
1806,3284,太普高,20.35,0.5,2.52,26W38,09/18,32.5,-0.03,33.3,-0.04,66.7,0.04
1807,3231,緯創,186.5,0.0,0.0,26W38,09/18,32.4,-2.29,33.2,-2.33,66.8,2.33
1808,2317,鴻海,250.5,0.0,0.0,26W38,09/18,32.5,-0.01,33.2,0.01,66.8,-0.01
1809,2033,佳大,33.9,3.05,9.89,26W38,09/18,26.3,0.34,33.2,-0.69,66.8,0.69
1810,3264,欣銓,268.5,24.0,9.82,26W38,09/18,31.9,-0.84,33.2,-0.46,66.8,0.46
1811,9941,裕融,79.8,-0.9,-1.12,26W38,09/18,32.5,-0.3,33.2,0.01,66.8,-0.01
1812,2221,大甲,127.5,11.5,9.91,26W38,09/18,31.2,-4.57,33.1,-2.64,66.9,2.69
1813,6005,群益證,31.5,0.2,0.64,26W38,09/18,32.3,-0.11,33.1,-0.58,66.9,0.58
1814,3168,眾福科,42.6,-0.15,-0.35,26W38,09/18,29.4,0.0,33.1,0.0,66.9,0.0
1815,2887I,台新新光辛特,9.52,0.0,0.0,26W38,09/18,30.9,-0.11,33.0,0.13,67.0,-0.13
1816,5212,凌網,48.6,1.5,3.18,26W38,09/18,30.3,0.0,33.0,0.0,67.0,0.0
1817,3252,海灣,15.3,-0.05,-0.33,26W38,09/18,31.3,0.43,33.0,0.43,67.0,-0.43
1818,2477,美隆電,22.35,0.35,1.59,26W38,09/18,30.9,0.0,33.0,0.0,67.0,0.0
1819,6919,康霈*,85.8,2.9,3.5,26W38,09/18,31.5,0.33,33.0,0.27,67.0,-0.27
1820,6914,阜爾運通,121.5,0.0,0.0,26W38,09/18,31.7,0.0,33.0,0.0,67.0,0.0
1821,4154,樂威科-KY,11.65,0.4,3.56,26W38,09/18,32.9,0.0,32.9,0.0,67.1,0.0
1822,9928,中視,17.6,-0.1,-0.56,26W38,09/18,28.9,0.0,32.8,0.0,67.2,0.0
1823,2491,吉祥全,41.3,1.0,2.48,26W38,09/18,31.7,-0.78,32.8,-0.78,67.2,0.78
1824,6592B,和潤企業乙特,95.2,0.2,0.21,26W38,09/18,24.8,0.0,32.8,0.0,67.2,0.0
1825,6794,向榮生技,75.5,-0.5,-0.66,26W38,09/18,28.3,0.03,32.8,0.04,67.2,-0.04
1826,8349,恒耀,37.9,-0.45,-1.17,26W38,09/18,31.1,-0.61,32.7,-0.19,67.3,0.19
1827,6219,富旺,12.3,0.3,2.5,26W38,09/18,32.7,-0.01,32.7,-0.01,67.3,0.01
1828,7734,印能科技,2670.0,90.0,3.49,26W38,09/18,29.7,0.0,32.7,0.0,67.3,0.0
1829,1437,勤益控,33.1,0.65,2.0,26W38,09/18,28.0,-0.09,32.7,-0.09,67.3,0.09
1830,3229,晟鈦,64.4,5.8,9.9,26W38,09/18,32.5,1.99,32.5,1.99,67.5,-1.99
