排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
601,3038,全台,20.1,0.05,0.25,26W36,09/04,63.4,0.0,66.7,0.0,33.3,0.0
602,4720,德淵,18.6,0.1,0.54,26W36,09/04,66.7,0.0,66.7,0.0,33.3,0.0
603,6961,旅天下,50.0,0.0,0.0,26W36,09/04,66.7,0.0,66.7,0.0,33.3,0.0
604,00945B,凱基美國非投等債,14.43,0.02,0.14,26W36,09/04,65.0,0.08,66.6,0.18,33.4,-0.18
605,6123,上奇,43.6,-0.1,-0.23,26W36,09/04,65.0,0.0,66.6,0.0,33.4,0.0
606,00662,富邦NASDAQ,120.55,2.1,1.77,26W36,09/04,66.1,0.07,66.6,0.17,33.4,-0.17
607,3209,全科,46.6,-0.4,-0.85,26W36,09/04,63.5,1.5,66.6,2.63,33.4,-2.63
608,4533,協易機,25.7,0.1,0.39,26W36,09/04,66.1,-0.68,66.6,-1.14,33.4,1.14
609,6527,明達醫,74.2,0.1,0.13,26W36,09/04,66.5,-0.13,66.5,-0.13,33.5,0.13
610,6294,智基,28.75,0.0,0.0,26W36,09/04,66.5,0.0,66.5,0.0,33.5,0.0
611,3550,聯穎,23.2,0.25,1.09,26W36,09/04,63.3,-0.14,66.5,0.61,33.5,-0.61
612,3430,奇鈦科,105.5,0.0,0.0,26W36,09/04,66.5,0.0,66.5,0.0,33.5,0.0
613,2230,泰茂,22.8,0.8,3.64,26W36,09/04,61.3,0.01,66.5,0.01,33.5,-0.01
614,3027,盛達,18.25,0.3,1.67,26W36,09/04,66.5,0.42,66.5,0.42,33.5,-0.42
615,2340,台亞,34.05,0.85,2.56,26W36,09/04,65.5,0.0,66.5,0.02,33.5,-0.02
616,1708,東鹼,51.2,0.6,1.19,26W36,09/04,65.0,0.61,66.5,-0.04,33.5,0.04
617,3081,聯亞,3170.0,50.0,1.6,26W36,09/04,60.3,-0.89,66.5,1.0,33.5,-1.0
